Token,Nodes,Dates
1049,"(95249, 175803, 175809, 176212, 180275, 182779, 182783, 182784, 184443)","2019-01-29, 2019-02-01"
5887,"(903088, 904340, 3141378, 3141379, 3141380, 3142798, 3142799, 4660337, 4919955)","2022-11-22, 2023-02-27"
6458,"(540531, 677743, 678057, 691054, 692145, 692146, 708859, 708872, 709083)","2021-04-07, 2021-05-07"
6458,"(540531, 677743, 678057, 691054, 692145, 692146, 705290, 709448, 711634)","2021-07-01, 2021-07-08, 2021-11-19, 2022-04-07, 2022-07-01"
6458,"(540531, 677743, 678057, 705290, 709448, 711634, 714919, 994151, 994593)","2021-11-18, 2022-01-05, 2022-01-11, 2022-01-28, 2022-03-11, 2022-03-18"
6458,"(540531, 677743, 678057, 705290, 709448, 711634, 1066137, 1095074, 1095132)","2021-12-07, 2022-02-22, 2022-09-16"
6458,"(705290, 709448, 711634, 714919, 725589, 994151, 994593, 1032441, 1033974)","2022-02-04, 2022-02-10"
6458,"(540531, 677743, 678057, 714919, 994151, 994593, 1066137, 1095074, 1095132)","2022-02-11, 2022-03-15"
6458,"(540531, 677743, 678057, 705290, 709448, 711634, 2807229, 3160872, 3161292)","2022-11-04, 2023-05-01"
35897,"(2492664, 2876434, 3107779, 3127877, 3132463, 3144548, 3145900, 3221338, 3278354)","2022-04-22, 2022-04-23"
157734,"(1373447, 1530609, 2217269, 2527915, 3294623, 3939223, 4062952, 4144810, 4210878)","2023-04-06, 2023-04-29"
175473,"(1205278, 3195548, 3195556, 5618619, 7065135, 7065139, 7065141, 7065151, 7065164)","2023-08-23, 2023-09-24"
