Token,Nodes,Dates
1049,"(76376, 95249, 175803, 175809, 176212, 180275, 182779, 182783, 182784, 184443)","2019-01-27, 2019-02-06"
6839,"(587447, 592058, 593488, 606024, 638532, 740834, 745641, 768757, 770839, 1207053)","2021-08-27, 2021-08-28"
18153,"(1354003, 1354355, 1354365, 1354413, 1354418, 1354467, 1354487, 1354491, 1354496, 3017320)","2022-08-01, 2023-07-10"
60736,"(6118749, 6118750, 6118751, 6118752, 6118753, 6149028, 6149029, 6149030, 6149031, 6149032)","2023-04-15, 2023-06-18, 2023-06-19, 2023-06-20, 2023-06-21, 2023-06-22, 2023-06-23, 2023-06-24, 2023-06-25, 2023-06-26, 2023-06-27, 2023-06-28, 2023-06-30, 2023-07-03, 2023-07-08, 2023-07-09, 2023-07-10, 2023-07-15, 2023-07-16, 2023-07-23, 2023-07-30, 2023-07-31, 2023-08-02, 2023-08-03, 2023-08-04, 2023-08-05, 2023-08-06, 2023-08-07, 2023-08-10, 2023-08-11, 2023-08-12, 2023-08-13, 2023-08-14, 2023-09-25"
50936,"(4175087, 4184049, 4586101, 4608681, 4644181, 5311983, 5945257, 5950407, 5955113, 5955247)","2023-03-09, 2023-03-15"
