Date,Token,Nodes
2017-04-27,21,"[135, 136, 137, 138, 139, 140, 141, 142, 47, 104, 17, 43, 123, 124]"
2017-12-24,59,"[53057, 53062, 53063, 52652, 53068, 53070, 54231, 52211, 53046, 54071, 53048, 52154, 53148, 54239]"
2017-12-31,59,"[57602, 57830, 57704, 57706, 52652, 57645, 57773, 57551, 57680, 57779, 57751, 57786, 57596, 57629]"
2018-01-05,70,"[6656, 59361, 57474, 58468, 59588, 1895, 58286, 18927, 3796, 58389, 59412, 12856, 4409, 4892]"
2018-01-07,21,"[101, 550, 44, 1548, 429, 17, 658, 147, 82, 244, 279, 634, 635, 508]"
2018-01-08,70,"[59361, 60354, 58275, 60357, 58440, 4907, 58316, 13777, 3796, 12856, 58651, 4892, 17726, 60319]"
2018-01-11,69,"[16353, 61219, 61163, 61150, 59409, 60625, 8786, 61174, 56823, 61113, 61211, 61085, 28542, 56765]"
2018-01-18,76,"[2912, 62370, 62827, 62382, 62638, 58222, 18927, 62546, 22739, 62804, 62551, 56442, 2236, 62685]"
2018-01-27,82,"[63936, 1953, 64679, 63935, 65035, 45132, 64780, 64334, 63727, 64366, 63734, 64733, 17726, 64351]"
2018-01-30,85,"[4128, 65090, 65221, 63526, 64615, 63369, 64650, 58251, 65229, 65231, 65464, 65434, 64411, 4892]"
2018-02-05,101,"[66242, 65764, 66246, 57453, 66131, 57396, 63349, 58334, 63673, 66138, 66140, 66173, 64414, 2105]"
2018-02-10,82,"[63936, 66459, 64679, 63935, 67626, 15593, 64780, 63727, 65359, 67795, 63734, 67742, 65630, 64351]"
2018-02-10,101,"[66242, 3587, 66246, 2827, 63788, 66461, 66131, 57396, 63349, 2105, 66138, 66140, 66173, 63743]"
2018-02-10,111,"[66529, 67683, 66918, 66792, 66507, 66829, 66510, 66511, 67474, 67157, 66773, 67509, 67483, 66903]"
2018-02-12,116,"[65634, 63369, 64266, 67215, 12879, 65295, 65747, 64916, 57396, 65398, 63486, 66461, 66686, 67199]"
2018-02-17,116,"[69536, 69537, 65764, 66469, 63369, 69006, 12879, 1363, 57396, 65398, 28632, 69048, 66686, 65759]"
2018-02-18,166,"[69729, 69698, 69815, 69736, 69737, 69738, 69811, 69781, 69782, 69783, 69813, 69785, 69786, 69814]"
2018-02-19,170,"[69856, 70080, 70082, 2112, 3335, 70120, 70060, 70061, 69037, 70094, 1011, 13523, 70100, 70103]"
2018-02-21,152,"[64610, 65759, 15842, 70211, 64444, 69642, 70155, 63470, 67763, 63734, 70330, 69212, 69053, 63743]"
2018-02-21,192,"[70464, 65634, 66278, 15593, 2442, 14923, 70381, 70481, 10005, 15670, 21176, 4892, 1596, 70463]"
2018-02-24,97,"[2592, 69281, 70819, 71012, 62404, 70566, 63642, 66702, 66478, 65747, 66168, 65754, 66684, 65759]"
2018-02-27,101,"[65921, 69857, 66469, 63526, 2827, 69583, 67215, 66131, 69780, 63349, 57396, 67988, 63673, 66461]"
2018-02-27,202,"[70144, 71393, 70691, 63526, 45673, 70155, 65004, 66959, 57983, 69295, 71519, 66168, 64666, 69823]"
2018-03-02,255,"[72224, 72193, 72226, 72194, 72258, 72195, 72230, 72199, 72216, 72234, 72268, 72242, 72184, 72249]"
2018-03-04,264,"[70401, 65921, 71010, 4934, 63304, 64650, 65295, 69583, 68306, 69780, 3797, 63486, 4892, 70366]"
2018-03-04,267,"[70144, 65921, 71010, 71393, 29413, 68806, 45673, 69642, 61745, 23989, 71349, 72919, 63673, 1534]"
2018-03-05,246,"[65921, 69857, 65926, 71911, 52584, 37576, 65295, 73295, 18927, 69780, 70298, 72026, 73275, 69823]"
2018-03-07,208,"[69313, 69539, 42246, 69095, 68550, 63470, 12879, 60595, 65398, 69048, 65530, 63483, 70490, 69535]"
2018-03-14,297,"[10560, 74753, 74211, 75432, 73705, 74152, 74155, 75276, 74059, 5776, 73745, 65875, 73819, 74045]"
2018-03-16,281,"[6659, 75079, 74815, 75052, 75021, 75053, 75022, 74449, 73490, 71668, 73499, 75581, 19966, 75039]"
2018-03-17,281,"[6659, 75039, 75079, 74088, 75052, 75021, 75022, 74449, 73490, 71668, 73499, 75581, 19966, 74815]"
2018-03-17,286,"[74726, 74759, 72393, 74698, 71883, 71945, 71306, 73454, 73712, 73713, 74449, 74713, 76026, 74716]"
2018-03-20,82,"[63936, 75874, 65346, 71944, 69802, 67339, 76782, 2990, 75857, 74930, 46839, 65882, 66459, 80702]"
2018-03-23,297,"[74048, 74753, 68806, 70760, 74155, 80652, 74062, 81853, 81683, 63798, 80504, 60249, 74045, 81919]"
2018-03-24,230,"[81185, 80538, 81571, 81544, 43016, 62954, 74091, 75724, 21192, 44983, 82035, 71383, 46138, 75582]"
2018-03-26,82,"[63936, 71579, 74855, 74344, 77768, 69802, 67339, 46839, 82382, 65968, 82135, 82392, 66459, 10686]"
2018-03-26,281,"[74688, 6659, 75076, 82374, 75079, 75080, 75021, 74449, 73490, 71668, 73499, 81373, 19966, 74815]"
2018-03-30,238,"[83210, 71883, 71756, 72429, 71978, 83215, 71823, 72079, 76434, 71925, 72407, 71930, 74781, 75455]"
2018-03-31,255,"[72224, 72193, 72226, 72199, 82953, 71306, 66059, 69642, 64237, 83155, 65747, 72311, 64346, 65404]"
2018-04-06,230,"[84471, 83174, 83814, 21192, 84392, 62954, 75724, 71384, 71920, 71382, 71383, 84312, 84281, 84093]"
2018-04-11,388,"[84480, 73697, 85221, 84261, 85318, 4104, 1065, 9574, 83437, 60595, 85204, 85363, 74646, 77501]"
2018-04-15,82,"[63936, 71841, 85597, 4294, 42667, 85904, 60595, 46839, 74840, 82135, 83770, 6973, 10686, 84799]"
2018-04-16,396,"[86113, 86242, 71070, 82980, 86217, 84269, 85582, 86228, 84278, 86167, 86232, 60249, 58334, 67999]"
2018-04-17,391,"[82980, 86374, 86215, 74152, 66441, 74024, 85900, 33518, 14448, 65747, 28501, 75743, 81468, 57983]"
2018-04-22,266,"[73696, 72866, 72547, 64355, 72552, 75784, 74455, 68300, 50194, 72658, 72950, 72983, 63803, 72604]"
2018-05-04,266,"[72898, 72547, 72771, 73125, 64935, 57352, 68300, 64877, 72622, 2898, 916, 72662, 66295, 72633]"
2018-05-09,396,"[87971, 89829, 83784, 89835, 68286, 84269, 89774, 89839, 89456, 89812, 84661, 84278, 82782, 67999]"
2018-05-11,266,"[89985, 50497, 72547, 64355, 72900, 72572, 72622, 63644, 72892, 72915, 916, 89909, 72568, 72700]"
2018-05-11,463,"[88512, 90016, 87040, 33412, 89828, 62735, 85840, 90006, 88504, 88508, 89434, 90012, 88637, 88510]"
2018-05-12,463,"[88512, 87040, 89890, 89828, 90089, 90012, 90092, 62735, 85840, 88504, 90105, 88508, 88637, 88510]"
2018-05-16,464,"[90371, 90436, 89989, 89062, 90278, 89321, 88493, 90413, 88497, 90324, 90325, 89301, 89080, 90394]"
2018-05-19,440,"[90656, 89217, 90276, 90084, 89254, 89961, 88203, 90320, 70544, 89969, 89945, 90555, 90652, 75743]"
2018-05-20,238,"[89895, 71883, 71756, 72429, 71918, 72083, 72116, 87839, 87101, 72407, 81044, 71961, 72125, 71903]"
2018-05-20,338,"[76162, 76071, 76778, 88171, 77294, 90703, 89520, 76270, 76466, 76403, 82646, 86393, 87261, 87550]"
2018-05-20,463,"[88512, 87040, 29767, 38376, 90765, 62735, 85840, 85839, 88116, 62392, 30649, 89434, 90012, 80637]"
2018-05-23,464,"[87553, 90981, 90021, 90535, 89097, 88491, 90988, 88493, 88495, 89199, 88497, 88274, 91031, 90584]"
2018-05-26,338,"[79171, 70819, 79141, 76159, 83784, 78600, 76778, 76503, 16241, 86483, 82646, 79575, 80637, 76223]"
2018-05-27,238,"[72034, 91365, 72037, 72069, 71912, 71945, 72407, 72429, 71918, 86837, 74327, 71899, 75709, 72030]"
2018-05-27,338,"[76512, 70819, 76580, 79110, 62217, 76778, 76171, 91179, 76269, 76078, 76525, 76466, 82646, 77239]"
2018-05-27,436,"[91424, 91297, 91523, 91812, 91735, 91270, 91689, 91785, 90861, 91821, 91791, 87605, 91671, 91770]"
2018-06-02,463,"[88512, 87040, 90691, 89828, 85573, 87645, 90089, 90765, 62735, 85840, 21017, 88508, 80637, 88799]"
2018-06-11,69,"[71619, 88167, 74264, 69642, 65066, 13198, 92047, 60625, 55064, 85043, 56823, 75256, 87325, 67391]"
2018-06-12,338,"[80608, 67975, 76168, 76778, 76522, 90636, 76270, 76411, 79187, 86165, 82646, 76185, 87291, 86462]"
2018-06-17,69,"[94882, 63910, 74406, 89996, 71727, 60625, 83730, 8786, 86549, 81053, 56823, 83033, 87325, 89533]"
2018-06-19,463,"[88512, 89828, 93960, 43213, 62735, 33104, 85840, 55064, 88789, 94229, 95160, 69656, 43513, 88508]"
2018-06-22,440,"[94273, 93697, 89254, 92263, 95176, 92523, 94045, 92141, 94959, 95471, 95187, 95733, 87965, 92286]"
2018-06-23,69,"[3105, 90753, 82754, 12357, 94377, 84843, 83436, 84657, 95985, 60595, 60625, 73553, 56823, 2972]"
2018-06-24,494,"[86530, 93890, 89890, 70211, 94503, 5607, 13483, 95564, 95536, 93809, 96115, 63798, 71386, 1211]"
2018-07-01,519,"[95296, 94371, 100420, 65769, 14923, 100492, 90479, 95536, 100595, 100604, 74264, 99195, 100508, 93406]"
2018-07-11,463,"[88512, 89891, 83436, 10093, 101678, 85840, 1649, 93492, 6292, 37172, 101430, 91067, 12157, 101726]"
2018-07-17,76,"[66720, 64801, 8829, 57224, 102027, 60595, 69375, 62900, 65174, 64314, 65404, 67645, 63036, 68029]"
2018-07-18,519,"[95296, 95041, 70211, 100420, 101029, 65769, 100492, 100731, 86549, 88631, 95546, 99195, 93406, 75743]"
2018-07-20,187,"[98208, 102144, 101815, 70375, 102543, 102192, 102577, 83601, 102260, 63989, 21847, 95864, 102201, 75743]"
2018-07-22,187,"[98208, 101815, 70375, 102696, 102314, 102543, 83601, 102260, 57045, 63989, 102679, 95864, 102201, 75743]"
2018-07-23,266,"[72832, 28930, 72547, 73544, 72604, 11196, 1771, 72552, 5610, 4141, 72655, 61745, 64853, 72572]"
2018-08-01,463,"[88512, 103268, 104261, 85840, 33104, 49842, 33875, 6292, 102836, 90006, 101044, 21017, 91067, 67391]"
2018-08-01,519,"[95296, 104225, 103010, 102850, 100420, 45896, 100492, 75662, 95315, 101526, 94331, 100604, 93406, 75743]"
2018-08-10,463,"[88512, 90753, 103268, 85573, 83436, 90796, 43213, 62735, 85840, 33104, 21017, 91067, 88508, 67391]"
2018-08-12,266,"[28930, 72547, 72548, 5411, 5610, 21227, 4141, 72622, 102417, 65042, 2065, 62133, 66168, 86398]"
2018-08-15,463,"[88512, 89891, 89828, 103268, 104421, 62735, 85840, 95294, 21017, 100346, 91067, 88508, 88510, 67391]"
