Date,Token,Nodes
2018-01-19,69,"[62978, 62915, 63046, 56968, 35212, 62991, 59409, 60625, 8786, 63059, 29783, 46810, 62816, 58407, 62951, 62187, 63022, 62898, 63030, 56823, 62201, 63034]"
2018-01-24,81,"[63808, 34052, 63687, 2315, 3147, 45132, 63826, 63957, 63830, 63831, 63769, 64090, 22108, 63789, 64111, 63792, 61745, 60595, 63861, 63798, 4153, 63549]"
2018-01-25,82,"[63936, 64513, 4610, 10564, 58309, 64393, 45132, 64334, 64509, 63644, 64351, 63334, 64487, 21544, 64491, 64366, 9007, 63727, 14448, 64573, 17726, 63935]"
2018-01-26,82,"[63936, 58309, 64780, 45132, 64844, 64334, 63644, 64733, 64735, 64351, 1953, 64610, 64679, 64487, 64491, 60139, 63727, 18927, 1336, 2236, 17726, 63935]"
2018-01-29,81,"[64455, 58312, 63690, 63947, 63697, 65042, 63828, 63957, 63831, 63769, 63578, 924, 1184, 45673, 63789, 64557, 63727, 63792, 63090, 60595, 15670, 4153]"
2018-02-04,108,"[63617, 3587, 66244, 66183, 43016, 63369, 61835, 56588, 65817, 64666, 8411, 58334, 31135, 3682, 1763, 63526, 18927, 66228, 2105, 63547, 66301, 66299]"
2018-02-15,76,"[65472, 68933, 67654, 68691, 63509, 64150, 64022, 64795, 52892, 64989, 64670, 64801, 64868, 68965, 68071, 67304, 65129, 61745, 60595, 64569, 8829, 64831]"
2018-02-22,101,"[65921, 69313, 65926, 70729, 2827, 65295, 66131, 69780, 67988, 44755, 66138, 66140, 66461, 63673, 65764, 68074, 66285, 57396, 63349, 69048, 2105, 63486]"
2018-02-23,82,"[63936, 67339, 64780, 69006, 41814, 64727, 65630, 69791, 31135, 69281, 65894, 2990, 63727, 14448, 70833, 65843, 60595, 68915, 63734, 3321, 70780, 63935]"
2018-02-24,170,"[2112, 71106, 47945, 70475, 60492, 70094, 70292, 71129, 70816, 69856, 70120, 71019, 70253, 70768, 71025, 71026, 71028, 71029, 71031, 71032, 70138, 70140]"
2018-02-25,215,"[70144, 65607, 68104, 71051, 2827, 3147, 63307, 14923, 58334, 4128, 69753, 69538, 3682, 71010, 71140, 63526, 41129, 66285, 61745, 5943, 63673, 57983]"
2018-03-13,286,"[74759, 71945, 72393, 74698, 72010, 75279, 71887, 71953, 75283, 71960, 74713, 75300, 74725, 74726, 71978, 75119, 43697, 73713, 75121, 75123, 75125, 75126]"
2018-03-14,281,"[74688, 6659, 75076, 75079, 75080, 75021, 75022, 75471, 74449, 73490, 73499, 75038, 75039, 75041, 75052, 75053, 73524, 71668, 73657, 73531, 19966, 74815]"
2018-03-15,281,"[74688, 6659, 75076, 75079, 75080, 74185, 75021, 75022, 75471, 74449, 73490, 74585, 73499, 75036, 74815, 75039, 75053, 73524, 71668, 75581, 19966, 75455]"
2018-03-18,230,"[69312, 43016, 75724, 1362, 75798, 71383, 8153, 73183, 64544, 65315, 63843, 75876, 75493, 74091, 72428, 76781, 75694, 76783, 72181, 46138, 72187, 75582]"
2018-04-02,365,"[15680, 82628, 82950, 71367, 82824, 60681, 18378, 81491, 50899, 77527, 82840, 81499, 82270, 83616, 71841, 29994, 82989, 74930, 82998, 82422, 43513, 53498]"
2018-04-03,391,"[63617, 69250, 66441, 64586, 70155, 81229, 83731, 25621, 76501, 66716, 67999, 1763, 74024, 72552, 15593, 14448, 61745, 78261, 63798, 83769, 34555, 77309]"
2018-04-04,230,"[83457, 83969, 21192, 75657, 75724, 83982, 7121, 71382, 83927, 71383, 71384, 75896, 70877, 83934, 75359, 83811, 83814, 83754, 83698, 75960, 46138, 84093]"
2018-04-05,365,"[15680, 84226, 82628, 83846, 82824, 60681, 18378, 82832, 81491, 77527, 81499, 82270, 83615, 71841, 44707, 57827, 84201, 29994, 84206, 74930, 82418, 82422]"
2018-04-07,266,"[72832, 73157, 72572, 72700, 73167, 72657, 84564, 72857, 72604, 65056, 72864, 69244, 72547, 64355, 72613, 72677, 72552, 1771, 84593, 72947, 18171, 73148]"
2018-04-27,266,"[74755, 87558, 72584, 2442, 73556, 72983, 72603, 2972, 72544, 73696, 83170, 72547, 72548, 64355, 69244, 64935, 11178, 72556, 4271, 62133, 73146, 72700]"
2018-04-29,266,"[72832, 28930, 72898, 87558, 87878, 76040, 87879, 84938, 86031, 72977, 69394, 72657, 72601, 72537, 72731, 73502, 72547, 64355, 72552, 72556, 72818, 72570]"
2018-04-30,338,"[76228, 84232, 76363, 81996, 86483, 87893, 76503, 76184, 81945, 76569, 76507, 86556, 76254, 87907, 79141, 76778, 76395, 86506, 83693, 76525, 79921, 78073]"
2018-05-06,266,"[77312, 87558, 72584, 72649, 72700, 72721, 72800, 1762, 72547, 64355, 72677, 64935, 63784, 5610, 4141, 72622, 72627, 73011, 72949, 66295, 88570, 72572]"
2018-05-15,463,"[87040, 88512, 33412, 67850, 62735, 85839, 85840, 89434, 90337, 89890, 89891, 89828, 38376, 90092, 3827, 88116, 88504, 30649, 22779, 88508, 80637, 88510]"
2018-05-29,481,"[91968, 86154, 85134, 74769, 74585, 74713, 82461, 91873, 91874, 91875, 84967, 50794, 91883, 92076, 92012, 91902, 91568, 82741, 92021, 91896, 92027, 92094]"
2018-06-03,69,"[10560, 69642, 72266, 91855, 60625, 86549, 74264, 86489, 83355, 81053, 87325, 89887, 67358, 83436, 71727, 74930, 92723, 62133, 56823, 73659, 90492, 56765]"
2018-06-11,493,"[91968, 93889, 80262, 93382, 93383, 93321, 93898, 93325, 85134, 93397, 93399, 91932, 91875, 91887, 93873, 93426, 93875, 80182, 93430, 93880, 91902, 67391]"
2018-06-20,493,"[91968, 93382, 93383, 93321, 93325, 85134, 93517, 93399, 80600, 74585, 93403, 91932, 91874, 94178, 93476, 50794, 92012, 93426, 93875, 93430, 94265, 91902]"
2018-06-28,463,"[88512, 93187, 90691, 67850, 43213, 62735, 71375, 85840, 100178, 6292, 94229, 88789, 69656, 76774, 93612, 88109, 83436, 37172, 95160, 43513, 88508, 95294]"
2018-07-19,533,"[102019, 102469, 102470, 102471, 102472, 102474, 102475, 102476, 102477, 102478, 102479, 102480, 102481, 102482, 102484, 102485, 102487, 102048, 102049, 102050, 102117, 5105]"
2018-07-26,69,"[56823, 86852, 72266, 60625, 73553, 8786, 100436, 74264, 103258, 87325, 41952, 103137, 102114, 74081, 63716, 103012, 87017, 103274, 4271, 100468, 75702, 93367]"
2018-07-27,463,"[88512, 95298, 33412, 85573, 103111, 69642, 85840, 33875, 6292, 103318, 21017, 101215, 103268, 87467, 93612, 83436, 67949, 102836, 17717, 91067, 88508, 67391]"
2018-07-28,519,"[95296, 70211, 100420, 88071, 89991, 102920, 103698, 74264, 100508, 925, 93406, 88415, 103335, 88679, 10856, 76136, 17579, 95599, 103731, 88631, 102136, 100604]"
2018-08-15,471,"[105729, 105339, 105733, 90565, 105735, 102085, 102541, 89975, 105492, 105497, 102109, 105888, 105448, 105320, 92842, 105706, 16373, 105654, 105462, 104694, 11003, 105470]"
2018-08-22,642,"[106882, 105732, 106575, 106707, 106582, 106649, 106842, 106714, 105884, 106716, 102177, 106657, 106659, 106724, 106729, 106673, 93681, 106675, 106677, 106742, 105723, 105724]"
