Date,Token,Nodes
2018-01-31,85,"[65221, 63369, 64650, 65677, 65550, 2510, 65231, 65619, 63380, 65493, 65302, 65497, 64411, 52892, 65508, 63526, 65591, 65464, 38332]"
2018-02-11,82,"[24320, 63936, 67906, 63935, 64780, 33168, 67193, 67922, 66459, 65630, 2592, 67626, 63727, 65968, 63734, 65849, 66042, 65213, 67903]"
2018-02-13,82,"[63936, 3147, 68236, 68238, 15579, 65436, 65630, 2592, 66720, 68259, 68325, 68327, 63727, 65968, 63734, 67193, 66042, 68286, 63935]"
2018-02-18,97,"[65280, 65090, 69705, 2315, 45132, 64592, 65747, 63642, 4892, 66141, 65759, 65784, 65892, 64615, 62121, 815, 66168, 65596, 64509]"
2018-02-21,101,"[65664, 65607, 61835, 2827, 70156, 67215, 66131, 66138, 66140, 66461, 68638, 69791, 65764, 66469, 65769, 57396, 63349, 69048, 63673]"
2018-02-23,159,"[70401, 68806, 70088, 69521, 70939, 66141, 70366, 70497, 15842, 66150, 70887, 70376, 69417, 69547, 2990, 69295, 43513, 34555, 1534]"
2018-02-24,186,"[70976, 70978, 70979, 70981, 70992, 71002, 71003, 71005, 71006, 69086, 70368, 70115, 67684, 63784, 70958, 70961, 70967, 70968, 70969]"
2018-02-24,214,"[70912, 59842, 71044, 69380, 71046, 69514, 69580, 71055, 66959, 65295, 4892, 4128, 1763, 41129, 66478, 71030, 2105, 1534, 63743]"
2018-02-26,169,"[70144, 69763, 69380, 69893, 69514, 70155, 2315, 69580, 66959, 67216, 65747, 71398, 52584, 71400, 63486, 64503, 21176, 63673, 1534]"
2018-03-02,82,"[63936, 70662, 68236, 71695, 71831, 65432, 72026, 71519, 66720, 68451, 71210, 68398, 2990, 72174, 70833, 63734, 3321, 17726, 63935]"
2018-03-09,255,"[72193, 72194, 72195, 74118, 72199, 74566, 66059, 72268, 74134, 72216, 72224, 64864, 72226, 72227, 72230, 72234, 72242, 74423, 74554]"
2018-03-10,286,"[74759, 74695, 72393, 74698, 74703, 71953, 71764, 71960, 74712, 74585, 74713, 74716, 74717, 72421, 74726, 74725, 73712, 73713, 74614]"
2018-03-11,101,"[65664, 66242, 65607, 67215, 70672, 66131, 67988, 68307, 66138, 66140, 68638, 2105, 74977, 68074, 69295, 57396, 63349, 63673, 63486]"
2018-03-12,282,"[72449, 65793, 73542, 70155, 69516, 70219, 69524, 66461, 58334, 65764, 66471, 74024, 15593, 65769, 68074, 70892, 63673, 63995, 63743]"
2018-03-15,82,"[63936, 75651, 71107, 71433, 75530, 67339, 64780, 75639, 69840, 75703, 71579, 15579, 65630, 64351, 75752, 75564, 2990, 20086, 46839]"
2018-03-15,286,"[74759, 71945, 72393, 74698, 71883, 74449, 71960, 74585, 73498, 73499, 74713, 74912, 74144, 75300, 74726, 71978, 73713, 75121, 75123]"
