Token,Nodes,Smart_Contract_Flags,Dates
187,"(70375, 75743, 98208, 101815, 102543, 102679, 104156)","(1, 0, 0, 0, 0, 0, 0)","2018-07-31, 2018-08-01"
1049,"(76376, 95249, 175809, 180275, 182779, 182783, 182784)","(0, 0, 1, 0, 0, 0, 0)","2019-01-12, 2019-01-14"
15453,"(1064744, 1198880, 1374021, 1854436, 1854473, 1854598, 1854819)","(0, 0, 0, 0, 0, 0, 0)","2021-11-21, 2022-04-16"
118671,"(756779, 791638, 1041945, 1066396, 1494348, 1769657, 3125568)","(0, 0, 0, 0, 0, 0, 0)","2023-03-01, 2023-06-01"
183843,"(6710648, 6727126, 6727130, 6727132, 6727141, 6813470, 6813471)","(0, 0, 0, 0, 0, 0, 0)","2023-07-07, 2023-07-08"
