Token,Nodes,Smart_Contract_Flags,Dates
1453,"(3367118, 3599665, 4660337, 4919955)","(0, 0, 1, 1)","2023-06-12, 2023-09-11"
1453,"(3376745, 3599665, 4660337, 6830735)","(0, 0, 1, 1)","2023-09-20, 2023-09-25"
870,"(103193, 557332, 711871, 2986028)","(0, 1, 0, 0)","2022-03-03, 2022-03-08"
1577,"(9318, 236846, 392622, 401884)","(0, 0, 0, 0)","2019-07-10, 2019-07-16, 2019-07-21, 2019-07-22"
1577,"(189157, 237164, 392622, 401884)","(0, 1, 0, 0)","2019-08-14, 2019-08-16"
1577,"(392622, 401884, 402987, 411326)","(0, 0, 0, 0)","2019-09-14, 2019-09-15"
1577,"(392622, 401884, 402987, 411318)","(0, 0, 0, 0)","2019-09-19, 2019-09-20, 2019-09-22, 2019-09-24, 2019-09-28, 2019-10-05, 2019-10-08, 2019-10-10, 2019-10-11, 2019-10-13, 2019-10-16, 2019-10-17, 2019-10-20, 2019-10-21, 2019-10-22, 2019-11-12"
1577,"(392622, 401884, 402987, 411317)","(0, 0, 0, 0)","2019-10-29, 2019-11-09"
1604,"(441551, 442168, 442225, 445954)","(0, 0, 0, 0)","2019-12-03, 2020-01-13, 2020-01-14"
1934,"(98208, 399010, 412314, 417937)","(0, 1, 0, 0)","2019-08-06, 2019-08-07"
2468,"(393685, 405732, 429508, 529691)","(0, 0, 0, 0)","2020-03-18, 2020-05-13, 2020-05-15"
2175,"(407689, 410073, 417988, 426729)","(0, 0, 0, 0)","2019-11-28, 2019-12-01"
2787,"(456483, 457397, 458920, 459380)","(0, 0, 0, 0)","2019-12-20, 2019-12-23"
2719,"(446459, 456369, 456534, 458808)","(1, 0, 1, 0)","2019-12-09, 2019-12-11"
3252,"(1238, 10031, 100259, 455103)","(0, 0, 0, 0)","2020-01-20, 2020-01-21"
3713,"(507713, 507753, 509852, 515223)","(0, 0, 1, 0)","2020-03-30, 2020-04-02"
3631,"(506982, 527233, 527362, 527369)","(0, 0, 0, 0)","2020-03-06, 2020-04-06"
3631,"(507002, 537483, 538330, 538393)","(0, 0, 0, 0)","2020-04-18, 2020-07-16, 2021-01-14"
4279,"(543643, 543644, 543647, 545450)","(0, 0, 0, 0)","2020-04-14, 2020-06-16, 2020-06-17"
4279,"(543647, 545450, 575557, 575558)","(0, 0, 0, 0)","2020-07-20, 2020-07-22, 2020-07-31"
5004,"(466000, 559548, 560690, 608507)","(0, 0, 0, 0)","2020-09-24, 2020-09-26"
2858,"(199472, 846801, 6416314, 7264661)","(0, 0, 1, 0)","2023-10-27, 2023-10-30"
6049,"(417498, 558378, 609779, 609786)","(0, 0, 0, 0)","2020-09-25, 2020-09-28"
5887,"(903088, 904340, 4660337, 4919955)","(0, 0, 1, 1)","2022-12-16, 2023-01-22, 2023-02-09, 2023-02-13"
6557,"(680190, 690549, 690600, 690738)","(0, 1, 0, 0)","2020-11-21, 2020-11-25"
6038,"(618926, 625557, 699730, 1358088)","(0, 0, 0, 0)","2021-09-10, 2022-01-31"
7029,"(5440270, 5459893, 5459898, 5460833)","(0, 0, 0, 0)","2023-01-14, 2023-03-23"
7056,"(677620, 699610, 699837, 746257)","(0, 0, 0, 0)","2021-05-18, 2021-06-20, 2021-08-26"
6458,"(705290, 709448, 711634, 7418404)","(0, 1, 1, 1)","2023-10-30, 2023-11-27"
7725,"(732662, 745373, 843122, 881449)","(0, 0, 0, 0)","2021-04-28, 2021-04-29"
8062,"(770301, 770547, 796202, 1199315)","(0, 0, 0, 1)","2022-01-04, 2022-01-16"
7876,"(426994, 1000379, 1008331, 1008332)","(0, 1, 1, 0)","2021-07-02, 2021-08-13"
8600,"(800064, 888941, 1019214, 1051142)","(1, 1, 0, 0)","2021-07-24, 2021-07-25"
8300,"(1700208, 2177618, 2774611, 4852568)","(0, 0, 0, 0)","2023-04-18, 2023-05-02, 2023-07-04, 2023-08-07"
10337,"(923869, 923870, 1172928, 1172959)","(0, 0, 1, 1)","2021-08-22, 2021-12-18"
11101,"(460443, 856320, 3019958, 6583617)","(0, 1, 1, 0)","2023-06-19, 2023-07-30"
11275,"(1960359, 2728547, 2904937, 3107779)","(0, 0, 1, 1)","2022-04-05, 2022-04-11, 2022-04-14"
11519,"(937902, 938342, 951771, 1062145)","(0, 0, 0, 1)","2021-07-26, 2021-08-11"
12254,"(1109194, 1109196, 1271936, 1351226)","(1, 1, 0, 1)","2021-09-10, 2021-09-13, 2021-09-16"
12254,"(910160, 1109196, 4147357, 7100863)","(0, 1, 0, 1)","2023-10-03, 2023-10-19"
12866,"(112057, 667221, 1100449, 1451042)","(0, 0, 0, 1)","2021-10-20, 2021-10-22"
13404,"(957335, 1483679, 1849872, 2904937)","(0, 0, 0, 1)","2022-04-06, 2022-04-07, 2022-04-08, 2022-04-09, 2022-04-10, 2022-04-11, 2022-04-13, 2022-04-14, 2022-04-15"
12362,"(1245917, 1898775, 1898776, 1898777)","(1, 1, 1, 1)","2021-11-29, 2021-12-20, 2022-01-22"
13183,"(1018796, 1413475, 6372955, 7093991)","(0, 0, 0, 0)","2023-10-17, 2024-01-23"
12544,"(1139084, 1300346, 1300397, 3107779)","(0, 0, 0, 1)","2022-04-09, 2022-04-10"
14883,"(1139084, 1300346, 1300397, 3107779)","(0, 0, 0, 1)","2022-04-06, 2022-04-23"
14883,"(1139084, 1300381, 1300397, 3107779)","(0, 0, 0, 1)","2022-04-10, 2022-04-11"
13989,"(2328, 112057, 1045073, 1451042)","(0, 0, 0, 1)","2021-10-08, 2021-10-17"
15482,"(1474193, 3262976, 3644206, 3644207)","(0, 0, 0, 0)","2023-03-13, 2023-05-12"
15482,"(3644206, 3644207, 6314171, 6406401)","(0, 0, 0, 0)","2023-04-17, 2023-04-18"
15482,"(1847163, 3644206, 3644207, 5098923)","(0, 0, 0, 0)","2023-09-06, 2023-09-17"
15868,"(818698, 1867428, 1873081, 2309804)","(0, 0, 0, 0)","2022-01-04, 2022-01-05"
16339,"(3394838, 7473804, 7496870, 7499845)","(0, 0, 0, 0)","2023-12-07, 2023-12-08"
18107,"(647734, 681677, 1255171, 1657325)","(0, 0, 0, 0)","2021-12-10, 2022-01-23"
16955,"(2157985, 6613252, 6613253, 6613254)","(0, 0, 0, 0)","2023-06-02, 2024-01-25"
13810,"(2479776, 2479794, 3954513, 4948721)","(0, 0, 0, 1)","2023-03-01, 2023-03-28"
13810,"(2479776, 2479794, 3842485, 6167172)","(0, 0, 0, 0)","2023-04-12, 2023-07-05, 2023-07-26"
22595,"(493329, 723212, 808548, 976031)","(0, 1, 0, 0)","2022-01-05, 2022-01-15"
18449,"(583424, 1108264, 1891608, 2539387)","(0, 0, 0, 0)","2022-11-12, 2022-11-25"
21276,"(723212, 880432, 1400650, 2424614)","(1, 0, 0, 0)","2022-01-15, 2022-01-27"
21366,"(733893, 914885, 990054, 1092423)","(0, 0, 0, 0)","2021-12-22, 2021-12-25"
23656,"(2157290, 2157718, 2172473, 2172782)","(0, 1, 0, 0)","2021-12-23, 2021-12-25"
25187,"(795530, 2161733, 2387664, 2550163)","(0, 0, 1, 1)","2022-01-30, 2022-05-13"
25187,"(1198483, 2161733, 2387664, 2550163)","(0, 0, 1, 1)","2022-07-31, 2022-08-08"
25187,"(746869, 2161733, 2387664, 2550163)","(0, 0, 1, 1)","2022-11-11, 2022-11-26"
22914,"(999928, 1090423, 1507925, 2912428)","(0, 0, 0, 1)","2022-05-20, 2022-06-24"
21978,"(1730133, 2904937, 3107779, 3137329)","(0, 1, 1, 0)","2022-04-17, 2022-04-18"
23009,"(1622203, 2252415, 4357892, 4441420)","(0, 0, 0, 0)","2022-11-02, 2022-11-11"
26944,"(1960359, 2728547, 2904937, 3107779)","(0, 0, 1, 1)","2022-04-06, 2022-04-12, 2022-04-16, 2022-04-17"
14900,"(1144835, 1153235, 1200296, 1395730)","(0, 0, 0, 0)","2023-07-11, 2023-09-04"
30782,"(2687806, 2687807, 2687808, 4540508)","(0, 1, 1, 0)","2022-09-25, 2022-10-16, 2022-10-30, 2022-12-12, 2022-12-26, 2023-01-12, 2023-02-06, 2023-02-20"
30782,"(7807, 163233, 543651, 5219966)","(0, 0, 0, 1)","2022-12-18, 2023-04-17"
30782,"(2687806, 2687807, 2687808, 5523367)","(0, 1, 1, 0)","2023-02-21, 2023-03-02, 2023-03-07"
17913,"(2758094, 2758317, 2758351, 2758369)","(0, 0, 0, 0)","2022-02-06, 2022-02-08, 2022-02-22, 2022-02-25, 2022-03-01, 2022-03-03, 2022-03-06, 2022-03-08, 2022-03-15"
26263,"(1960359, 2728547, 2904937, 3107779)","(0, 0, 1, 1)","2022-04-05, 2022-04-06, 2022-04-08, 2022-04-11, 2022-04-12, 2022-04-16, 2022-04-17"
24994,"(723212, 808548, 1148559, 1740744)","(1, 0, 0, 0)","2022-02-07, 2022-02-26, 2022-08-07"
19593,"(1359353, 1371742, 1723309, 4284829)","(0, 0, 0, 0)","2022-10-30, 2022-10-31"
29040,"(723212, 750625, 2166150, 4599193)","(1, 0, 0, 1)","2022-10-17, 2022-10-21, 2022-10-24"
29703,"(723212, 808548, 1148559, 1998394)","(1, 0, 0, 0)","2022-02-27, 2022-04-13"
29715,"(723212, 808548, 1148559, 2203565)","(1, 0, 0, 0)","2022-02-27, 2022-04-13"
27497,"(723212, 807083, 808548, 1148559)","(1, 0, 0, 0)","2022-02-28, 2022-09-21"
28757,"(1100912, 2884472, 4660337, 4919955)","(0, 0, 1, 1)","2023-02-16, 2023-03-18, 2023-05-14"
39516,"(3582828, 3772299, 6414456, 6416812)","(0, 0, 0, 1)","2023-04-21, 2023-04-28"
36065,"(728152, 1439397, 1733616, 3962646)","(0, 0, 0, 1)","2023-01-14, 2023-01-30"
29668,"(723212, 808548, 1148559, 1992792)","(1, 0, 0, 0)","2022-03-13, 2022-07-31"
46286,"(723212, 999661, 1016776, 3076298)","(1, 0, 0, 0)","2022-03-15, 2022-03-16"
36233,"(908899, 2699583, 4235044, 4607621)","(0, 0, 1, 0)","2022-12-12, 2022-12-29"
32348,"(2380228, 2751054, 2768008, 2768485)","(0, 0, 0, 0)","2022-08-14, 2022-09-25"
35897,"(2876434, 3107779, 3127877, 3221338)","(0, 1, 0, 0)","2022-04-11, 2022-04-13"
50623,"(1330792, 1363944, 2060069, 2697182)","(0, 0, 0, 0)","2022-04-03, 2022-04-10"
29558,"(723212, 808548, 1591103, 4645225)","(1, 0, 0, 0)","2022-12-15, 2023-03-02"
50924,"(723212, 2849016, 2871732, 2959302)","(1, 0, 0, 0)","2022-06-21, 2023-03-10"
50936,"(2330542, 3467796, 3578787, 3776426)","(0, 0, 0, 1)","2022-07-04, 2022-07-05"
50936,"(4175087, 4184049, 4586101, 4608681)","(0, 1, 1, 0)","2022-12-23, 2023-02-06, 2023-02-08, 2023-02-09, 2023-02-18, 2023-02-19, 2023-02-22"
50936,"(4175087, 4184049, 4586101, 4639032)","(0, 1, 1, 0)","2023-01-20, 2023-02-14, 2023-03-29"
50936,"(5945257, 5950407, 5955113, 5955247)","(0, 1, 0, 1)","2023-03-08, 2023-03-20, 2023-04-08"
50936,"(4586101, 4608681, 4621467, 5536430)","(1, 0, 0, 1)","2023-04-15, 2023-05-10"
50936,"(4621467, 4794249, 5536430, 6148858)","(0, 1, 1, 0)","2023-05-14, 2023-05-27"
50936,"(4621467, 5536430, 6546840, 6546845)","(0, 1, 0, 1)","2023-05-20, 2023-05-31"
50936,"(4621467, 5536430, 5931574, 6455445)","(0, 1, 0, 0)","2023-05-25, 2023-06-26"
50936,"(4621467, 5244741, 5536430, 6359130)","(0, 0, 1, 0)","2023-06-24, 2023-08-16, 2023-09-17"
50936,"(5244741, 6359130, 6742667, 6897991)","(0, 0, 1, 0)","2023-08-10, 2023-09-06, 2023-09-18"
50936,"(5244741, 5748637, 6359130, 7042758)","(0, 0, 0, 1)","2023-09-10, 2023-09-27, 2023-09-30"
57563,"(537896, 909567, 2119478, 3593084)","(0, 1, 0, 0)","2022-10-24, 2023-02-16"
58861,"(1730133, 2904937, 3137329, 3732625)","(0, 1, 0, 1)","2022-09-16, 2022-09-17"
22311,"(18797, 6829979, 7495640, 7550411)","(0, 0, 0, 0)","2023-12-21, 2023-12-22"
56248,"(1484860, 1631981, 3637647, 3799208)","(0, 0, 0, 0)","2022-11-23, 2022-11-27, 2023-04-04"
60009,"(723212, 808548, 1148559, 1951559)","(1, 0, 0, 0)","2022-05-11, 2022-05-24"
34394,"(1045040, 2277297, 3132355, 3339487)","(0, 0, 1, 0)","2023-03-31, 2023-04-01"
37989,"(1629579, 3132355, 3381752, 5476254)","(0, 1, 0, 0)","2023-01-15, 2023-01-16"
37989,"(1045040, 2277297, 3132355, 3339487)","(0, 0, 1, 0)","2023-03-31, 2023-04-01"
60886,"(723212, 1219353, 1513159, 3185999)","(1, 0, 0, 0)","2022-05-15, 2022-05-21"
28190,"(3833399, 4053554, 4660481, 5011505)","(0, 0, 0, 0)","2022-12-09, 2022-12-19"
28992,"(723212, 809820, 1258769, 3414010)","(1, 0, 0, 0)","2022-07-06, 2023-01-12"
59791,"(1743293, 1817163, 3290972, 3407600)","(0, 0, 0, 1)","2022-06-29, 2022-08-18"
66326,"(2847114, 3569692, 3570404, 3572166)","(0, 0, 0, 0)","2022-05-24, 2022-05-25"
60810,"(2798388, 3979583, 4088355, 5056432)","(0, 0, 0, 1)","2022-11-30, 2023-01-09"
61542,"(2898772, 2957755, 3412601, 3661284)","(0, 0, 0, 0)","2022-06-22, 2022-07-04, 2022-08-14"
61542,"(2738997, 2898772, 3581674, 3620467)","(0, 0, 0, 0)","2022-08-02, 2022-08-19"
63883,"(1538515, 2282787, 4272155, 4381110)","(0, 0, 0, 0)","2022-09-15, 2022-09-19"
70218,"(1055288, 1171550, 4660337, 7166660)","(0, 0, 1, 0)","2023-10-02, 2023-10-04"
59720,"(3441686, 3628873, 3628893, 3628907)","(0, 0, 0, 0)","2022-08-10, 2022-09-16"
70651,"(3437354, 3680353, 4029147, 4357602)","(0, 0, 0, 0)","2022-09-13, 2022-09-15"
66913,"(1574639, 3586101, 3652570, 3652571)","(0, 0, 0, 0)","2022-08-14, 2022-08-16"
71608,"(723212, 808548, 1148559, 1942425)","(1, 0, 0, 0)","2022-07-01, 2022-07-07, 2022-08-10, 2022-09-13"
69504,"(3692559, 3695025, 3804828, 3808673)","(0, 0, 0, 0)","2022-07-02, 2022-07-03"
71127,"(692283, 5595107, 5595346, 6111169)","(0, 1, 0, 0)","2023-05-31, 2023-06-26"
73613,"(723212, 808548, 1148559, 1155016)","(1, 0, 0, 0)","2022-07-08, 2022-08-13"
51999,"(3254843, 3277058, 4548891, 4549164)","(0, 0, 1, 1)","2022-09-22, 2022-12-18"
75462,"(879814, 2079054, 2791959, 3799592)","(0, 0, 0, 0)","2022-08-01, 2022-08-04"
69272,"(3683302, 3771110, 3995830, 4113706)","(0, 0, 0, 1)","2022-11-10, 2022-11-21"
80838,"(4254905, 4467362, 5091099, 5296913)","(0, 0, 0, 0)","2022-12-24, 2023-01-02"
80838,"(6918691, 7170275, 7338777, 7419008)","(0, 0, 0, 0)","2023-11-02, 2023-11-03"
81422,"(723212, 1035217, 1673385, 1748501)","(1, 0, 0, 0)","2023-04-18, 2023-05-28"
81531,"(1056574, 1245221, 3453869, 3977537)","(0, 0, 0, 0)","2022-08-03, 2022-08-20"
74549,"(1055288, 1653442, 4016715, 4016716)","(0, 0, 1, 1)","2023-08-25, 2023-08-26"
74549,"(1017608, 4016716, 7150056, 7153961)","(0, 1, 1, 1)","2023-09-08, 2023-09-19"
74549,"(1055288, 4016716, 7150056, 7153961)","(0, 1, 1, 1)","2023-09-09, 2023-09-24"
77933,"(3893193, 3893194, 4533772, 4533860)","(0, 0, 1, 1)","2022-09-21, 2023-01-18"
80371,"(2870664, 4060945, 4063820, 4063833)","(0, 0, 0, 0)","2022-08-06, 2022-08-07"
84653,"(1334926, 3073375, 5036195, 5363188)","(0, 0, 0, 0)","2023-01-29, 2023-01-30"
83588,"(3320601, 4036282, 4036283, 4040876)","(0, 1, 1, 1)","2022-10-18, 2022-12-11"
83588,"(4036282, 4036283, 4040875, 4040876)","(1, 1, 0, 1)","2022-10-31, 2023-03-15"
83588,"(4036282, 4036283, 4040876, 4920526)","(1, 1, 1, 1)","2023-08-05, 2023-09-25, 2023-12-17"
70754,"(2217731, 2913698, 3558652, 5066619)","(0, 0, 0, 1)","2023-06-11, 2023-06-18"
89619,"(723212, 946714, 3320429, 3443253)","(1, 0, 0, 1)","2022-08-17, 2023-01-12"
65512,"(736579, 916763, 3940533, 5614601)","(0, 0, 1, 0)","2023-12-19, 2024-01-05"
88881,"(4225121, 4251347, 7425916, 7426163)","(0, 0, 0, 0)","2023-11-02, 2023-11-03, 2023-11-09"
86683,"(1982023, 2243801, 2418830, 3734517)","(0, 0, 0, 0)","2024-02-26, 2024-03-01"
87050,"(4280162, 4299260, 4299588, 4328194)","(0, 0, 0, 0)","2022-09-11, 2022-09-12"
66771,"(3210118, 3260597, 3578306, 3661193)","(0, 0, 0, 0)","2023-06-30, 2023-07-31"
68892,"(1830776, 2873277, 3637951, 6055160)","(0, 0, 1, 1)","2023-05-11, 2023-07-29"
28037,"(775828, 1210056, 2624163, 3953727)","(0, 0, 0, 0)","2022-09-17, 2022-09-24"
32403,"(723212, 808548, 1942425, 5531738)","(1, 0, 0, 0)","2023-10-02, 2023-10-08"
77938,"(5664966, 6556171, 6858410, 6923740)","(1, 0, 1, 1)","2023-08-02, 2023-08-03"
103836,"(3659080, 4132800, 4747922, 6450320)","(0, 0, 1, 0)","2023-06-06, 2023-06-25"
103836,"(4132800, 4747922, 4926523, 5467629)","(0, 1, 0, 0)","2023-09-17, 2023-11-30"
103836,"(4132800, 4747922, 5467629, 5529870)","(0, 1, 0, 0)","2023-09-21, 2023-09-25"
104403,"(3405987, 4659618, 6055160, 6220589)","(0, 0, 1, 0)","2023-03-30, 2023-07-13"
81561,"(723212, 3407813, 3963423, 4609372)","(1, 0, 0, 0)","2022-10-24, 2022-10-26"
108844,"(4672254, 4717975, 4723340, 4838213)","(0, 1, 1, 0)","2022-11-07, 2022-11-10"
108844,"(4639419, 4717975, 4723340, 5239785)","(0, 1, 1, 1)","2022-12-25, 2023-02-01"
108844,"(4717974, 4717975, 4723340, 7648230)","(1, 1, 1, 0)","2024-01-22, 2024-01-25"
109324,"(4738718, 4738723, 4749026, 4752013)","(0, 0, 0, 0)","2022-10-26, 2022-10-27"
106099,"(2059618, 2608240, 3367508, 4659456)","(0, 1, 0, 1)","2023-04-17, 2023-10-08"
114506,"(4821955, 4840739, 4908909, 5017689)","(0, 0, 0, 1)","2022-11-30, 2023-03-13"
110794,"(723212, 3407813, 4609372, 4710627)","(1, 0, 0, 0)","2022-11-14, 2023-01-02"
115290,"(1430086, 2217113, 2780734, 4463907)","(0, 0, 0, 0)","2022-11-30, 2022-12-17"
115290,"(1430086, 1699572, 2780734, 4917416)","(0, 0, 0, 0)","2022-12-28, 2023-01-04"
96437,"(723212, 4277137, 4797014, 4922290)","(1, 0, 0, 0)","2022-11-23, 2023-01-09"
65894,"(3416640, 6428390, 6428413, 6428416)","(0, 1, 1, 1)","2023-04-23, 2023-05-05"
114196,"(3656851, 3770835, 5613750, 7176153)","(0, 0, 0, 0)","2023-11-10, 2023-11-16"
121603,"(5176612, 5208548, 5462097, 5470807)","(0, 0, 0, 0)","2023-01-18, 2023-01-19"
113346,"(3291875, 3838260, 4395909, 6768988)","(0, 0, 0, 1)","2023-06-27, 2023-06-28"
103683,"(1350833, 1649144, 3271567, 3887561)","(0, 0, 0, 0)","2023-07-08, 2023-10-30"
123389,"(723212, 3855197, 5066621, 5172971)","(1, 0, 0, 0)","2022-12-07, 2022-12-09"
122663,"(3253966, 3290976, 3678932, 3843397)","(0, 0, 0, 0)","2023-01-05, 2023-01-13"
122663,"(3253966, 3678932, 4616999, 5250515)","(0, 0, 0, 0)","2023-01-07, 2023-01-10"
112564,"(723212, 2105321, 3480419, 3638314)","(1, 0, 0, 0)","2022-12-17, 2023-02-11"
123090,"(4851855, 5134679, 5249335, 5255709)","(0, 0, 0, 0)","2022-12-18, 2022-12-19"
128410,"(1150380, 2026912, 4068638, 5247587)","(0, 0, 0, 1)","2022-12-22, 2023-05-31, 2023-06-02"
128410,"(1672212, 1837117, 4068638, 5247587)","(0, 0, 0, 1)","2023-05-23, 2023-08-16"
128410,"(1837117, 4068638, 5247587, 5252501)","(0, 0, 1, 0)","2023-07-24, 2023-08-11"
128410,"(1672212, 1840611, 4068638, 5247587)","(0, 0, 0, 1)","2023-08-19, 2023-08-21"
128410,"(1837117, 1840611, 5247587, 5252501)","(0, 0, 1, 0)","2023-09-22, 2023-10-18, 2023-10-28"
130079,"(2113050, 3272136, 3282371, 3282403)","(0, 0, 0, 0)","2022-12-22, 2023-01-01"
125838,"(3404863, 4678485, 5197764, 5296862)","(0, 0, 0, 0)","2022-12-24, 2022-12-29"
120682,"(3739623, 5050071, 5983088, 6542593)","(0, 0, 0, 0)","2023-09-04, 2023-10-02, 2023-11-06, 2024-01-05"
128116,"(3974979, 5367167, 5394331, 5624864)","(0, 0, 0, 0)","2023-03-06, 2023-03-07"
129592,"(4950671, 5274415, 5274416, 5280638)","(1, 0, 1, 1)","2023-01-30, 2023-11-12"
129592,"(4778835, 4950671, 5274415, 5274416)","(1, 1, 0, 1)","2023-02-19, 2023-08-23, 2023-12-26"
129592,"(2050873, 5274415, 5274416, 5280638)","(0, 0, 1, 1)","2023-03-07, 2023-06-27"
109236,"(4731113, 5215373, 5327494, 5327808)","(0, 1, 0, 0)","2022-12-28, 2022-12-29, 2023-01-05"
60287,"(3520674, 3520842, 5204523, 5374403)","(0, 0, 0, 0)","2023-01-04, 2023-02-07, 2023-02-28, 2023-03-20"
133194,"(723212, 3628704, 4341543, 5167045)","(1, 0, 0, 0)","2023-06-02, 2023-08-05, 2023-09-04"
88032,"(3696935, 3954558, 6145326, 7418336)","(0, 1, 0, 0)","2023-11-14, 2023-12-01"
117223,"(723212, 836100, 5070400, 5291562)","(1, 0, 0, 0)","2023-01-15, 2023-12-03"
141089,"(723212, 933365, 3667409, 3940533)","(1, 0, 0, 1)","2023-01-18, 2023-01-31"
143710,"(5503851, 5503856, 5505032, 5505040)","(0, 0, 0, 0)","2023-01-19, 2023-01-20"
126776,"(2141456, 2614720, 3151226, 3994770)","(0, 0, 0, 0)","2023-04-28, 2023-11-27"
142749,"(1230489, 2229824, 4954755, 6440339)","(0, 0, 0, 0)","2023-07-18, 2023-07-20"
103725,"(5945257, 5950407, 5955113, 5955247)","(0, 1, 0, 1)","2023-03-02, 2023-03-07, 2023-03-09, 2023-03-20, 2023-03-21, 2023-04-09, 2023-04-11, 2023-04-18, 2023-04-19"
103725,"(4175087, 4184049, 5945257, 5950407)","(0, 1, 0, 1)","2023-03-06, 2023-03-26, 2023-03-30, 2023-04-02, 2023-04-13, 2023-04-14, 2023-04-26"
103725,"(4175087, 4184049, 5955113, 5955247)","(0, 1, 0, 1)","2023-03-31, 2023-04-15, 2023-04-16, 2023-05-04, 2023-05-06"
101564,"(1334926, 3073375, 5036195, 5363188)","(0, 0, 0, 0)","2023-01-30, 2023-01-31, 2023-02-01"
116223,"(5553514, 5561081, 5561088, 5561101)","(0, 0, 0, 0)","2023-02-01, 2023-02-07"
127717,"(2495949, 2850782, 2981994, 2982964)","(0, 0, 0, 0)","2023-02-19, 2023-04-02"
154850,"(1449053, 2962381, 4132711, 4625706)","(0, 0, 0, 0)","2023-02-22, 2023-02-23"
113061,"(723212, 1591621, 2202381, 2455482)","(1, 0, 0, 0)","2023-02-23, 2023-03-24"
152822,"(163233, 5731373, 5938733, 5954035)","(0, 0, 0, 0)","2023-03-01, 2023-03-04"
152436,"(1599575, 5653541, 5653542, 5653543)","(0, 1, 1, 1)","2023-02-25, 2023-07-30, 2024-02-11"
152436,"(3083883, 5024974, 5653541, 5653543)","(0, 0, 1, 1)","2023-04-08, 2023-07-04, 2023-07-15"
152436,"(1553766, 5653541, 5653542, 5653543)","(0, 1, 1, 1)","2023-05-23, 2023-08-19"
