Token,Nodes,Smart_Contract_Flags,Dates
84,"(71534, 71540, 71679, 72207)","(0, 0, 0, 0)","2018-04-12, 2018-04-13"
186,"(74467, 74468, 74469, 74471)","(0, 0, 0, 0)","2018-03-20, 2018-03-22"
270,"(64668, 70956, 72966, 73667)","(0, 0, 1, 0)","2018-03-26, 2018-04-02"
424,"(86397, 162615, 162850, 162955)","(1, 0, 0, 0)","2018-10-28, 2018-11-02"
266,"(7162, 14278, 72547, 447594)","(0, 0, 1, 0)","2020-03-10, 2020-03-13"
463,"(67391, 85840, 88512, 105896)","(0, 0, 1, 0)","2018-09-25, 2018-10-09, 2018-10-13, 2018-10-15"
648,"(105231, 106570, 106615, 106625)","(0, 0, 0, 0)","2018-08-20, 2018-08-21"
657,"(107046, 107212, 164951, 168348)","(0, 1, 0, 0)","2019-02-20, 2019-04-15"
657,"(107046, 107212, 179470, 192436)","(0, 1, 0, 0)","2019-02-28, 2019-03-11"
657,"(107046, 107212, 162103, 164951)","(0, 1, 0, 0)","2019-04-20, 2019-05-09"
657,"(107046, 107212, 158820, 225083)","(0, 1, 0, 0)","2019-04-24, 2019-05-10"
657,"(107046, 107212, 161819, 168067)","(0, 1, 0, 0)","2019-05-12, 2019-05-19"
657,"(107046, 107212, 108000, 501546)","(0, 1, 0, 0)","2020-02-11, 2020-03-08"
829,"(162512, 162516, 225422, 500074)","(0, 0, 1, 0)","2020-03-27, 2020-04-01"
853,"(165074, 165075, 165150, 165560)","(0, 0, 0, 0)","2018-11-07, 2018-12-05"
853,"(171130, 171131, 171151, 171161)","(0, 0, 0, 0)","2018-12-11, 2018-12-13, 2019-01-04"
913,"(168229, 168235, 169024, 169241)","(1, 1, 0, 0)","2018-12-04, 2018-12-06"
824,"(106724, 162228, 162229, 168451)","(0, 1, 1, 1)","2018-11-30, 2018-12-13"
824,"(106719, 106729, 162228, 162229)","(0, 0, 1, 1)","2018-12-28, 2019-01-12"
824,"(106724, 107678, 162228, 162229)","(0, 0, 1, 1)","2019-01-03, 2019-01-10"
996,"(169241, 170929, 170937, 187618)","(0, 1, 1, 0)","2019-02-04, 2019-02-06, 2019-02-13"
996,"(168300, 170929, 170937, 171141)","(0, 1, 1, 0)","2019-02-18, 2019-02-26"
541,"(102875, 103862, 459810, 941940)","(0, 0, 1, 0)","2021-06-26, 2021-06-28"
541,"(102875, 103862, 459810, 1007414)","(0, 0, 1, 0)","2021-07-17, 2021-07-18"
1049,"(175805, 435328, 543264, 543301)","(0, 0, 0, 0)","2020-07-28, 2020-08-05"
633,"(105153, 105154, 105322, 108305)","(1, 1, 1, 0)","2019-01-12, 2019-01-30, 2019-02-25, 2019-04-29"
633,"(105153, 105154, 105322, 171320)","(1, 1, 1, 0)","2019-02-01, 2019-04-19"
1172,"(184803, 190885, 393395, 400198)","(0, 0, 0, 0)","2019-08-01, 2019-08-07"
1398,"(207870, 207872, 208774, 209646)","(1, 0, 0, 0)","2019-03-29, 2019-04-05, 2019-04-21, 2019-04-23"
1398,"(207870, 207872, 208774, 231050)","(1, 0, 0, 0)","2019-05-01, 2019-05-02, 2019-05-14"
1398,"(207870, 207872, 208774, 354424)","(1, 0, 0, 0)","2019-05-22, 2019-05-27"
1398,"(207870, 207872, 208774, 216480)","(1, 0, 0, 0)","2019-05-30, 2019-06-02, 2019-06-03, 2019-06-08"
1430,"(211160, 211233, 211605, 215963)","(0, 0, 0, 1)","2019-07-04, 2020-01-14"
1453,"(3389977, 3599665, 4660337, 4919955)","(0, 0, 1, 1)","2023-04-24, 2023-05-23, 2023-07-10"
