Token,Nodes,Smart_Contract_Flags,Dates
17187,"(1474145,)","(0,)","2021-11-03, 2021-11-27, 2021-12-22, 2022-01-03, 2022-01-04, 2022-01-29, 2022-02-23, 2022-02-24, 2022-03-10, 2022-03-11, 2022-03-19, 2022-04-02, 2022-04-06"
8347,"(908158,)","(0,)","2021-11-12, 2021-11-17"
18203,"(1206331,)","(0,)","2021-11-23, 2021-11-25"
18717,"(2165059,)","(0,)","2022-12-15, 2022-12-20, 2023-01-12, 2023-02-09, 2023-04-13, 2023-05-11, 2023-06-15"
18756,"(2136678,)","(0,)","2021-12-22, 2022-01-04"
18643,"(1435088,)","(0,)","2021-12-24, 2021-12-27"
25274,"(2208703,)","(0,)","2022-01-07, 2022-01-16"
22156,"(775067,)","(0,)","2022-01-13, 2022-03-10, 2022-04-03"
22363,"(2387072,)","(0,)","2022-01-17, 2022-01-20"
9041,"(158911,)","(0,)","2022-02-03, 2022-03-08"
2858,"(157543,)","(0,)","2023-06-15, 2024-02-03"
29436,"(2639077,)","(0,)","2022-02-24, 2022-03-15"
35963,"(2641623,)","(0,)","2022-04-14, 2022-04-19"
37098,"(2884509,)","(0,)","2022-02-27, 2022-03-08"
40040,"(887614,)","(0,)","2022-02-28, 2022-03-07"
37988,"(2961862,)","(0,)","2022-03-01, 2022-03-03, 2022-03-06"
41552,"(2961862,)","(0,)","2022-03-03, 2022-03-04"
40924,"(2706821,)","(0,)","2022-03-05, 2022-05-17"
36269,"(2935955,)","(0,)","2022-03-05, 2022-03-06"
38713,"(7065909,)","(0,)","2023-08-23, 2023-09-01"
38713,"(7190652,)","(0,)","2023-09-16, 2023-09-18"
12928,"(2276361,)","(0,)","2022-03-09, 2022-03-16"
41876,"(3020562,)","(0,)","2022-04-03, 2022-04-04"
26716,"(1017546,)","(0,)","2022-03-12, 2022-03-13"
34744,"(2835406,)","(0,)","2022-03-13, 2022-03-19"
19818,"(1852613,)","(0,)","2022-03-14, 2022-03-17"
44464,"(2612063,)","(0,)","2022-03-15, 2022-03-16"
49048,"(3127765,)","(0,)","2022-04-03, 2022-04-13"
19499,"(5375295,)","(0,)","2023-01-04, 2023-01-06"
19499,"(1743328,)","(0,)","2023-03-08, 2023-03-18"
19499,"(6589246,)","(0,)","2023-05-27, 2023-06-01"
40846,"(3574712,)","(0,)","2022-12-16, 2023-01-03"
56281,"(3286332,)","(0,)","2022-04-16, 2022-04-17"
42375,"(3206459,)","(0,)","2022-04-17, 2022-04-24, 2022-05-11, 2022-05-12, 2022-05-19"
2468,"(1122351,)","(0,)","2022-04-19, 2022-05-16, 2022-12-06"
59339,"(2854097,)","(0,)","2022-04-24, 2023-01-22, 2023-04-06"
36102,"(2992252,)","(0,)","2022-05-10, 2022-09-23"
51022,"(3412713,)","(0,)","2022-05-11, 2022-05-14"
55250,"(3418918,)","(0,)","2022-05-23, 2022-05-24, 2022-05-26"
29243,"(1840377,)","(0,)","2022-08-14, 2023-09-01"
29243,"(1237409,)","(0,)","2022-11-03, 2023-01-15"
29243,"(5787749,)","(0,)","2023-03-15, 2023-03-17, 2023-04-10"
52737,"(224774,)","(0,)","2022-05-15, 2022-08-12"
16299,"(3461476,)","(0,)","2022-05-19, 2022-05-30, 2022-07-04"
53807,"(3240322,)","(0,)","2022-05-20, 2022-05-24"
61897,"(3533048,)","(0,)","2022-05-21, 2022-05-22"
8564,"(827168,)","(0,)","2022-05-22, 2022-05-29"
22901,"(2201704,)","(0,)","2023-05-30, 2023-06-02"
64931,"(898362,)","(0,)","2022-05-24, 2022-05-25, 2022-05-28"
55784,"(3299913,)","(0,)","2022-05-26, 2022-05-27"
4123,"(2581761,)","(0,)","2022-05-27, 2022-10-22, 2023-02-04"
58417,"(3651774,)","(0,)","2022-06-21, 2022-06-23"
14633,"(3537026,)","(0,)","2022-06-24, 2022-06-25, 2022-07-04"
59725,"(3685085,)","(0,)","2022-06-24, 2022-06-25, 2022-06-26"
75381,"(3784978,)","(0,)","2022-07-01, 2022-07-02"
