Date,Token,Nodes
2018-01-23,81,"[63808, 63301, 63558, 63633, 63826, 63636, 63828, 63832, 63769, 4892, 22108, 63902, 63837, 63714, 64055, 33961, 63789, 63792, 61745, 63090, 60595, 63923, 63798, 15670, 4153, 63610, 63549, 63486, 63743]"
2018-01-28,81,"[63617, 10242, 63743, 63750, 63558, 64455, 63633, 63697, 63826, 64509, 64725, 64664, 63835, 63712, 33961, 45673, 63852, 63792, 14448, 60595, 63923, 64885, 63798, 64055, 15670, 64441, 63549, 63486, 3775]"
2018-02-06,111,"[66625, 66507, 66510, 66511, 66638, 66577, 66513, 66679, 66583, 66522, 66524, 66525, 66527, 66528, 66529, 66531, 66533, 66534, 66600, 66728, 66536, 66538, 66541, 66607, 66543, 66673, 66610, 66678, 66615]"
2018-02-19,168,"[69312, 65921, 65926, 65607, 37576, 69514, 61835, 64586, 65295, 69776, 65493, 37657, 69791, 1056, 65759, 65764, 66469, 63526, 15593, 45673, 70059, 66285, 18927, 63472, 61745, 69748, 69241, 34555, 1534]"
2018-02-24,82,"[63936, 71107, 10564, 64780, 69006, 65359, 69840, 71063, 66459, 63644, 4892, 64733, 31135, 2592, 69281, 64543, 2525, 64610, 68451, 64679, 70120, 70956, 69548, 65583, 60595, 65843, 71096, 69244, 63935]"
2018-03-01,213,"[63617, 68996, 64392, 70155, 2827, 3147, 69006, 67215, 69583, 68306, 65747, 64666, 71770, 2105, 71007, 69538, 71010, 65764, 63526, 70118, 21544, 64615, 70377, 63789, 61745, 70770, 71027, 69048, 63673]"
2018-03-04,69,"[67137, 67914, 66508, 65678, 71054, 68366, 59409, 69839, 72211, 60625, 8786, 65432, 64411, 71772, 41952, 71522, 63843, 72996, 69929, 73002, 64558, 64754, 67507, 64181, 61685, 56823, 68474, 72763, 72252]"
2018-03-04,230,"[72577, 70211, 72259, 43016, 21192, 14923, 1211, 38096, 72467, 72275, 72469, 71382, 71383, 71384, 65817, 72281, 72155, 72477, 71773, 58334, 71391, 1763, 45156, 61435, 72488, 72501, 72181, 72312, 72187]"
2018-03-12,303,"[72449, 63617, 74884, 71046, 63878, 68104, 69642, 70155, 69514, 70349, 70481, 3797, 65434, 4892, 58334, 75169, 74787, 69731, 65764, 29413, 1534, 52584, 41129, 15593, 45673, 70377, 72296, 74875, 74878]"
2018-03-15,230,"[65732, 75653, 75590, 43016, 75657, 75528, 75596, 75724, 38096, 75218, 71383, 75544, 72281, 75610, 66076, 75677, 71900, 75552, 65315, 75493, 16486, 72428, 75693, 75694, 44983, 46138, 72187, 75582, 75647]"
2018-03-16,255,"[72193, 72194, 72195, 74118, 72199, 74566, 74825, 66059, 72268, 72205, 74134, 73495, 72216, 64346, 75866, 75743, 72224, 64864, 72226, 72227, 75554, 75388, 72230, 73574, 74423, 72234, 72242, 64823, 65404]"
2018-04-10,266,"[72832, 50497, 28930, 82753, 76040, 72572, 2442, 72700, 70348, 72848, 72531, 73050, 72604, 69244, 72609, 72547, 72868, 64355, 72677, 72552, 11178, 73066, 4141, 73456, 61745, 62133, 84345, 72508, 85181]"
2018-04-13,338,"[76163, 72771, 76361, 76235, 81996, 85582, 76499, 79126, 76183, 78235, 79644, 77915, 81117, 76385, 70819, 76580, 80740, 85415, 80681, 76330, 76778, 76394, 85613, 77294, 78255, 83693, 84593, 76473, 76858]"
2018-04-20,266,"[72832, 4289, 73029, 72572, 2442, 72700, 70348, 72657, 64853, 44566, 73696, 69244, 86562, 72866, 75106, 67365, 73125, 72547, 64355, 72873, 248, 72749, 69294, 72945, 86516, 72565, 72887, 66168, 11196]"
2018-04-20,338,"[79296, 78210, 62217, 81996, 76184, 55064, 86297, 76504, 83868, 86619, 76580, 85861, 76778, 2347, 76203, 76395, 76394, 85613, 76080, 77294, 77298, 76274, 76276, 76473, 76410, 76539, 80637, 68286, 86779]"
2018-05-05,69,"[88578, 71619, 82811, 60166, 76039, 88457, 85900, 49165, 88334, 86160, 59409, 60625, 65432, 83033, 87325, 64287, 84835, 88103, 86568, 61865, 86377, 84843, 4271, 74930, 88116, 56823, 83576, 88571, 87868]"
2018-05-23,69,"[82811, 85637, 70410, 72266, 49165, 62670, 72398, 59409, 91026, 60625, 8786, 55064, 67993, 69530, 90011, 90076, 87325, 66720, 41952, 74081, 88103, 90984, 71727, 90991, 68976, 74930, 56823, 88571, 56765]"
2018-05-25,69,"[91394, 88580, 90245, 60166, 89991, 53193, 72266, 65678, 59409, 60625, 91346, 67860, 86549, 73553, 91415, 74264, 29783, 69530, 86939, 87325, 74081, 88103, 90984, 83436, 71727, 4271, 74930, 88116, 56823]"
2018-06-06,493,"[93376, 91968, 93382, 93383, 93321, 91594, 93325, 85134, 92176, 93397, 93399, 74585, 74713, 93403, 91870, 91872, 91874, 92195, 91875, 50794, 92076, 92012, 66350, 91887, 93426, 80182, 93430, 91902, 93375]"
2018-06-07,493,"[91968, 93383, 93321, 91594, 93516, 93325, 85134, 93517, 92176, 71953, 93518, 93397, 93399, 93403, 74716, 91874, 92195, 93476, 91875, 93478, 50794, 92076, 66350, 93426, 80182, 93430, 92027, 91902, 67391]"
2018-06-21,440,"[93697, 94273, 95235, 95171, 94148, 94788, 93764, 95112, 95176, 88203, 95187, 94996, 92251, 87965, 94045, 75743, 94241, 95457, 90084, 92263, 89961, 92523, 92141, 94959, 95471, 92211, 95096, 90555, 92286]"
2018-06-22,463,"[87040, 88512, 95491, 90691, 67850, 3085, 62735, 60688, 85840, 67665, 33104, 6292, 95356, 21017, 86233, 82270, 89891, 76774, 21544, 72552, 90092, 86255, 95344, 95345, 95288, 43513, 88508, 58621, 95294]"
2018-07-01,484,"[92610, 94979, 90691, 92228, 93766, 94972, 100623, 94993, 92181, 94997, 93407, 95904, 93884, 100643, 100646, 94951, 98045, 93867, 94967, 100461, 100655, 95473, 94195, 95030, 94775, 100278, 93881, 92092, 92093]"
2018-08-27,484,"[107136, 92228, 94993, 107414, 107160, 94936, 102042, 92316, 102941, 101533, 102047, 95904, 104993, 107485, 107045, 107495, 95529, 93866, 93867, 106348, 93870, 105968, 95858, 104757, 94775, 106876, 101626, 92092, 92093]"
2018-08-28,484,"[107136, 92228, 102032, 94993, 103377, 94995, 6292, 107668, 107414, 102042, 107228, 101533, 95904, 93884, 104230, 94566, 95529, 104874, 93867, 106348, 43513, 93870, 105009, 107698, 95858, 93881, 92092, 92093, 98046]"
