Date,Token,Nodes
2019-04-18,746,"[169473, 188164, 198918, 153609, 109322, 218893, 151312, 209431, 169753, 223259, 182044, 192542, 211999, 156449, 209442, 189991, 188460, 188462, 216625, 188982, 88631, 184122, 224832, 66369, 182085, 157000, 95049, 198984, 188235, 168274, 165714, 192853, 151893, 101975, 224345, 180833, 99178, 185710, 91504, 207734, 155514, 225915, 217215, 185983, 188800, 195204, 210564, 189062, 176004, 169353, 157065, 190604, 169619, 110231, 109209, 192154, 109726, 153249, 175521, 150948, 108968, 192426, 187567, 170160, 187057, 178354, 170416, 94128, 224178, 183735, 192441, 180923, 209596, 170184, 156619, 150990, 175314, 213459, 169686, 153047, 225498, 111836, 225502, 175070, 225504, 110563, 225763, 187880, 197353, 191465, 191724, 175853, 110573, 111343, 216815, 6130, 225780, 104440, 191996, 193279]"
2019-08-17,484,"[192005, 401417, 211977, 200969, 231179, 194316, 94993, 402963, 398868, 186644, 182551, 74264, 391193, 55064, 423457, 412449, 229666, 192296, 424745, 193322, 401453, 201261, 407345, 65843, 105012, 228662, 192310, 197430, 193338, 193341, 92228, 192329, 215882, 418382, 406350, 418384, 189778, 193117, 200542, 196959, 209505, 199785, 195179, 193135, 192881, 196978, 199026, 193140, 418169, 424826, 394108, 424833, 391555, 200324, 229252, 390021, 412817, 237202, 155539, 401300, 393111, 424856, 423585, 196261, 195238, 195243, 183723, 194738, 200886, 195254, 424886, 412598, 403387, 397500, 401340, 92093, 236987, 401346, 175813, 200653, 397261, 402127, 402128, 196816, 193234, 397269, 187863, 211931, 198108, 401886, 396513, 404193, 108770, 175847, 157676, 224759, 191992, 396793, 196348, 98046]"
2019-09-14,746,"[176384, 187393, 391936, 398593, 215047, 180487, 158732, 434702, 208404, 156436, 406550, 392472, 192542, 426529, 102434, 327715, 226595, 401447, 193319, 428586, 155184, 184115, 182580, 194869, 218679, 216632, 188220, 215101, 429898, 433744, 218961, 434264, 181083, 210781, 213857, 413027, 84581, 105317, 75110, 168807, 107366, 434794, 424043, 153961, 99178, 169324, 233071, 151664, 429421, 410480, 434545, 174709, 181365, 184693, 94069, 185983, 234369, 196995, 190342, 169353, 430731, 400780, 169619, 155539, 110231, 428184, 185498, 188829, 169634, 184227, 185768, 169641, 428205, 211121, 104369, 188344, 434113, 88776, 182728, 191945, 188108, 193228, 180690, 213459, 190418, 401622, 189910, 199386, 189153, 403937, 390371, 395235, 187880, 398570, 189681, 394737, 434676, 201464, 406265, 193276]"
2019-09-18,746,"[429312, 187393, 207874, 153609, 390411, 158732, 434702, 171023, 185880, 214555, 229405, 192542, 210975, 169758, 327715, 226595, 426533, 199213, 152626, 222770, 190770, 426292, 88630, 413755, 209725, 171325, 193856, 424257, 186437, 182085, 191303, 425033, 411727, 218961, 169556, 186200, 435293, 210781, 426593, 227938, 426598, 188778, 424043, 99178, 435052, 424302, 415088, 170358, 194167, 407416, 434812, 414589, 185214, 231043, 195204, 186500, 237445, 178054, 72584, 169353, 402322, 155539, 110231, 155800, 185498, 192154, 418459, 153249, 210087, 216492, 410541, 434606, 230320, 156594, 233654, 187067, 181183, 175298, 401347, 189639, 191945, 171211, 193228, 434635, 185550, 191439, 180690, 213459, 208341, 189910, 191459, 430565, 391655, 189673, 228585, 191724, 111343, 182523, 408317, 187134]"
2019-10-02,1002,"[230659, 210437, 215047, 228104, 155145, 109322, 171023, 193051, 413467, 438043, 438044, 195103, 437792, 102434, 327715, 222755, 437809, 88631, 224567, 426554, 215101, 194365, 424257, 189764, 191815, 95049, 209739, 165714, 192339, 410712, 215643, 232540, 210781, 151647, 178272, 436578, 193126, 75110, 213096, 171112, 168807, 153707, 215915, 193901, 410480, 192114, 155763, 409974, 148855, 169593, 437882, 394620, 185983, 224128, 437892, 437893, 191364, 400780, 435855, 103313, 418709, 428184, 175513, 437147, 395675, 391067, 180894, 210591, 436637, 102313, 414891, 216492, 187057, 105394, 91059, 181171, 162742, 180923, 181183, 193220, 390600, 169678, 185550, 150990, 430547, 189916, 155872, 217825, 189153, 191459, 182246, 436712, 191465, 429034, 191724, 183788, 164339, 183541, 413944, 182523]"
2019-10-15,746,"[180487, 183307, 171023, 186131, 436250, 193051, 438044, 192542, 186656, 436000, 177698, 327715, 426533, 430118, 424741, 432424, 199213, 404014, 218670, 215101, 193856, 424257, 190786, 197446, 411727, 418383, 165714, 420435, 187223, 210781, 178272, 436578, 434275, 105317, 75110, 165222, 434022, 99178, 215915, 169324, 153965, 151664, 439664, 397174, 170358, 105592, 395897, 185214, 402303, 194180, 237445, 190344, 169353, 394121, 189581, 416653, 216720, 156561, 169619, 428184, 192154, 437147, 186271, 185250, 105378, 169638, 188842, 177580, 183222, 188344, 185530, 180923, 208316, 181183, 424895, 424896, 424897, 189639, 88776, 397255, 439755, 390348, 155341, 156619, 150989, 180690, 397266, 192731, 175325, 421344, 421346, 192227, 391655, 441577, 428780, 187372, 193262, 187888, 412407, 390394]"
2019-11-15,1002,"[210437, 187910, 109322, 158732, 441869, 186131, 185366, 444438, 453911, 453912, 453914, 193051, 414236, 453918, 177698, 327715, 222755, 102434, 187688, 111148, 152626, 182837, 88630, 151358, 197188, 189764, 209485, 237390, 192339, 448340, 153690, 414299, 394592, 213857, 213096, 171112, 438122, 440429, 394350, 424302, 151664, 217976, 405883, 312188, 392317, 185214, 452995, 237445, 400780, 450189, 447630, 191634, 155539, 104597, 428184, 417945, 185496, 162203, 429215, 184223, 436128, 226207, 153763, 436899, 194214, 171430, 185768, 188842, 189100, 200109, 194224, 195253, 188344, 185530, 106426, 417987, 185795, 449477, 449478, 390600, 454090, 232907, 155341, 185550, 177360, 448210, 180690, 448212, 401622, 189910, 51670, 416479, 446437, 392680, 191465, 429034, 183788, 189681, 182523, 404989]"
2019-12-19,1002,"[436225, 236548, 152581, 215047, 450568, 180487, 109322, 194061, 457235, 458522, 167451, 169758, 184358, 193320, 199213, 393266, 190770, 424505, 461372, 215101, 393534, 154946, 214597, 459590, 173639, 461387, 208716, 209485, 237390, 459602, 95317, 180567, 461146, 194656, 399969, 184416, 461665, 207714, 168807, 213096, 171112, 99178, 428652, 151664, 174709, 184693, 207734, 461944, 187255, 430202, 461950, 419970, 425603, 461961, 461966, 162203, 180894, 105378, 199078, 210087, 414891, 233654, 185530, 423866, 181183, 231873, 222402, 185795, 229572, 214983, 418505, 183754, 156619, 169678, 448210, 180690, 169686, 184790, 193240, 90842, 192731, 189404, 212701, 180448, 449250, 191459, 462309, 424679, 462311, 441323, 183788, 168174, 188911, 189681, 183541, 435703, 416506, 182523, 211964, 170238]"
2020-01-02,1002,"[217601, 236548, 187910, 436489, 183306, 109322, 431886, 106002, 185366, 460826, 193051, 414236, 431642, 169758, 327715, 459811, 222755, 193320, 177449, 466218, 188460, 444209, 190770, 188725, 430404, 187716, 430413, 237390, 201297, 95317, 190041, 210781, 185952, 213857, 213096, 99178, 169324, 424302, 151664, 439664, 409974, 465271, 169593, 167803, 167808, 224128, 445826, 190596, 103313, 82069, 432794, 192154, 162203, 431773, 226207, 175521, 105378, 291747, 461732, 447918, 412849, 154545, 233654, 183735, 75703, 180923, 181183, 434113, 189639, 390600, 418505, 392907, 464845, 150990, 464846, 180945, 175314, 226769, 180690, 155861, 189910, 401623, 424410, 421339, 212701, 180448, 466151, 185832, 187880, 191465, 183788, 193009, 169714, 466163, 434676, 183541, 435703, 182523, 211964, 170238]"
2020-01-12,1002,"[186114, 152581, 469766, 109322, 194061, 106002, 208404, 185366, 161561, 435738, 226332, 156703, 414240, 431650, 327715, 447273, 194604, 199213, 430384, 188725, 413755, 208446, 84299, 393549, 168274, 459347, 187478, 190041, 445789, 185952, 399969, 165222, 75110, 213096, 171112, 99178, 395626, 234355, 466549, 94069, 170106, 192637, 87682, 190596, 400772, 72584, 189577, 198291, 155800, 446617, 192154, 459419, 191133, 95134, 153250, 169378, 199078, 210087, 208039, 188842, 460971, 169390, 154545, 91059, 75703, 180923, 208316, 181183, 198080, 231873, 181189, 189639, 170184, 469704, 191945, 469707, 439755, 212941, 185550, 230095, 464846, 469713, 175314, 430544, 466644, 180690, 187864, 425180, 189404, 466909, 191465, 188907, 181485, 469742, 195822, 153582, 467444, 415734, 413944, 237050]"
