Token,Nodes,Smart_Contract_Flags,Dates,Temporal_Distance
69,"(4271, 29783, 53193, 56823, 59409, 60166, 60625, 65678, 67860, 69530, 71727, 72266, 73553, 74081, 74264, 74930, 83436, 86549, 86939, 87325, 88103, 88116, 88580, 89991, 90245, 90984, 91346, 91394, 91415)","(0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-05-25'],[]
69,"(56765, 63034, 64181, 67204, 86939, 111336, 655013, 695045, 775067, 836488, 971151, 1036591, 1092463, 1097196, 1126069, 1133897, 1136495, 1140430, 1150420, 1192401, 1212570, 1233440, 1279142, 1352015, 1371998, 1418669, 1506536, 1506778, 1508559)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2021-10-02'],[]
230,"(1211, 1763, 14923, 21192, 38096, 43016, 45156, 58334, 61435, 65817, 70211, 71382, 71383, 71384, 71391, 71773, 72155, 72181, 72187, 72259, 72275, 72281, 72312, 72467, 72469, 72477, 72488, 72501, 72577)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-03-04'],[]
230,"(16486, 38096, 43016, 44983, 46138, 65315, 65732, 66076, 71383, 71900, 72187, 72281, 72428, 75218, 75493, 75528, 75544, 75552, 75582, 75590, 75596, 75610, 75647, 75653, 75657, 75677, 75693, 75694, 75724)","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-03-15'],[]
303,"(1534, 3797, 4892, 15593, 29413, 41129, 45673, 52584, 58334, 63617, 63878, 65434, 65764, 68104, 69514, 69642, 69731, 70155, 70349, 70377, 70481, 71046, 72296, 72449, 74787, 74875, 74878, 74884, 75169)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",['2018-03-12'],[]
255,"(64346, 64823, 64864, 65404, 66059, 72193, 72194, 72195, 72199, 72205, 72216, 72224, 72226, 72227, 72230, 72234, 72242, 72268, 73495, 73574, 74118, 74134, 74423, 74566, 74825, 75388, 75554, 75743, 75866)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-03-16'],[]
266,"(2442, 4141, 11178, 28930, 50497, 61745, 62133, 64355, 69244, 70348, 72508, 72531, 72547, 72552, 72572, 72604, 72609, 72677, 72700, 72832, 72848, 72868, 73050, 73066, 73456, 76040, 82753, 84345, 85181)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-04-10'],[]
266,"(248, 2442, 4289, 11196, 44566, 64355, 64853, 66168, 67365, 69244, 69294, 70348, 72547, 72565, 72572, 72657, 72700, 72749, 72832, 72866, 72873, 72887, 72945, 73029, 73125, 73696, 75106, 86516, 86562)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-04-20'],[]
266,"(3574, 4141, 5411, 5610, 7181, 21227, 64355, 64755, 65042, 72547, 72552, 72571, 72572, 72580, 72622, 72658, 72692, 72784, 81321, 95599, 105686, 105708, 107282, 163055, 163959, 166798, 174540, 174669, 205739)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2019-03-22'],[]
266,"(2065, 3574, 5610, 15569, 62615, 64355, 65042, 66168, 72547, 72552, 72571, 72572, 72580, 72692, 102466, 105094, 105708, 106843, 109478, 155842, 162028, 168318, 174540, 180987, 183774, 186833, 190843, 194713, 208224)","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2019-03-24'],[]
338,"(70819, 72771, 76163, 76183, 76235, 76330, 76361, 76385, 76394, 76473, 76499, 76580, 76778, 76858, 77294, 77915, 78235, 78255, 79126, 79644, 80681, 80740, 81117, 81996, 83693, 84593, 85415, 85582, 85613)","(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-04-13'],[]
338,"(2347, 55064, 62217, 68286, 76080, 76184, 76203, 76274, 76276, 76394, 76395, 76410, 76473, 76504, 76539, 76580, 76778, 77294, 77298, 78210, 79296, 80637, 81996, 83868, 85613, 85861, 86297, 86619, 86779)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-04-20'],[]
493,"(50794, 66350, 74585, 74713, 80182, 85134, 91594, 91870, 91872, 91874, 91875, 91887, 91902, 91968, 92012, 92076, 92176, 92195, 93321, 93325, 93375, 93376, 93382, 93383, 93397, 93399, 93403, 93426, 93430)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0)",['2018-06-06'],[]
493,"(50794, 66350, 67391, 71953, 74716, 80182, 85134, 91594, 91874, 91875, 91902, 91968, 92027, 92076, 92176, 92195, 93321, 93325, 93383, 93397, 93399, 93403, 93426, 93430, 93476, 93478, 93516, 93517, 93518)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-06-07'],[]
440,"(75743, 87965, 88203, 89961, 90084, 90555, 92141, 92211, 92251, 92263, 92286, 92523, 93697, 93764, 94045, 94148, 94241, 94273, 94788, 94959, 94996, 95096, 95112, 95171, 95176, 95187, 95235, 95457, 95471)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-06-21'],[]
463,"(3085, 6292, 21017, 21544, 33104, 43513, 58621, 60688, 62735, 67665, 67850, 72552, 76774, 82270, 85840, 86233, 86255, 87040, 88508, 88512, 89891, 90092, 90691, 95288, 95294, 95344, 95345, 95356, 95491)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-06-22'],[]
484,"(90691, 92092, 92093, 92181, 92228, 92610, 93407, 93766, 93867, 93881, 93884, 94195, 94775, 94951, 94967, 94972, 94979, 94993, 94997, 95030, 95473, 95904, 98045, 100278, 100461, 100623, 100643, 100646, 100655)","(0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-07-01'],[]
484,"(92092, 92093, 92228, 92316, 93866, 93867, 93870, 94775, 94936, 94993, 95529, 95858, 95904, 101533, 101626, 102042, 102047, 102941, 104757, 104993, 105968, 106348, 106876, 107045, 107136, 107160, 107414, 107485, 107495)","(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-08-27'],[]
484,"(6292, 43513, 92092, 92093, 92228, 93867, 93870, 93881, 93884, 94566, 94993, 94995, 95529, 95858, 95904, 98046, 101533, 102032, 102042, 103377, 104230, 104874, 105009, 106348, 107136, 107228, 107414, 107668, 107698)","(0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-08-28'],[]
484,"(66369, 78361, 92092, 92093, 92228, 92434, 93867, 94069, 94972, 94993, 95529, 95904, 98045, 100731, 107865, 108770, 109322, 111295, 111540, 111710, 151645, 153801, 154061, 154539, 154614, 155014, 155252, 155255, 155259)","(0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-09-27'],[]
484,"(92092, 92093, 92228, 93893, 93895, 94331, 94559, 94775, 94993, 95134, 95295, 95529, 95904, 100731, 102091, 104874, 105012, 107865, 109177, 109322, 109726, 110573, 154539, 155338, 156240, 158226, 158790, 160474, 160532)","(1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-10-14'],[]
484,"(69341, 92092, 92093, 92228, 93881, 95529, 104757, 105012, 109350, 110573, 154539, 156327, 160884, 163438, 166176, 166550, 166682, 168005, 168174, 168393, 168820, 169672, 170160, 170166, 170293, 170298, 170300, 170432, 170598)","(0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-12-06'],[]
238,"(71807, 71823, 71932, 71978, 72051, 72407, 72429, 90522, 104505, 109928, 109929, 110294, 110299, 110317, 110323, 110359, 110508, 110530, 110531, 110538, 110547, 110561, 110580, 110610, 110615, 110653, 110654, 110742, 110956)","(0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-09-09'],[]
668,"(1287, 25910, 30493, 70462, 80407, 87532, 104349, 106469, 107832, 107989, 107996, 108000, 108003, 108010, 108377, 108403, 108423, 108610, 108650, 108653, 109185, 111086, 111097, 111098, 111099, 111118, 111168, 111169, 111171)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-09-10'],[]
668,"(2972, 70462, 96972, 104379, 106965, 107832, 107950, 107989, 108151, 108283, 108423, 111099, 111489, 112026, 112431, 153629, 155607, 158839, 159289, 161217, 161981, 162048, 162056, 162057, 162076, 162092, 162099, 162113, 162117)","(0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-10-22'],[]
668,"(41982, 45214, 104349, 104875, 105793, 107513, 107968, 107989, 107998, 108003, 108217, 108295, 108978, 109185, 111099, 155812, 158993, 160604, 160631, 161217, 164775, 165870, 169135, 169188, 169206, 169215, 169289, 169290, 169316)","(0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-11-29'],[]
668,"(10400, 53503, 80407, 104349, 107832, 107989, 108003, 108010, 108217, 108271, 108650, 112301, 156553, 160604, 161214, 162713, 168660, 168929, 169332, 174669, 174777, 175882, 180240, 180761, 180859, 181442, 181560, 181636, 181667)","(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2019-01-06'],[]
668,"(68142, 80407, 101439, 104349, 106965, 107989, 108003, 108007, 108217, 108295, 109297, 110563, 111661, 112298, 156563, 161214, 162343, 168660, 170899, 174777, 175561, 175673, 180793, 183289, 184126, 184656, 188702, 188741, 188784)","(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2019-02-05'],[]
668,"(3610, 70462, 87245, 107989, 108003, 108217, 108650, 111636, 112122, 112481, 154809, 169768, 174777, 190989, 192200, 196929, 210876, 394277, 404779, 405807, 445978, 460044, 492529, 510623, 510698, 511819, 514201, 515764, 515994)","(0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",['2020-02-25'],[]
668,"(64007, 107989, 108003, 108217, 108295, 109888, 111636, 171185, 175560, 189997, 192200, 197082, 198062, 362525, 435330, 491284, 501064, 501140, 501220, 501300, 505928, 511754, 530276, 534148, 543038, 548173, 549793, 550064, 550248)","(0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2020-04-25'],[]
668,"(26672, 45214, 54782, 55312, 108295, 108650, 156563, 175850, 192200, 197621, 208605, 391156, 426594, 444510, 459285, 489157, 595406, 679879, 717322, 719377, 722589, 740696, 741253, 741733, 741880, 742178, 742211, 742228, 742444)","(0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2021-02-20'],[]
668,"(62983, 107989, 108295, 108650, 112064, 157107, 158956, 175837, 185947, 192200, 492623, 699128, 717322, 766381, 773699, 789490, 803402, 808018, 821730, 836756, 836758, 840285, 840797, 840824, 840892, 841053, 841191, 842005, 842092)","(0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2021-04-02'],[]
668,"(106965, 107989, 108003, 108295, 108650, 192200, 414261, 424004, 505928, 508404, 544603, 647493, 675858, 717322, 732721, 752270, 757146, 790341, 800273, 836247, 867694, 871896, 874007, 876245, 880140, 880314, 880436, 881739, 881778)","(0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2021-04-24'],[]
668,"(4441, 24537, 28748, 107989, 108295, 160502, 192200, 196641, 419891, 501696, 592188, 704202, 717322, 725051, 761033, 820469, 844753, 871896, 875735, 886847, 887937, 889046, 902395, 903072, 907821, 927585, 938969, 940024, 940271)","(0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2021-05-25'],[]
668,"(17088, 107989, 108003, 108707, 156548, 492710, 543664, 550521, 572083, 573527, 603431, 612591, 717322, 723038, 725051, 792593, 873735, 928375, 930748, 953914, 964568, 1005240, 1006482, 1032499, 1037005, 1129620, 1169311, 1183362, 1187285)","(0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2021-08-24'],[]
668,"(107989, 108003, 109796, 111099, 177305, 194775, 207793, 210387, 460331, 557332, 723038, 725051, 731880, 812311, 965010, 976344, 1044034, 1112059, 1135217, 1440887, 1523037, 1537958, 1628474, 1704716, 1715382, 1753720, 1756849, 1760525, 1760921)","(1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2021-11-08'],[]
668,"(2364, 4299, 153778, 166781, 169557, 192117, 216418, 296603, 938920, 1089826, 1096581, 1195502, 2242460, 2303223, 2342841, 2437960, 2445730, 2470110, 2621686, 2729052, 2854416, 2854417, 2854577, 2854608, 2855874, 2856571, 2857279, 2857566, 2861478)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2022-02-21'],[]
668,"(107989, 109421, 394258, 544619, 645326, 717193, 717322, 725051, 745853, 851733, 878303, 1342413, 1638970, 1867014, 2130619, 2546144, 2897251, 3178106, 3271757, 3407567, 3412051, 3415119, 3450809, 3467965, 3469541, 3471602, 3474728, 3482059, 3483271)","(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",['2022-05-17'],[]
633,"(90191, 90861, 91417, 91570, 105153, 105154, 105322, 105348, 105586, 105629, 105671, 105718, 105773, 105967, 106027, 107329, 107332, 107369, 108305, 108793, 108852, 109489, 110501, 110505, 111526, 112025, 112345, 132116, 148853)","(0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-09-26'],[]
633,"(91417, 91570, 91785, 105153, 105154, 105328, 105365, 105403, 105458, 105586, 105671, 105714, 105773, 106372, 107285, 107329, 107380, 108837, 109822, 110382, 112445, 155232, 155278, 155288, 155314, 155417, 155465, 155524, 155650)","(0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-09-28'],[]
633,"(77542, 91643, 105153, 105154, 105349, 105498, 105586, 105605, 105629, 105652, 105671, 105778, 106027, 107329, 107576, 108626, 108837, 110592, 111192, 111308, 112466, 152402, 152994, 153477, 155524, 156030, 156201, 156220, 156255)","(0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-10-02'],[]
633,"(91643, 105153, 105154, 105328, 105348, 105365, 105458, 105480, 105498, 105586, 105605, 105773, 106027, 107302, 107329, 108305, 110570, 111192, 112023, 132116, 155524, 155903, 156030, 156124, 156201, 156317, 156424, 156444, 156481)","(0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-10-04'],[]
738,"(2972, 16850, 70080, 100484, 106806, 112914, 114384, 119760, 120088, 121382, 123907, 126008, 127334, 127685, 130861, 135729, 136290, 141646, 142979, 143313, 148469, 152878, 153515, 155276, 156013, 156031, 156056, 156139, 156141)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0)",['2018-10-01'],[]
786,"(18596, 25019, 158787, 158816, 159228, 159372, 159864, 160087, 160469, 160470, 160586, 160594, 160662, 160846, 160946, 161160, 161246, 161713, 162120, 162128, 162469, 162495, 162648, 162806, 162899, 162902, 162951, 162985, 162986)","(0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-10-28'],[]
786,"(160087, 160469, 7610742, 7610743, 7610744, 7610745, 7610768, 7610769, 7610770, 7610771, 7610772, 7610773, 7610774, 7610901, 7610902, 7610903, 7610922, 7610923, 7610924, 7610925, 7610926, 7610927, 7610962, 7610963, 7610964, 7610965, 7610966, 7610968, 7610986)","(0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2024-01-07'],[]
785,"(1927, 13953, 20864, 21600, 26483, 47050, 60996, 72916, 84495, 94807, 102850, 108360, 108537, 154460, 157193, 157284, 157895, 157907, 157912, 158022, 158206, 158262, 158336, 158379, 158584, 158648, 158950, 160517, 163763)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-10-31'],[]
785,"(20344, 21841, 26483, 50591, 72916, 76376, 78470, 102083, 157593, 157760, 157769, 157803, 158080, 158336, 158344, 158347, 158728, 161646, 168056, 169294, 176079, 185822, 186138, 192020, 199333, 200145, 200441, 210157, 210582)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2019-03-29'],[]
850,"(35143, 39319, 71953, 91874, 111627, 158968, 162343, 162345, 163346, 163353, 163783, 163785, 163786, 163787, 163790, 163873, 163912, 164115, 164141, 164142, 164147, 164148, 164157, 164159, 164183, 164330, 164352, 164371, 164475)","(0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-11-01'],[]
850,"(9922, 18973, 92529, 100836, 111627, 162029, 162047, 163346, 163353, 163785, 164159, 164352, 164611, 164673, 167707, 171314, 175844, 176431, 177003, 178840, 179927, 180036, 180411, 182617, 182618, 182619, 182620, 182623, 182693)","(0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2019-01-09'],[]
568,"(9425, 48989, 63534, 91050, 93874, 95049, 97219, 101076, 103010, 104480, 104597, 107965, 108292, 108479, 108694, 109100, 109187, 109600, 109799, 110563, 111236, 112031, 132677, 155763, 156187, 156436, 161208, 162742, 163226)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-11-17'],[]
568,"(2818, 4934, 63642, 93895, 104349, 104375, 104379, 104433, 104436, 104597, 104598, 104599, 107970, 109071, 109261, 109266, 109396, 109418, 153122, 163915, 164473, 164477, 170106, 185453, 185638, 186439, 186908, 189221, 193537)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2019-03-08'],[]
381,"(82476, 82630, 82631, 83139, 83229, 83778, 84554, 85257, 85516, 85703, 86486, 90691, 93145, 93568, 97790, 101639, 102552, 102723, 103714, 107549, 110533, 154378, 156099, 160443, 164941, 165062, 166629, 168539, 168598)","(0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0)",['2018-11-25'],[]
