Token,Nodes,Smart_Contract_Flags,Dates,Temporal_Distance
81,"(4153, 4892, 15670, 22108, 33961, 60595, 61745, 63090, 63301, 63486, 63549, 63558, 63610, 63633, 63636, 63714, 63743, 63769, 63789, 63792, 63798, 63808, 63826, 63828, 63832, 63837, 63902, 63923, 64055)","(0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-01-23'],[]
81,"(3775, 10242, 14448, 15670, 33961, 45673, 60595, 63486, 63549, 63558, 63617, 63633, 63697, 63712, 63743, 63750, 63792, 63798, 63826, 63835, 63852, 63923, 64055, 64441, 64455, 64509, 64664, 64725, 64885)","(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-01-28'],[]
111,"(66507, 66510, 66511, 66513, 66522, 66524, 66525, 66527, 66528, 66529, 66531, 66533, 66534, 66536, 66538, 66541, 66543, 66577, 66583, 66600, 66607, 66610, 66615, 66625, 66638, 66673, 66678, 66679, 66728)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-02-06'],[]
168,"(1056, 1534, 15593, 18927, 34555, 37576, 37657, 45673, 61745, 61835, 63472, 63526, 64586, 65295, 65493, 65607, 65759, 65764, 65921, 65926, 66285, 66469, 69241, 69312, 69514, 69748, 69776, 69791, 70059)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",['2018-02-19'],[]
82,"(2525, 2592, 4892, 10564, 31135, 60595, 63644, 63935, 63936, 64543, 64610, 64679, 64733, 64780, 65359, 65583, 65843, 66459, 68451, 69006, 69244, 69281, 69548, 69840, 70120, 70956, 71063, 71096, 71107)","(0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-02-24'],[]
82,"(61411, 70991, 161391, 593961, 744130, 747493, 891969, 907083, 917469, 1057326, 1064548, 1134750, 1140018, 1166646, 1176392, 1186006, 1194858, 1224510, 1255144, 1288456, 1298169, 1447434, 1490956, 1667372, 1975593, 2057868, 2377644, 2392245, 2409917)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2022-02-21'],[]
213,"(2105, 2827, 3147, 21544, 61745, 63526, 63617, 63673, 63789, 64392, 64615, 64666, 65747, 65764, 67215, 68306, 68996, 69006, 69048, 69538, 69583, 70118, 70155, 70377, 70770, 71007, 71010, 71027, 71770)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0)",['2018-03-01'],[]
69,"(8786, 41952, 56823, 59409, 60625, 61685, 63843, 64181, 64411, 64558, 64754, 65432, 65678, 66508, 67137, 67507, 67914, 68366, 68474, 69839, 69929, 71054, 71522, 71772, 72211, 72252, 72763, 72996, 73002)","(0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-03-04'],[]
69,"(4271, 49165, 56823, 59409, 60166, 60625, 61865, 64287, 65432, 71619, 74930, 76039, 82811, 83033, 83576, 84835, 84843, 85900, 86160, 86377, 86568, 87325, 87868, 88103, 88116, 88334, 88457, 88571, 88578)","(0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-05-05'],[]
69,"(8786, 41952, 49165, 55064, 56765, 56823, 59409, 60625, 62670, 66720, 67993, 68976, 69530, 70410, 71727, 72266, 72398, 74081, 74930, 82811, 85637, 87325, 88103, 88571, 90011, 90076, 90984, 90991, 91026)","(0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",['2018-05-23'],[]
