Token,Nodes,Smart_Contract_Flags,Dates,Temporal_Distance
154954,"(7486662, 7513632, 7513850, 7546511, 7546825)","(0, 0, 0, 0, 0)","['2023-12-25', '2023-12-27', '2023-12-31']","[2, 4]"
161892,"(3141378, 3141379, 3141380, 6102677, 6102678)","(1, 1, 1, 1, 1)","['2023-03-16', '2023-03-19', '2023-03-20', '2023-03-21', '2023-03-26', '2023-03-27', '2023-03-31', '2023-04-02', '2023-04-03']","[3, 1, 1, 5, 1, 4, 2, 1]"
161892,"(958130, 3141379, 3141380, 6102677, 6102678)","(0, 1, 1, 1, 1)","['2023-05-01', '2023-05-07']",[6]
161892,"(3141379, 3141380, 5546802, 6102677, 6102678)","(1, 1, 0, 1, 1)","['2023-10-03', '2023-10-16', '2024-01-24']","[13, 100]"
164301,"(5131592, 5419993, 5575011, 5698611, 6099439)","(0, 0, 0, 0, 0)","['2023-10-19', '2023-10-21']",[2]
170866,"(1042603, 1550927, 1653442, 3011155, 4660337)","(0, 0, 0, 0, 1)","['2023-04-24', '2023-06-22']",[59]
177253,"(1633017, 3141379, 3141380, 6607247, 6633767)","(0, 1, 1, 1, 1)","['2023-07-18', '2023-08-30']",[43]
177253,"(3141378, 3141379, 3141380, 4854738, 6633767)","(1, 1, 1, 0, 1)","['2023-08-02', '2023-08-06', '2024-02-23']","[4, 201]"
177253,"(1658206, 3141378, 3141379, 3141380, 6633767)","(0, 1, 1, 1, 1)","['2023-09-20', '2023-11-07', '2024-02-06']","[48, 91]"
177253,"(1658206, 3141379, 3141380, 6607247, 6633767)","(0, 1, 1, 1, 1)","['2023-11-05', '2023-12-18', '2023-12-24', '2024-01-23', '2024-02-11']","[43, 6, 30, 19]"
177248,"(3141378, 3141379, 3141380, 4021721, 6693532)","(1, 1, 1, 0, 1)","['2023-08-31', '2023-11-28']",[89]
177248,"(1013851, 3141378, 3141379, 3141380, 6693532)","(0, 1, 1, 1, 1)","['2023-09-02', '2023-09-04']",[2]
175538,"(4621467, 5536430, 6546840, 6742667, 6751054)","(0, 1, 0, 1, 0)","['2023-06-24', '2023-07-01']",[7]
175538,"(4621467, 5536430, 6742667, 6805265, 6810014)","(0, 1, 1, 0, 0)","['2023-07-06', '2023-07-09', '2023-07-13', '2023-07-15', '2023-07-23']","[3, 4, 2, 8]"
177745,"(1322054, 3739623, 5050071, 5983088, 6542593)","(0, 0, 0, 0, 0)","['2023-11-06', '2024-01-05']",[60]
181521,"(6726665, 6742667, 6742668, 6751064, 6779242)","(1, 1, 1, 1, 1)","['2023-06-29', '2023-07-25', '2023-08-20']","[26, 26]"
181521,"(6742667, 6742668, 6746321, 6751064, 6779242)","(1, 1, 1, 1, 1)","['2023-07-01', '2023-07-04']",[3]
174131,"(6785342, 7137813, 7137817, 7137818, 7137819)","(0, 0, 0, 0, 0)","['2023-11-23', '2024-02-01']",[70]
201252,"(1644566, 3496077, 3864428, 4155061, 4716633)","(0, 0, 0, 0, 0)","['2023-11-21', '2023-12-25']",[34]
206435,"(1259865, 5607662, 7217077, 7643191, 7643201)","(0, 0, 0, 0, 0)","['2024-01-16', '2024-01-17']",[1]
