Token,Nodes,Dates
668,"[109185, 161217, 155139, 111623, 153678, 162768, 107989, 111642, 162844, 104349, 107998, 162463, 162783, 162849, 108003, 111781, 162343, 108327, 160938, 108203, 108650, 158956, 162222, 107832, 108217, 78522, 111099, 956, 161214, 161215]",2018-10-27
785,"[158336, 60996, 162244, 158022, 157895, 158344, 158345, 158732, 162001, 157906, 158357, 94807, 80857, 92508, 154460, 1184, 162658, 157284, 158950, 157735, 157803, 162989, 157746, 91634, 26483, 162869, 158648, 161915, 158526, 157887]",2018-10-28
668,"[155200, 111553, 161217, 163398, 163463, 163447, 162508, 163535, 70462, 163449, 108217, 108756, 107989, 106965, 162260, 163544, 112026, 107996, 104349, 162463, 162783, 108003, 106469, 108007, 158956, 163375, 162999, 107832, 155321, 161214]",2018-10-30
786,"[164097, 163074, 158787, 164041, 160586, 161807, 162495, 163859, 163541, 160662, 160469, 160087, 162648, 160470, 161246, 158816, 162465, 163426, 18596, 162472, 162986, 160688, 161713, 160689, 160946, 161525, 159864, 159228, 157054, 56895]",2018-10-31
668,"[107968, 50817, 107832, 155139, 108741, 35535, 107989, 108757, 158807, 164954, 108155, 160604, 104349, 10400, 1058, 108003, 111781, 106469, 162343, 111655, 3175, 164968, 108007, 108271, 159281, 164981, 110071, 70072, 111099, 161214]",2018-11-05
641,"[107009, 159107, 106696, 162443, 105740, 164494, 86288, 106002, 106066, 106454, 106198, 105686, 83481, 105886, 108703, 43039, 98208, 23523, 106469, 105894, 102694, 71399, 154922, 105645, 156722, 105716, 106549, 111480, 107705, 162363]",2018-11-06
641,"[107009, 159107, 106696, 48587, 105740, 156159, 86288, 105686, 111450, 2972, 106142, 108703, 3105, 8609, 23523, 106469, 70120, 108777, 106346, 111085, 44594, 64114, 107700, 105716, 111480, 162363, 112444, 89533, 160766, 160507]",2018-11-07
785,"[158336, 102401, 158468, 158022, 158334, 158475, 162001, 72916, 158357, 94807, 158424, 103196, 157852, 93406, 1184, 158436, 158437, 158438, 158439, 158440, 157284, 159358, 158445, 158449, 91634, 109688, 54393, 158522, 159357, 165502]",2018-11-07
668,"[158592, 156417, 83074, 111099, 35535, 158993, 158610, 107989, 108757, 165975, 166107, 160604, 104349, 10400, 27745, 162339, 108003, 166243, 108007, 148843, 158956, 166320, 166195, 166068, 166196, 108403, 162999, 108217, 73275, 161214]",2018-11-09
882,"[93888, 165761, 165762, 165250, 165764, 78470, 166151, 166152, 165258, 166155, 166220, 165838, 165839, 166095, 166224, 165266, 166225, 166226, 166165, 166227, 94231, 166101, 166228, 166170, 166356, 166240, 166050, 165238, 165815, 166136]",2018-11-09
641,"[107009, 13953, 109320, 106696, 111819, 105805, 105551, 102352, 106454, 106198, 104728, 80857, 108703, 108448, 43039, 23523, 70120, 154922, 21227, 162796, 89835, 91442, 105716, 107317, 168308, 106358, 111930, 162363, 106749, 156159]",2018-11-21
381,"[111810, 83139, 90691, 82630, 82631, 84617, 154378, 85516, 164941, 168592, 85973, 168598, 90775, 87704, 102552, 93145, 91007, 107549, 83229, 82911, 91041, 110241, 103714, 166629, 111079, 90994, 160443, 109949, 97790, 83583]",2018-11-24
484,"[168385, 92228, 168393, 166219, 169356, 167499, 169165, 165197, 94993, 92181, 165205, 169369, 165149, 169341, 93407, 166176, 95904, 163361, 95529, 163369, 167914, 105012, 169334, 106876, 169338, 169339, 92092, 92093, 169342, 169343]",2018-11-30
