Token,Nodes,Dates
69,"[65411, 64136, 64333, 62991, 60625, 59409, 63958, 65432, 65310, 65376, 63138, 63843, 63910, 62951, 64744, 56823, 65208]",2018-01-30
85,"[65729, 65221, 63690, 65229, 1101, 65231, 65424, 64530, 65749, 5077, 64411, 14685, 65759, 65892, 64690, 64509, 63743]",2018-02-01
97,"[65280, 64322, 65929, 45132, 65229, 64592, 66266, 67034, 4892, 14685, 66716, 63789, 66478, 18927, 66168, 66684, 66493]",2018-02-07
42,"[67915, 67858, 661, 67875, 67812, 67813, 67881, 67883, 67884, 67885, 67886, 67823, 67887, 67888, 67827, 67833, 67839]",2018-02-11
101,"[66246, 64266, 2827, 66131, 67988, 68308, 66138, 66140, 66461, 2105, 63788, 57453, 67308, 57396, 63349, 63673, 66173]",2018-02-13
116,"[63369, 64266, 14923, 45132, 12879, 67215, 65747, 64916, 66686, 66461, 1763, 64302, 57396, 65398, 2105, 63486, 67199]",2018-02-13
123,"[62295, 68186, 68317, 65630, 68321, 68330, 67629, 2542, 67631, 67630, 8753, 67634, 67315, 67314, 67317, 67309, 65785]",2018-02-14
128,"[21120, 68550, 3147, 58251, 12879, 67215, 64916, 68501, 37657, 64666, 66461, 66162, 60595, 65398, 21176, 63995, 63997]",2018-02-14
116,"[65607, 64392, 64266, 12879, 66959, 67215, 69010, 1363, 66461, 65764, 66469, 69311, 57396, 65398, 69048, 66686, 67199]",2018-02-16
82,"[63936, 66959, 67193, 64733, 65630, 64351, 69600, 68518, 69802, 69548, 63727, 65843, 60595, 68915, 63734, 65849, 63935]",2018-02-18
119,"[70144, 70214, 65607, 43016, 69006, 1363, 65817, 70235, 64411, 66141, 65759, 4128, 66847, 65764, 66469, 69861, 63743]",2018-02-20
164,"[70144, 69186, 69573, 43016, 2827, 69080, 70106, 69598, 65759, 66469, 15593, 66281, 70124, 70131, 70134, 63673, 63743]",2018-02-20
76,"[67264, 64576, 64321, 63875, 64325, 65159, 64713, 64287, 69599, 64801, 67304, 61745, 65841, 60595, 63928, 63994, 71868]",2018-03-01
116,"[69313, 42246, 64266, 12879, 67216, 4892, 66461, 69731, 52584, 71400, 71720, 18927, 61745, 65398, 69048, 2105, 72191]",2018-03-02
208,"[50497, 70211, 69508, 43016, 64266, 12879, 70481, 66461, 69537, 63470, 64625, 23989, 65398, 69048, 2105, 63997, 69311]",2018-03-04
270,"[72966, 65926, 66959, 25621, 73246, 70431, 69791, 69281, 73059, 67939, 29413, 73065, 71658, 70956, 63349, 71349, 63743]",2018-03-05
279,"[69823, 69250, 70084, 2827, 67215, 73299, 73302, 4892, 73309, 58334, 72291, 65764, 1763, 63526, 52584, 61745, 57983]",2018-03-05
246,"[70144, 69250, 70084, 65607, 69514, 70298, 72026, 4892, 58334, 73443, 1763, 66469, 69731, 71911, 67949, 69295, 73275]",2018-03-06
255,"[72193, 72194, 72195, 72258, 74118, 72199, 66059, 72268, 74134, 72216, 72224, 72226, 72230, 73574, 72234, 72242, 72184]",2018-03-07
208,"[70211, 68550, 12879, 70490, 66716, 66461, 3682, 66471, 71148, 68978, 60595, 23989, 65398, 69049, 65530, 63997, 69823]",2018-03-08
297,"[74753, 71107, 74063, 44623, 74833, 65875, 71900, 70431, 74211, 74149, 73702, 74152, 73705, 73715, 57396, 23989, 74172]",2018-03-13
255,"[72193, 72258, 72195, 74118, 72199, 74566, 74825, 72268, 72224, 64864, 75554, 72226, 73574, 72234, 72242, 74554, 75388]",2018-03-14
230,"[77571, 74570, 75724, 71820, 71383, 71384, 77529, 8153, 72477, 1763, 77481, 75694, 77552, 77554, 80054, 44983, 46138]",2018-03-19
82,"[63936, 46839, 64780, 71695, 75857, 80917, 63964, 70438, 74855, 75752, 69802, 76782, 2990, 70833, 60595, 63734, 75703]",2018-03-21
230,"[21192, 43016, 75724, 82188, 80718, 81936, 71383, 72281, 80538, 75610, 82231, 62954, 75694, 82035, 44983, 82300, 75582]",2018-03-25
238,"[71817, 72010, 71883, 72336, 72083, 72407, 71836, 72030, 71905, 71970, 71971, 71780, 72038, 71916, 72429, 43697, 72116]",2018-03-28
82,"[63936, 83204, 83270, 71433, 64780, 75857, 83218, 79313, 81494, 83158, 71579, 83235, 69802, 67626, 72942, 63727, 46839]",2018-03-30
238,"[72069, 71942, 71817, 72014, 72336, 72407, 71833, 83100, 75686, 84391, 71782, 72107, 72429, 72116, 71929, 72126, 71807]",2018-04-08
238,"[71817, 71883, 71756, 71823, 72401, 72407, 85272, 85273, 85271, 71837, 72030, 85279, 71978, 71916, 72429, 76526, 71932]",2018-04-11
82,"[63936, 85637, 85194, 79313, 72476, 85597, 84191, 66720, 71841, 85673, 69802, 84333, 85422, 84593, 63734, 83770, 10686]",2018-04-13
238,"[71872, 74441, 72074, 71756, 86806, 72407, 71834, 71965, 71903, 71905, 71779, 71782, 84391, 71851, 72429, 86837, 86842]",2018-04-21
238,"[71808, 72069, 72074, 72407, 71834, 72035, 71779, 71780, 71783, 72429, 71982, 72371, 72372, 72116, 71795, 71797, 87101]",2018-04-28
338,"[78210, 69645, 79575, 87450, 83868, 76254, 76512, 76580, 76261, 76778, 83564, 77294, 76275, 76473, 76215, 78073, 76412]",2018-05-05
463,"[88512, 14724, 29767, 43213, 90765, 62735, 85840, 33104, 21017, 88162, 88163, 88165, 1649, 74930, 3827, 88116, 80637]",2018-05-27
463,"[88512, 33412, 85573, 91525, 91014, 90765, 85839, 85840, 62735, 33104, 21017, 90342, 88116, 88504, 90105, 88508, 88510]",2018-05-28
440,"[92226, 92358, 88203, 92175, 92367, 92251, 87965, 92189, 75743, 90084, 89961, 89962, 92141, 92401, 90555, 92350, 92286]",2018-05-31
338,"[81603, 76490, 69645, 76368, 82646, 76374, 92831, 90408, 76778, 76458, 76269, 77294, 76466, 76403, 76471, 76411, 76350]",2018-06-03
484,"[92610, 92228, 92553, 92434, 92245, 92374, 92382, 92514, 92387, 92324, 92388, 92456, 92713, 92093, 92535, 92092, 92221]",2018-06-03
69,"[88580, 91525, 72266, 60625, 86549, 74264, 90011, 87325, 66720, 91620, 86568, 40232, 71727, 84530, 56823, 93367, 56765]",2018-06-06
69,"[84417, 90691, 88580, 60625, 93717, 69461, 55064, 66552, 87325, 81374, 89889, 4271, 74930, 56823, 93752, 93431, 71677]",2018-06-10
463,"[87040, 88512, 90691, 85573, 93960, 90765, 43213, 62735, 85840, 85839, 90386, 6292, 88789, 70746, 89828, 93492, 88504]",2018-06-11
69,"[67137, 90374, 94026, 13198, 60625, 83730, 93717, 74264, 86939, 94046, 94049, 94056, 87017, 85043, 56823, 56765, 67391]",2018-06-12
494,"[86530, 70211, 69250, 70155, 95000, 87645, 94885, 5607, 93928, 94503, 94635, 93932, 93809, 88565, 93368, 1211, 84287]",2018-06-18
69,"[10560, 56823, 82372, 60625, 8786, 86549, 29783, 83033, 95130, 83355, 83436, 71727, 60976, 83572, 93367, 74680, 67391]",2018-06-19
69,"[90753, 82754, 73670, 85904, 60625, 74264, 83033, 87325, 87017, 84843, 83436, 4271, 60595, 56823, 96824, 90492, 67391]",2018-06-24
484,"[101248, 90816, 92228, 100486, 100429, 94993, 6292, 101338, 95394, 101347, 100646, 95529, 94961, 95541, 94775, 92092, 92093]",2018-07-07
519,"[100420, 97989, 84111, 62735, 86549, 74264, 94371, 101029, 75110, 65769, 101421, 100595, 69876, 88565, 88631, 95546, 100604]",2018-07-10
69,"[94915, 102539, 102605, 38158, 60625, 102545, 73553, 86549, 95976, 81578, 81583, 101044, 81589, 56823, 93367, 102333, 67391]",2018-07-20
463,"[88512, 102720, 102725, 102726, 93960, 85840, 6292, 21017, 101215, 95346, 37172, 95160, 100346, 91067, 88508, 101694, 101439]",2018-07-22
69,"[103366, 70410, 60625, 84023, 102775, 103274, 94314, 103340, 103287, 95478, 56823, 103288, 93367, 103098, 103293, 103294, 67391]",2018-07-27
463,"[88512, 103111, 69642, 100366, 85840, 21017, 65820, 88799, 83436, 49842, 102836, 67391, 100346, 91067, 88508, 101694, 101439]",2018-07-29
617,"[104773, 106120, 105613, 85134, 105617, 105618, 105621, 105625, 105626, 105247, 105439, 105442, 105443, 106086, 104877, 105720, 106298]",2018-08-20
534,"[107396, 107397, 105156, 60168, 106827, 107410, 107412, 105433, 107361, 104610, 107426, 107431, 107368, 107435, 107441, 107384, 107389]",2018-08-26
534,"[60168, 111753, 112010, 106827, 104780, 105614, 103249, 107729, 42514, 103255, 108826, 109025, 104610, 111522, 112111, 91504, 109501]",2018-09-16
238,"[155969, 112200, 71823, 109903, 110870, 72407, 110393, 110877, 110633, 71978, 155756, 72429, 110961, 153330, 110325, 110905, 112252]",2018-10-01
