Token,Nodes,Dates
21,"[17, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 45, 53, 54]",2017-03-31
81,"[34052, 63301, 63878, 63558, 58312, 63369, 64395, 63947, 65099, 65042, 63636, 1184, 63840, 14448, 60595, 63798, 951, 64759]",2018-01-27
82,"[63936, 58309, 64780, 8782, 41814, 15579, 63644, 64351, 64610, 64679, 21544, 64366, 63727, 65269, 63734, 1336, 65213, 63935]",2018-01-28
82,"[63936, 66688, 63558, 64780, 65359, 66013, 65630, 64351, 66720, 64679, 15593, 1002, 65968, 11377, 60595, 63734, 66042, 63935]",2018-02-06
123,"[6147, 2827, 67661, 62295, 68186, 68317, 68321, 67300, 65785, 68330, 67310, 67311, 67312, 67313, 67633, 67635, 67632, 63673]",2018-02-13
142,"[10564, 68165, 63369, 14923, 68175, 12879, 68177, 68306, 68307, 65434, 4892, 2105, 1056, 63337, 65398, 66105, 65530, 63743]",2018-02-13
142,"[65921, 68165, 65926, 14923, 2827, 65295, 69780, 67802, 65434, 4892, 65759, 1056, 67425, 64610, 69791, 66478, 64690, 1534]",2018-02-18
101,"[65664, 65921, 66246, 65607, 65926, 65295, 66131, 67988, 69780, 66138, 66140, 65764, 71016, 68074, 63349, 69048, 63673, 1534]",2018-02-24
197,"[70721, 70465, 62404, 70155, 70235, 66461, 69920, 67360, 69027, 70118, 45673, 66285, 69295, 67763, 70131, 71030, 70647, 57983]",2018-02-24
178,"[69380, 71174, 65607, 43016, 2105, 71010, 69539, 1763, 58791, 66105, 70201, 23989, 71349, 71350, 63673, 71354, 65535, 69823]",2018-02-26
215,"[65607, 43016, 71051, 3147, 70155, 68112, 67216, 70672, 71444, 4824, 58334, 3682, 66469, 63526, 70118, 66161, 61745, 63673]",2018-02-27
217,"[4865, 69823, 3587, 71113, 69514, 70155, 65434, 69791, 63334, 15593, 71146, 71404, 71212, 18927, 71217, 71092, 2105, 63743]",2018-02-27
221,"[65921, 69250, 68806, 65926, 3147, 14923, 66959, 65295, 65747, 71252, 69780, 67802, 69857, 1763, 45673, 15593, 2105, 1534]",2018-02-27
101,"[65921, 65926, 65295, 67215, 66131, 67988, 66461, 2105, 69857, 65764, 66469, 68074, 66285, 63349, 63486, 63673, 1534, 69823]",2018-03-01
82,"[63936, 65665, 68681, 67339, 71695, 73232, 71831, 71579, 72476, 71519, 66720, 67626, 6508, 2990, 71666, 63734, 71096, 63935]",2018-03-05
277,"[68806, 65607, 66959, 73302, 72919, 64666, 4892, 71393, 65764, 29413, 66471, 68648, 45673, 73258, 61745, 71665, 2105, 1534]",2018-03-05
82,"[63936, 71107, 71695, 69840, 71576, 71519, 73504, 72416, 69281, 68451, 64543, 67626, 69802, 72942, 65968, 65843, 71989, 63935]",2018-03-06
255,"[72193, 72258, 72195, 72194, 74118, 72199, 74825, 66059, 72268, 74134, 72216, 72224, 72230, 73574, 72234, 72242, 74423, 74554]",2018-03-10
286,"[74759, 72393, 74698, 71883, 71945, 74449, 74713, 75300, 74725, 74726, 75173, 71978, 73712, 73713, 43697, 75123, 70324, 75121]",2018-03-14
297,"[74753, 74052, 68806, 74059, 80652, 74557, 74062, 74063, 75922, 63642, 75110, 73703, 70760, 74155, 23989, 63798, 80504, 74045]",2018-03-22
82,"[63936, 75530, 67339, 69840, 79313, 75703, 82005, 82135, 64351, 66720, 74855, 15593, 71339, 76782, 74930, 46839, 82107, 10686]",2018-03-24
82,"[63936, 75530, 69840, 75857, 79313, 82135, 82329, 71579, 66720, 82277, 74855, 77543, 15593, 69802, 65968, 46839, 17591, 82107]",2018-03-25
266,"[21251, 74755, 73157, 72572, 10634, 2442, 72547, 64355, 67365, 72552, 40232, 5610, 73066, 4141, 69294, 73005, 66168, 69244]",2018-03-27
365,"[15680, 82628, 82950, 82824, 83336, 82832, 81491, 65747, 82840, 81499, 83107, 82980, 83429, 82854, 29994, 74930, 82866, 82422]",2018-03-31
255,"[72193, 72194, 72199, 83527, 71306, 66059, 69642, 72268, 65747, 74713, 75866, 64346, 64864, 72226, 72227, 64237, 72242, 65404]",2018-04-01
230,"[83457, 82885, 21192, 7121, 83729, 71382, 71383, 71384, 73750, 75677, 70877, 83174, 62954, 83754, 83698, 70389, 83446, 44983]",2018-04-02
