Token,Nodes,Dates
42,"[661, 737, 738, 739, 740, 741, 742, 743, 744, 745, 746, 747, 748, 749, 750, 751]",2017-11-16
81,"[34052, 3525, 63687, 65607, 63633, 64509, 63781, 45673, 63852, 66093, 39667, 60595, 15670, 63798, 63673, 64189]",2018-02-04
82,"[63936, 24320, 63558, 64780, 65550, 65882, 15579, 63644, 65630, 64735, 64351, 64679, 15593, 63734, 66297, 63935]",2018-02-04
98,"[66112, 66370, 3587, 65607, 45132, 2576, 66328, 66334, 58334, 66336, 65634, 64355, 65764, 63673, 66363, 66366]",2018-02-05
82,"[63936, 63935, 64780, 65359, 66459, 65630, 65890, 15593, 65641, 63727, 65968, 11377, 63734, 67193, 66042, 65855]",2018-02-08
116,"[63816, 63369, 64266, 68364, 65295, 12879, 67215, 66461, 66469, 68650, 67054, 36463, 67199, 63486, 66686, 63743]",2018-02-14
101,"[66242, 65607, 64266, 66131, 68308, 67988, 66138, 66140, 68638, 65764, 66469, 68074, 34221, 57396, 63349, 63743]",2018-02-15
116,"[65539, 64266, 69006, 12879, 67215, 69010, 1363, 66686, 66469, 18927, 57396, 65398, 2105, 67197, 1534, 67199]",2018-02-15
82,"[63936, 68672, 9413, 64780, 67795, 64733, 65630, 64351, 66720, 2592, 68518, 69548, 2990, 68915, 63734, 63935]",2018-02-17
89,"[64004, 68806, 69642, 45132, 64908, 69010, 55443, 69080, 64216, 65690, 66141, 1763, 67949, 69295, 1534, 63743]",2018-02-18
97,"[64322, 2315, 64592, 70289, 65619, 5077, 63642, 14685, 65759, 63526, 66478, 18927, 63538, 67186, 66168, 66684]",2018-02-21
166,"[56512, 66944, 69698, 68806, 69514, 70411, 69905, 69781, 68121, 69914, 69915, 15842, 69930, 69811, 69815, 34555]",2018-02-21
176,"[70144, 70146, 3587, 65929, 64666, 69791, 15842, 69731, 67197, 66478, 70575, 14448, 69753, 64509, 1534, 57983]",2018-02-21
159,"[70401, 68806, 63304, 70088, 63826, 70939, 66141, 15842, 66150, 69417, 66478, 69295, 62964, 43513, 34555, 71231]",2018-02-25
76,"[63488, 64321, 64325, 64335, 64795, 64411, 64801, 64546, 68965, 13483, 64364, 64880, 65841, 60595, 63994, 67838]",2018-02-27
82,"[63936, 71107, 71944, 63935, 72394, 72277, 66459, 72476, 66720, 72416, 6508, 68398, 65968, 72438, 63734, 65599]",2018-03-03
170,"[70080, 70082, 65607, 72525, 72527, 72529, 70292, 72917, 69920, 64613, 70120, 70253, 70064, 1011, 72248, 70138]",2018-03-04
246,"[65921, 68806, 65926, 65295, 65747, 69780, 69857, 71911, 70312, 69865, 69295, 73595, 73596, 73597, 73598, 63743]",2018-03-09
278,"[68996, 65607, 69642, 67215, 73296, 65747, 4892, 58334, 69536, 69537, 69731, 63526, 72504, 75195, 1534, 65535]",2018-03-12
82,"[63936, 75776, 71107, 75844, 64780, 71695, 75799, 64351, 66720, 75874, 75752, 71210, 2990, 63734, 75703, 67391]",2018-03-16
82,"[63936, 76417, 46839, 71695, 75799, 74840, 71386, 66459, 2592, 66720, 69802, 2990, 76782, 49842, 75703, 77307]",2018-03-18
340,"[77315, 76356, 76159, 76113, 76054, 76760, 78368, 77289, 76266, 34730, 76267, 76399, 76463, 76274, 77310, 76095]",2018-03-19
340,"[76227, 80710, 76113, 76760, 78368, 76261, 76200, 77289, 76267, 16366, 76399, 61745, 76466, 76274, 76020, 76285]",2018-03-20
341,"[80323, 79557, 80328, 80200, 80149, 80216, 43993, 80347, 80284, 80349, 80094, 80482, 77546, 80440, 77557, 80312]",2018-03-20
396,"[84232, 84552, 84491, 2827, 69006, 84561, 84504, 84506, 69411, 67684, 84581, 69731, 84269, 63798, 66552, 72187]",2018-04-07
230,"[69312, 21192, 75724, 83982, 72469, 71383, 71384, 80538, 83036, 83618, 84645, 75493, 10793, 74091, 44983, 84093]",2018-04-14
82,"[63936, 4294, 86601, 75530, 79313, 71579, 70235, 66459, 71841, 86566, 65968, 86642, 46839, 82107, 6973, 10686]",2018-04-19
424,"[21192, 75657, 75724, 66324, 71382, 75544, 64544, 84392, 10793, 62954, 74091, 82865, 70389, 80054, 46138, 86397]",2018-04-19
238,"[72074, 71883, 71822, 72407, 71903, 87263, 71779, 72101, 75686, 71979, 72429, 72046, 71984, 72371, 87101, 71807]",2018-04-24
428,"[85952, 80515, 85831, 80200, 85965, 74902, 85463, 80349, 87842, 85986, 87588, 85480, 86062, 85102, 87859, 87735]",2018-04-29
238,"[72069, 71814, 74327, 72407, 87517, 71779, 71780, 71782, 72429, 71982, 71795, 72116, 74932, 80057, 71932, 71871]",2018-05-05
464,"[89221, 89349, 48841, 89292, 89170, 88531, 89062, 89064, 88491, 88492, 88493, 89131, 88495, 89199, 88497, 88947]",2018-05-08
69,"[72266, 85904, 60625, 59409, 8786, 86549, 91863, 74264, 29783, 55064, 83033, 87325, 81374, 91620, 56823, 56765]",2018-05-29
463,"[87040, 88512, 85573, 91014, 43213, 85839, 85840, 62735, 90386, 21017, 88799, 92132, 90342, 88504, 88508, 88510]",2018-05-29
69,"[71619, 62663, 92231, 92047, 59409, 73106, 60625, 73553, 91863, 29783, 83033, 87386, 87325, 91620, 56823, 74874]",2018-05-30
484,"[92227, 92228, 92234, 92241, 89938, 92181, 92245, 92256, 92092, 92093, 66352, 92213, 92217, 92220, 92221, 92222]",2018-05-30
69,"[62401, 82754, 71619, 46790, 72266, 72398, 59409, 71569, 8786, 60625, 74264, 87325, 83436, 4271, 64754, 56823]",2018-05-31
463,"[88512, 90691, 85573, 29767, 92239, 85840, 62735, 90386, 33104, 88799, 89890, 90342, 68653, 88504, 22779, 88508]",2018-06-01
484,"[34752, 92228, 93380, 93392, 92434, 92245, 92382, 92387, 92327, 92456, 93417, 93422, 93425, 92535, 92092, 92093]",2018-06-06
69,"[88578, 91525, 72266, 83727, 60625, 73553, 87325, 81374, 93485, 84530, 60595, 85043, 56823, 93367, 90492, 67391]",2018-06-07
463,"[87040, 88512, 93506, 90691, 33412, 85573, 90765, 85840, 33104, 93276, 86494, 88799, 83436, 93492, 93493, 22779]",2018-06-07
463,"[87040, 88512, 90691, 93699, 85573, 33412, 62735, 85840, 6292, 86549, 55064, 21017, 89434, 89828, 93612, 88109]",2018-06-09
484,"[92610, 92228, 93380, 93766, 92553, 93776, 92434, 92374, 93726, 90976, 92387, 92327, 93417, 93740, 92092, 92093]",2018-06-10
494,"[93954, 70211, 90375, 94348, 94223, 93717, 94487, 94360, 94489, 93929, 93932, 93809, 88565, 63798, 93368, 84287]",2018-06-15
463,"[77568, 88512, 83594, 67850, 62735, 85840, 6292, 88789, 69656, 21017, 89824, 89828, 88174, 91696, 43513, 88508]",2018-06-18
187,"[102543, 102679, 21847, 81177, 90778, 75743, 98208, 90084, 70375, 102314, 102192, 102260, 63989, 101815, 95864, 102201]",2018-07-21
463,"[88512, 69642, 85840, 33104, 21017, 103073, 103268, 25575, 19240, 93612, 83436, 102836, 91067, 88508, 19006, 67391]",2018-07-26
266,"[50497, 72648, 11196, 72983, 72536, 72673, 72547, 5610, 21227, 4141, 72622, 61745, 103285, 103736, 72700, 1790]",2018-07-29
553,"[104320, 104706, 104519, 104777, 104202, 104334, 104207, 104784, 104210, 104537, 104802, 104805, 104746, 104815, 104571, 104766]",2018-08-06
463,"[88512, 104904, 85840, 90386, 6292, 55064, 21017, 103962, 103268, 104879, 90032, 91067, 88508, 12157, 95294, 67391]",2018-08-07
484,"[105024, 92610, 92228, 102157, 92434, 94942, 95904, 104993, 105007, 105009, 105012, 104757, 94069, 94775, 92092, 92093]",2018-08-09
69,"[63046, 81997, 105103, 60625, 59409, 81374, 105697, 103012, 104936, 105134, 105710, 101044, 56823, 103098, 56765, 86335]",2018-08-14
69,"[82754, 90691, 60166, 104329, 106125, 13198, 60625, 74264, 104472, 69530, 87963, 87325, 44779, 56823, 102650, 56765]",2018-08-19
69,"[60625, 73553, 104785, 62615, 74264, 83033, 69530, 87325, 102775, 63716, 104936, 104496, 95348, 56823, 103288, 106937]",2018-08-28
520,"[95049, 101258, 85072, 101076, 101531, 68380, 101439, 101534, 95487, 63716, 107829, 88630, 100727, 104442, 72187, 84287]",2018-08-29
463,"[88512, 106629, 93960, 43213, 85840, 33875, 21017, 103268, 104421, 36777, 37172, 95160, 91067, 88508, 107902, 67391]",2018-08-30
484,"[108994, 92228, 94993, 105170, 108946, 108759, 95904, 95529, 93867, 106348, 95858, 93874, 105012, 94775, 92092, 92093]",2018-09-03
642,"[106882, 107596, 106575, 106707, 105724, 106582, 106649, 106526, 106724, 106664, 106606, 93681, 107129, 105723, 107132, 107262]",2018-09-03
534,"[152256, 107653, 111494, 111753, 102221, 76376, 152604, 152607, 109025, 152610, 113066, 152618, 107695, 151729, 152824, 108863]",2018-09-21
568,"[90566, 109766, 109767, 4934, 108365, 104465, 104467, 104469, 108375, 104471, 109144, 48989, 107745, 104353, 108715, 109613]",2018-09-22
69,"[154561, 152963, 78470, 38158, 105103, 73553, 112145, 60625, 76376, 63716, 111336, 105896, 104496, 56823, 109308, 56765]",2018-09-27
484,"[92228, 155338, 94993, 6292, 105112, 155802, 151645, 111778, 93867, 110573, 147118, 92093, 105012, 152634, 92092, 58621]",2018-10-01
738,"[123907, 107642, 156363, 156159, 156303, 142609, 102996, 105876, 17176, 156320, 103331, 152878, 134069, 106806, 126970, 106047]",2018-10-03
568,"[97219, 106436, 132677, 95308, 106638, 9425, 156436, 104597, 108694, 104349, 108637, 108638, 88159, 91504, 92529, 108658]",2018-10-06
69,"[33801, 67211, 106125, 38158, 60625, 73553, 29783, 69530, 20962, 111336, 104297, 104936, 83436, 83506, 56823, 56765]",2018-10-08
568,"[97219, 97092, 95049, 95308, 156428, 109396, 156436, 104597, 107928, 108637, 88801, 153763, 69546, 93878, 104379, 6589]",2018-10-11
786,"[160578, 158787, 159683, 160586, 159372, 160594, 160469, 160470, 160087, 160605, 158816, 158955, 65907, 76597, 160506, 56895]",2018-10-14
568,"[107973, 107977, 109771, 95308, 104467, 156436, 104597, 108637, 48989, 84067, 84068, 108584, 104361, 104362, 108585, 104377]",2018-10-17
568,"[95049, 156171, 159437, 104465, 156436, 104597, 108637, 88159, 104480, 107745, 109028, 109029, 109094, 93874, 156404, 93878]",2018-10-18
568,"[4934, 109770, 95308, 9425, 156436, 101975, 112031, 104480, 111525, 110569, 91050, 104499, 108917, 111928, 104379, 107965]",2018-10-19
568,"[111928, 106436, 108292, 90566, 95049, 9425, 156436, 104349, 110563, 91050, 104684, 88630, 93878, 104824, 107965, 160575]",2018-10-21
633,"[105153, 105154, 156481, 155524, 106567, 108305, 161938, 105498, 162397, 162336, 161891, 162279, 105322, 107375, 105328, 112445]",2018-10-24
484,"[92228, 155338, 102091, 162064, 94993, 105045, 92382, 104874, 105012, 154678, 88631, 105592, 105849, 100731, 92092, 92093]",2018-10-25
668,"[109888, 109185, 25862, 162704, 158993, 107989, 106965, 108003, 34598, 162343, 108203, 162222, 25588, 107832, 108217, 111099]",2018-10-26
534,"[107209, 166616, 107290, 166748, 166749, 166753, 155938, 166760, 103273, 166764, 166766, 166767, 166770, 166772, 32125, 156093]",2018-11-12
669,"[155264, 161217, 163394, 155265, 166659, 111496, 158993, 155607, 111453, 112105, 7345, 109428, 110071, 107832, 111099, 161214]",2018-11-12
882,"[165761, 165762, 165764, 166151, 159370, 166095, 166356, 166228, 94231, 76376, 166680, 166634, 165238, 166585, 166715, 166718]",2018-11-12
69,"[164355, 162954, 67211, 106125, 165198, 60625, 161556, 74264, 161825, 153762, 161826, 161827, 161895, 161455, 56823, 56765]",2018-11-15
858,"[107714, 88776, 167627, 167501, 167629, 167630, 167631, 167633, 167634, 167635, 167637, 167638, 167640, 166177, 64114, 167550]",2018-11-15
850,"[166337, 111627, 164939, 71953, 164371, 167315, 167065, 165082, 163353, 167707, 91874, 165814, 166650, 164475, 164157, 164862]",2018-11-18
882,"[165761, 165762, 165764, 168070, 167049, 168073, 168074, 168075, 166356, 94231, 168023, 167387, 168046, 165238, 165815, 166715]",2018-11-19
266,"[96136, 15569, 107282, 72540, 96541, 72547, 64355, 88174, 72687, 1790, 168244, 103350, 103352, 66168, 11196, 103358]",2018-11-20
785,"[102401, 158401, 1927, 107081, 165068, 84495, 158744, 158298, 158362, 157543, 158761, 36010, 158507, 88631, 161976, 158335]",2018-11-24
633,"[105153, 105154, 107329, 107332, 107591, 158928, 108305, 83162, 91554, 105322, 112445, 107375, 105586, 106037, 157053, 108350]",2018-11-25
