Token,Nodes,Dates
34,"[448, 449, 450, 451, 452, 453, 454, 385, 426, 427, 443, 444, 445, 446, 447]",2017-09-02
42,"[727, 720, 721, 722, 723, 724, 661, 725, 726, 728, 729, 730, 731, 732, 733]",2017-11-14
42,"[48192, 48194, 48195, 48196, 48197, 48102, 48198, 48168, 48187, 48585, 48301, 48082, 661, 48597, 48155]",2017-12-17
42,"[58560, 58688, 58242, 58691, 58693, 58503, 58344, 58346, 58411, 58321, 58673, 661, 58554, 58493, 58590]",2018-01-02
69,"[61344, 16353, 41058, 56968, 61455, 60625, 8786, 59409, 61113, 61174, 56823, 61465, 61211, 3773, 56765]",2018-01-12
82,"[63936, 4610, 58309, 21544, 45132, 64334, 63727, 64366, 14448, 29588, 64372, 64351, 63644, 17726, 63935]",2018-01-24
82,"[63936, 13056, 64679, 63935, 45132, 64543, 65422, 65488, 63644, 65489, 65492, 63734, 65467, 65436, 64351]",2018-01-30
82,"[63936, 67395, 64487, 67339, 64780, 63727, 65968, 11377, 916, 64351, 63734, 67193, 66042, 65630, 63935]",2018-02-09
98,"[66112, 3587, 65764, 65315, 65607, 58251, 45132, 2576, 66228, 63673, 65530, 67354, 38332, 66461, 58334]",2018-02-09
101,"[66242, 65764, 65817, 63369, 67306, 2827, 67308, 66131, 57396, 63349, 63673, 66138, 66140, 66461, 58334]",2018-02-09
81,"[66720, 63777, 63558, 63911, 65607, 66093, 63534, 68303, 65042, 60595, 63636, 25331, 65464, 64664, 23260]",2018-02-13
81,"[66720, 63617, 68454, 64392, 63785, 67211, 68605, 60595, 63636, 23989, 4153, 63610, 23260, 66013, 67997]",2018-02-14
113,"[63714, 63673, 1534, 67847, 45673, 68596, 66517, 66518, 66519, 66520, 2105, 66523, 66461, 63486, 63743]",2018-02-14
82,"[63936, 2592, 68325, 9413, 64780, 2990, 63727, 66959, 65872, 69140, 63734, 66459, 64733, 65630, 63935]",2018-02-16
82,"[63936, 69802, 67626, 68236, 2990, 63727, 69840, 68915, 63734, 65432, 67193, 66042, 66459, 65630, 63935]",2018-02-19
108,"[66244, 65607, 43016, 63369, 64586, 67215, 69776, 61745, 66959, 1363, 10005, 15670, 65817, 4892, 58334]",2018-02-19
180,"[69377, 65764, 69062, 64392, 70441, 70442, 2315, 69288, 69294, 69296, 61745, 1362, 69084, 70462, 65759]",2018-02-21
169,"[69763, 69380, 63526, 65607, 69288, 45673, 69580, 66285, 69295, 58334, 63673, 64186, 4892, 1534, 2105]",2018-02-24
215,"[3682, 63526, 65434, 71051, 63307, 63789, 69583, 66959, 66161, 61745, 9945, 64666, 64635, 63549, 69535]",2018-02-24
170,"[69920, 69856, 3335, 70120, 71019, 70253, 69037, 69295, 70094, 70061, 71026, 70292, 71028, 70138, 70140]",2018-02-26
170,"[69920, 70082, 70120, 67802, 70443, 71019, 70061, 70094, 65295, 70292, 70103, 70138, 70140, 71517, 57983]",2018-02-27
101,"[69857, 65921, 65926, 66246, 70729, 68074, 65295, 66131, 69780, 57396, 63349, 2105, 66140, 66461, 69823]",2018-03-02
82,"[63936, 66720, 70662, 64487, 67339, 64780, 70956, 71695, 69840, 65843, 71510, 67961, 74107, 65630, 63935]",2018-03-07
276,"[70144, 73665, 73224, 73673, 69516, 63789, 69295, 61745, 71665, 63349, 63798, 58334, 4824, 74075, 1534]",2018-03-07
281,"[6659, 74185, 71306, 74318, 18927, 73657, 73489, 73490, 74449, 72655, 65302, 73495, 74585, 74649, 73499]",2018-03-09
300,"[71393, 63617, 70211, 68806, 71720, 70760, 64266, 69642, 15593, 65747, 57396, 71349, 69048, 63549, 58334]",2018-03-09
286,"[74585, 74695, 74698, 71306, 74766, 73657, 73713, 71953, 74774, 74712, 71960, 74713, 74778, 74614, 71807]",2018-03-11
316,"[66242, 69731, 65764, 65607, 75225, 67215, 65747, 57396, 58334, 75222, 68307, 63673, 75226, 66140, 68638]",2018-03-12
82,"[63936, 66720, 68451, 73958, 75530, 75564, 75470, 75247, 49842, 71666, 75540, 46839, 74840, 71579, 64351]",2018-03-14
255,"[72224, 72193, 72226, 72227, 72195, 72230, 74566, 72199, 72234, 66059, 72268, 64823, 72216, 65404, 75743]",2018-03-15
82,"[63936, 66720, 75874, 77543, 77768, 75530, 67339, 2990, 71695, 75857, 74930, 77558, 46839, 71831, 63734]",2018-03-19
177,"[3682, 65764, 68806, 64266, 14923, 70188, 67215, 70481, 61745, 68307, 72308, 65302, 4824, 2105, 65530]",2018-03-20
230,"[1377, 81185, 80967, 72488, 74570, 75724, 63085, 75694, 80718, 73617, 75218, 71383, 75960, 8153, 80507]",2018-03-21
82,"[63936, 81413, 70438, 74855, 69802, 76782, 2990, 75703, 75857, 81494, 46839, 71576, 4892, 10686, 64351]",2018-03-22
82,"[63936, 81569, 66720, 74855, 15593, 69802, 67339, 46839, 70956, 63727, 75857, 75703, 60595, 82135, 64351]",2018-03-27
230,"[81185, 82885, 80071, 82919, 21192, 74636, 75724, 81936, 44983, 74930, 1362, 71382, 71383, 71384, 83036]",2018-03-28
230,"[64544, 83457, 83618, 82885, 83174, 21192, 62954, 74091, 75724, 75359, 44983, 71382, 71383, 75960, 83551]",2018-04-01
238,"[71780, 72069, 75686, 72038, 74441, 72375, 71883, 71818, 72429, 72079, 71823, 72371, 72407, 74780, 71837]",2018-04-02
297,"[74753, 74211, 68806, 83014, 83016, 70760, 73704, 83913, 83919, 74064, 75922, 65875, 82676, 74045, 81853]",2018-04-03
297,"[9344, 74753, 84099, 68806, 82054, 70760, 83016, 83590, 83014, 75110, 74064, 74065, 75922, 83549, 69823]",2018-04-05
230,"[75493, 83174, 84567, 21192, 84615, 84645, 75724, 84494, 74640, 44983, 66324, 71382, 71383, 84634, 84670]",2018-04-07
230,"[84864, 84865, 84929, 84964, 75493, 85028, 72488, 75657, 75242, 72235, 75724, 84943, 44983, 71383, 84281]",2018-04-09
388,"[83488, 84480, 73697, 85059, 73184, 84261, 85190, 4104, 83437, 1362, 60595, 85012, 74646, 83932, 77501]",2018-04-10
238,"[71842, 71782, 71814, 71942, 85446, 71978, 71756, 72429, 72172, 72173, 71982, 85489, 71823, 72407, 71834]",2018-04-12
82,"[63936, 1953, 83713, 85281, 64487, 85194, 70956, 6065, 86097, 60595, 85396, 46839, 86168, 83770, 10686]",2018-04-16
424,"[81571, 83174, 10793, 72477, 86552, 75724, 1362, 66324, 10421, 71382, 44983, 71384, 46138, 80348, 86397]",2018-04-18
