Token,Nodes,Dates
34,"[512, 513, 514, 515, 516, 517, 518, 519, 520, 521, 522, 523, 524, 525, 526, 527, 528, 529, 426, 427, 497, 500, 510, 511]",2017-09-14
91,"[3587, 10564, 63301, 58309, 65732, 43016, 63816, 14923, 64789, 4892, 31135, 4128, 65697, 64610, 65315, 65700, 65701, 65703, 65705, 63727, 61745, 15670, 21176, 63743]",2018-01-31
81,"[65797, 3525, 63558, 64648, 64392, 63633, 63826, 63578, 64413, 66013, 64610, 7076, 65710, 63727, 20400, 14448, 60595, 39667, 63861, 63798, 15670, 4153, 64509, 63743]",2018-02-02
101,"[66242, 10564, 63044, 63878, 66246, 65607, 66249, 3147, 56588, 66131, 63830, 14810, 66138, 4892, 66140, 2105, 52584, 18927, 61745, 62900, 66228, 63349, 63673, 66173]",2018-02-04
97,"[64322, 58309, 66441, 2827, 58251, 45132, 65229, 65552, 5077, 66713, 64666, 65497, 65754, 66141, 66462, 14685, 65763, 63526, 66410, 66478, 64690, 66228, 65784, 64509]",2018-02-06
128,"[65607, 20106, 14923, 67215, 12879, 67795, 64916, 68307, 52892, 68700, 66720, 67296, 67297, 1763, 66471, 68648, 69036, 68978, 60595, 65398, 21176, 65530, 63995, 63743]",2018-02-15
153,"[69504, 69505, 69506, 69507, 69508, 30080, 69760, 69761, 69314, 65607, 2315, 69518, 69241, 4824, 69531, 4892, 66461, 65764, 68648, 65398, 69503, 63673, 69502, 69311]",2018-02-18
116,"[69312, 65921, 69186, 65926, 69062, 63369, 69514, 65295, 12879, 65747, 69780, 70293, 64666, 66686, 66461, 69857, 1763, 66469, 70118, 70312, 70318, 69816, 1789, 1534]",2018-02-20
82,"[63936, 71107, 70662, 64780, 68236, 64733, 66720, 69281, 64610, 68451, 71270, 69802, 70956, 2990, 64366, 70639, 70833, 14448, 60595, 71406, 63734, 41463, 17726, 63935]",2018-02-26
82,"[63936, 65600, 3147, 68236, 69006, 71695, 65872, 71697, 71576, 71579, 64543, 66720, 2592, 69600, 63526, 71406, 65968, 71666, 68915, 17591, 71676, 64509, 17726, 63935]",2018-02-28
270,"[72966, 72519, 69642, 3147, 69516, 71567, 65295, 66959, 25621, 72981, 72984, 72985, 4892, 72990, 66278, 70376, 63337, 71210, 70956, 71349, 63349, 63995, 72510, 63743]",2018-03-04
238,"[71942, 71818, 71883, 64460, 71884, 71826, 71955, 72085, 71958, 72407, 71899, 71836, 71970, 71848, 71978, 71915, 71916, 72429, 43697, 71859, 71795, 71800, 71997, 72126]",2018-03-06
297,"[74753, 74050, 3587, 33412, 71107, 70084, 67847, 74052, 74060, 71900, 70431, 16353, 73703, 73704, 73705, 11178, 74155, 57132, 68464, 73715, 63798, 73912, 74045, 69823]",2018-03-10
