Token,Nodes,Dates
59,"[60225, 60163, 60101, 60168, 60169, 60105, 59979, 60051, 59987, 59988, 60056, 60189, 59999, 60193, 60202, 52652, 60142, 60279, 60017, 60273, 60215, 60153, 60218, 60219, 59772]",2018-01-07
69,"[62915, 63046, 60999, 35212, 61580, 61455, 62991, 59409, 60625, 63189, 29783, 20829, 15518, 63138, 41058, 63077, 63078, 62951, 62186, 62124, 61685, 63030, 56823, 63034, 3773]",2018-01-20
82,"[63936, 65665, 66373, 4678, 60234, 3147, 64780, 45132, 66459, 63644, 15579, 66013, 65630, 64735, 64351, 65890, 64679, 21544, 15593, 60205, 63727, 65968, 65843, 63734, 63935]",2018-02-05
199,"[69062, 43016, 63369, 69514, 14923, 67215, 68306, 4824, 65434, 64666, 4892, 65759, 69731, 66469, 63526, 70118, 63337, 45673, 70443, 66410, 66285, 34555, 66684, 64509, 1534]",2018-02-22
208,"[69504, 69505, 65921, 69507, 69508, 72453, 50497, 69313, 70211, 2315, 12879, 69780, 70490, 71148, 67117, 63470, 64625, 66162, 23989, 65398, 69503, 69048, 2105, 63997, 69311]",2018-03-03
305,"[65664, 66242, 68806, 65607, 66246, 63369, 2827, 67215, 70672, 68307, 67988, 66138, 66140, 2105, 74976, 66150, 1534, 74985, 68074, 57453, 57396, 63349, 63673, 63486, 63743]",2018-03-11
230,"[75841, 75394, 75780, 75653, 12612, 75590, 75528, 74636, 75404, 1362, 75798, 71383, 75544, 75610, 72477, 73183, 73442, 75876, 75815, 74091, 75694, 75829, 44983, 46138, 75647]",2018-03-16
365,"[15680, 82628, 82950, 71367, 83336, 82832, 81491, 65747, 83157, 82840, 81499, 82909, 82270, 3682, 83107, 82857, 29994, 82858, 15593, 43513, 74930, 82418, 82422, 83001, 41022]",2018-03-30
266,"[72832, 28930, 72580, 72901, 72700, 25296, 72597, 72661, 28501, 83609, 63644, 72604, 73696, 69244, 72547, 64935, 4141, 69294, 72685, 72627, 3827, 72757, 35575, 83515, 63676]",2018-04-01
266,"[50497, 73541, 72572, 84938, 72721, 72657, 72857, 49883, 65056, 82400, 73122, 69244, 72547, 28071, 72552, 5610, 69226, 1771, 72622, 84976, 72947, 35575, 248, 84345, 72700]",2018-04-09
266,"[72832, 34752, 50497, 4289, 72580, 65092, 74631, 76040, 73225, 2442, 72649, 72572, 73551, 72658, 2898, 72800, 73696, 72547, 73638, 72552, 72941, 72622, 72948, 66295, 69244]",2018-04-19
266,"[72832, 9988, 72580, 76040, 72649, 72572, 58841, 74651, 72603, 72541, 73696, 72547, 73125, 72806, 64935, 72552, 87018, 72556, 70381, 69294, 72626, 72692, 66295, 72568, 11196]",2018-04-23
338,"[87488, 76228, 67975, 79431, 83784, 82058, 88778, 83404, 69645, 87247, 86165, 79575, 55064, 76184, 87384, 86556, 81117, 76192, 76257, 76323, 76778, 89520, 76473, 86462, 65023]",2018-05-08
338,"[87488, 76224, 76163, 76227, 76539, 67975, 88137, 76490, 81996, 76374, 87384, 79141, 76330, 76778, 78380, 78381, 76078, 88171, 89520, 65023, 77298, 76468, 76475, 76988, 76223]",2018-05-09
396,"[88832, 89986, 89990, 89991, 89992, 86217, 89995, 85582, 87444, 86228, 89887, 69281, 90086, 84329, 71019, 84269, 90029, 90030, 69037, 84272, 87282, 88372, 84661, 67960, 90043]",2018-05-11
69,"[25472, 88580, 53193, 88204, 69261, 38158, 59409, 91026, 60625, 73553, 86549, 29783, 55064, 83033, 87325, 66720, 41952, 86519, 87918, 4271, 74930, 86141, 56823, 85176, 56765]",2018-05-24
69,"[67520, 88578, 56823, 60166, 72266, 60625, 86549, 29783, 74264, 69530, 90011, 87325, 81374, 66720, 91620, 40232, 86568, 65066, 83436, 4271, 85043, 93367, 93626, 82811, 90492]",2018-06-08
440,"[93697, 94788, 93764, 95112, 88203, 94996, 92251, 95964, 94045, 94557, 75743, 95840, 95137, 95457, 89254, 92263, 92264, 89961, 92141, 95471, 95856, 94385, 92211, 95096, 90555]",2018-06-23
463,"[88512, 90753, 95491, 90691, 29767, 93960, 62735, 85840, 33104, 6292, 21017, 84313, 95836, 82270, 89824, 82338, 76774, 88109, 4269, 59184, 17717, 95160, 43513, 88508, 95294]",2018-06-23
484,"[94979, 90691, 92228, 94993, 101524, 92181, 82069, 95063, 101275, 101533, 94559, 95904, 93407, 94947, 90599, 92713, 93867, 93291, 101486, 100655, 94775, 101433, 92092, 92093, 95550]",2018-07-09
467,"[86530, 58309, 103944, 14923, 90509, 103698, 104020, 72859, 90461, 93986, 103970, 103972, 103907, 103910, 103975, 90488, 103914, 63789, 102446, 90478, 103918, 103919, 90483, 103988, 103992]",2018-07-30
484,"[107136, 92228, 93893, 107785, 94993, 92241, 107027, 103377, 102042, 95451, 101533, 90525, 94559, 95904, 104230, 94951, 95529, 106988, 107821, 106348, 105012, 94775, 93881, 92092, 92093]",2018-08-29
484,"[107136, 106432, 92228, 107979, 70991, 94993, 103377, 107668, 107925, 107865, 95904, 92327, 95529, 93867, 106988, 107821, 107885, 105009, 93874, 95858, 94069, 94775, 92092, 92093, 93886]",2018-08-30
484,"[107136, 92610, 92228, 94993, 103377, 107865, 90525, 108381, 94559, 95904, 93884, 95529, 104874, 93867, 106348, 105009, 93874, 107698, 105012, 104757, 94069, 93881, 92092, 92093, 98046]",2018-09-01
568,"[109762, 90566, 109704, 104075, 95308, 104077, 106638, 106445, 104209, 70417, 109140, 58390, 109599, 63714, 109732, 108715, 109742, 109617, 109557, 109558, 109688, 109753, 109563, 109757, 109567]",2018-09-06
484,"[86720, 92228, 109576, 109322, 92624, 94993, 82069, 107865, 148831, 111778, 148834, 108770, 102053, 95529, 102396, 110573, 147118, 105007, 102898, 64114, 95545, 148602, 92092, 92093, 111295]",2018-09-20
668,"[111489, 108421, 112006, 108997, 108741, 153353, 111816, 108815, 108756, 107989, 106965, 80407, 2071, 107996, 104349, 108003, 152996, 148261, 108650, 111660, 105390, 153264, 108151, 107832, 111099]",2018-09-22
238,"[153984, 110403, 112200, 153226, 111373, 111374, 112207, 153297, 111379, 72407, 71834, 110875, 153314, 153570, 153187, 153595, 109929, 71978, 111531, 72429, 108909, 153142, 110393, 112250, 154427]",2018-09-25
786,"[158787, 161989, 161160, 160586, 160846, 161807, 161169, 12881, 160594, 160469, 160662, 160470, 160087, 162012, 160605, 161246, 158816, 161253, 158823, 160683, 160946, 76597, 161911, 159864, 157054]",2018-10-21
786,"[160578, 159683, 158787, 162375, 162247, 160586, 159372, 162252, 160594, 162259, 162387, 162325, 160662, 160469, 160470, 8345, 160087, 852, 158816, 162467, 162469, 162472, 160946, 76597, 159864]",2018-10-24
786,"[158787, 161989, 104775, 162120, 160586, 160846, 162128, 162899, 160469, 160662, 160470, 160087, 8345, 162648, 163541, 161246, 163426, 18596, 162469, 162985, 162986, 161713, 160946, 159864, 157054]",2018-10-30
785,"[162244, 164998, 162183, 158344, 158022, 47050, 164045, 86483, 72916, 94807, 158360, 158298, 157852, 158432, 157923, 157284, 164963, 158950, 157735, 91634, 158645, 164918, 158262, 158136, 109688]",2018-11-05
641,"[107009, 13953, 108802, 106696, 111819, 150990, 105551, 106833, 102996, 106261, 106198, 104728, 80857, 108703, 23523, 106469, 168681, 168753, 105716, 105526, 107705, 111930, 112444, 106749, 156159]",2018-11-27
484,"[169664, 92610, 92228, 169672, 94993, 165205, 169624, 169369, 165213, 95904, 166176, 108770, 169698, 169636, 95529, 154539, 110573, 168174, 93874, 94195, 105012, 169594, 92092, 92093, 98046]",2018-12-01
668,"[161217, 110274, 164803, 168011, 158605, 107989, 162713, 101852, 104349, 170398, 108003, 168805, 164775, 170599, 170600, 161706, 108007, 108650, 170542, 108403, 8564, 108151, 107832, 170553, 166334]",2018-12-06
937,"[169280, 166664, 171209, 169228, 169100, 170450, 169110, 171096, 168025, 169242, 105371, 169313, 169122, 169314, 169124, 23523, 162021, 169131, 169132, 171180, 156462, 171251, 66295, 169148, 170109]",2018-12-11
641,"[107009, 171207, 109320, 106696, 155464, 48587, 111819, 107539, 102996, 105622, 106198, 83481, 80857, 108703, 154016, 167329, 23523, 154922, 162796, 105716, 107317, 111930, 106749, 171070, 106047]",2018-12-17
641,"[107009, 108802, 111748, 38724, 109320, 106696, 111819, 105548, 105743, 107606, 80857, 90842, 105886, 98208, 167329, 161443, 23523, 175843, 106469, 107748, 105716, 107317, 107832, 111930, 106749]",2018-12-27
668,"[179648, 109185, 107968, 176131, 179650, 108295, 178834, 179666, 107989, 176022, 106965, 111642, 104349, 174561, 108003, 108007, 179627, 179691, 179565, 177778, 176115, 161397, 105975, 179580, 53503]",2018-12-29
568,"[155971, 106436, 132677, 90566, 4934, 162889, 95308, 109649, 9425, 109139, 109140, 104597, 109141, 109143, 109144, 108376, 163098, 156187, 109146, 108375, 108637, 108658, 167924, 158460, 156222]",2019-01-01
850,"[178884, 163783, 163785, 170186, 163787, 177424, 164115, 180695, 163353, 177565, 178206, 109344, 182181, 182182, 177381, 164330, 177003, 170796, 178095, 176431, 110703, 165814, 158968, 166650, 107068]",2019-01-08
641,"[102400, 107009, 111426, 13317, 161093, 109320, 106696, 111819, 105743, 86288, 106066, 106454, 107606, 182486, 69341, 98208, 167329, 106469, 164464, 107892, 105716, 107832, 111930, 90364, 106749]",2019-01-09
668,"[158592, 109185, 107968, 175943, 180240, 107989, 108281, 80407, 180569, 108699, 104349, 175523, 161214, 182756, 108327, 108007, 161706, 108650, 177586, 182517, 158839, 107832, 174777, 180859, 166334]",2019-01-09
1042,"[74880, 108735, 185032, 95305, 174669, 185935, 94031, 83481, 186871, 186852, 186987, 186989, 185135, 169073, 186866, 186610, 186995, 165877, 103350, 186615, 186996, 186874, 186876, 186877, 101439]",2019-01-27
484,"[111101, 166723, 92228, 91014, 186889, 175377, 186644, 165205, 167511, 175965, 94559, 84063, 185569, 187428, 175847, 95529, 168817, 152626, 187377, 167924, 187253, 170166, 187256, 92093, 98046]",2019-01-30
1061,"[180608, 187264, 187456, 179590, 181640, 177488, 189585, 186449, 111571, 187091, 177559, 179738, 68382, 179743, 187616, 179746, 186020, 182372, 178599, 178023, 189805, 178672, 189936, 183156, 178495]",2019-02-12
966,"[106434, 157001, 181258, 176906, 183674, 178579, 181268, 168723, 181271, 186648, 162073, 170267, 69341, 171389, 187107, 178088, 170858, 170478, 155246, 181296, 174966, 185590, 175545, 171194, 181241]",2019-02-14
668,"[156417, 50817, 170627, 161217, 175561, 4299, 156306, 108217, 191315, 106965, 107989, 111642, 104349, 175908, 161214, 167396, 191334, 108650, 111666, 191416, 174777, 37626, 191417, 166334, 100927]",2019-02-21
484,"[190913, 92228, 88071, 191687, 155338, 187789, 188624, 189778, 155539, 177748, 187863, 94936, 166744, 182489, 189657, 108770, 103206, 98045, 191467, 93870, 93874, 95540, 170166, 92092, 92093]",2019-02-25
983,"[102083, 180861, 163915, 86483, 102292, 176212, 76376, 152666, 193883, 169244, 170653, 82782, 86242, 169958, 193895, 104875, 186091, 168556, 193583, 158191, 49842, 91634, 109688, 160957, 82366]",2019-03-07
1061,"[193921, 193859, 193924, 190086, 177607, 193928, 193736, 180298, 187403, 193869, 193935, 186449, 187091, 182164, 189716, 187412, 182485, 193880, 193179, 193887, 193896, 193904, 193843, 191037, 187967]",2019-03-07
983,"[170688, 167937, 102083, 162244, 164803, 163915, 89998, 190227, 102292, 76376, 170653, 162591, 169958, 29994, 168556, 194285, 193583, 196656, 158191, 91634, 9459, 109688, 193787, 189116, 12157]",2019-03-14
785,"[63362, 104068, 1927, 190536, 183697, 105886, 89887, 185822, 199263, 157346, 199646, 157284, 191332, 157543, 199464, 50026, 183786, 157803, 110061, 161915, 91504, 158262, 161976, 175163, 158335]",2019-03-18
1139,"[95296, 92417, 180546, 165572, 189963, 90765, 185871, 186833, 185556, 93525, 165974, 185557, 193177, 63904, 7842, 190114, 108771, 3243, 14894, 186545, 102899, 85363, 68405, 185587, 190195]",2019-03-18
