Token,Nodes,Dates
25,[171],2017-05-18
59,[55187],2018-01-25
174,[70114],2018-02-20
203,[70726],"2018-02-22, 2018-02-23"
206,[70898],2018-02-23
207,[70901],2018-02-24
228,[71363],"2018-02-26, 2018-03-07, 2018-03-13, 2018-03-17"
274,[73075],2018-03-05
295,[81238],2018-03-21
362,[81226],2018-03-21
377,[82113],2018-03-24
378,[82115],2018-03-24
387,[65809],2018-03-29
379,[87963],2018-05-05
466,[90074],2018-05-11
467,[90087],2018-05-11
483,[82637],2018-05-30
580,[104595],2018-08-04
609,[104745],2018-08-06
632,[105071],2018-08-10
682,[108882],2018-09-11
694,[111292],2018-09-27
757,[155005],2018-09-27
758,[155005],2018-09-27
759,[155005],2018-09-27
777,[156566],2018-10-05
728,[111347],"2018-10-08, 2019-06-10"
388,[95107],2018-10-22
900,[90516],2018-11-14
923,[168214],2018-11-27
802,[162139],2018-11-28
802,[64349],2018-12-08
1053,[9950],2018-12-23
24,[997],2018-12-31
738,[134783],2019-01-03
1175,[187082],2019-02-03
1172,[187944],2019-02-07
338,[76352],2019-02-11
541,[168858],2019-02-16
1249,[36303],2019-02-16
788,[95107],2019-02-18
936,[95107],2019-02-18
1029,[95107],2019-02-18
1335,[68660],2019-03-11
802,[195354],2019-03-12
1297,[197602],2019-03-16
1379,[204127],2019-03-21
1389,[205353],2019-03-21
81,[64395],2019-03-27
1167,[210787],2019-03-29
908,[193731],2019-04-03
1478,[91742],2019-04-12
396,[94117],2019-04-18
952,[170074],"2019-04-18, 2019-04-21"
1248,[170137],2019-04-21
1540,[228804],2019-04-25
1542,[47956],2019-04-25
396,[88071],2019-05-14
1334,[200255],2019-05-15
1686,[73750],2019-05-24
1485,[370714],2019-05-27
1503,[370714],2019-05-27
1780,[395232],2019-06-09
1585,[231694],2019-06-13
1806,[396647],2019-06-13
1485,[194713],2019-06-22
1486,[194713],2019-06-22
1487,[194713],2019-06-22
1272,[191437],2019-07-03
1503,[405003],2019-07-07
1660,[213730],2019-07-12
1982,[404335],2019-07-17
1992,[108063],2019-07-18
936,[398918],"2019-07-19, 2019-07-22"
1872,[396822],2019-07-20
541,[401617],2019-07-23
2015,[396779],2019-07-23
1931,[190044],2019-07-24
1851,[396822],"2019-07-27, 2019-07-30"
1925,[200865],2019-07-27
1973,[190044],2019-07-30
1420,[391120],2019-09-03
2232,[403530],2019-09-08
2287,[432776],2019-09-09
1172,[197220],2019-09-17
738,[114343],2019-10-01
1435,[408294],2019-10-01
1745,[210412],2019-10-02
2377,[166704],2019-10-04
