Token,Nodes,Dates
50,"[780, 781, 782, 784, 785, 787, 788, 792, 793, 794, 795, 796, 797, 798, 799, 801, 802, 803, 805, 808, 809, 810, 812, 813, 814, 815, 816]",2017-11-22
69,"[63046, 35212, 61580, 62991, 63760, 59409, 60625, 8786, 63700, 63772, 15518, 61344, 63138, 62818, 63716, 63077, 63078, 62951, 63720, 63659, 61163, 62448, 63476, 56823, 63741, 63034, 56765]",2018-01-22
81,"[63617, 63301, 64455, 64392, 63754, 63633, 63636, 63832, 63769, 22108, 63902, 63777, 33961, 5098, 63852, 64429, 63789, 63855, 63792, 14448, 63090, 60595, 62900, 63861, 64055, 63676, 63549]",2018-01-25
81,"[65664, 63044, 63558, 64392, 58312, 64395, 63947, 65617, 65618, 65621, 63578, 64610, 64554, 5098, 63727, 65712, 20400, 14448, 60595, 39667, 23989, 15670, 6900, 64441, 64509, 17726, 3775]",2018-01-31
82,"[63936, 65665, 65600, 66114, 65035, 64780, 3147, 45132, 65553, 65620, 15579, 63644, 65692, 64733, 64543, 2592, 65630, 64351, 64679, 21544, 63727, 65968, 14448, 11377, 63734, 66042, 63935]",2018-02-03
145,"[69377, 69186, 3587, 69062, 69383, 64392, 2315, 64509, 69330, 1362, 68307, 69084, 65759, 68576, 65764, 69288, 45673, 3500, 69037, 69294, 64364, 69296, 69297, 8753, 66285, 34555, 69053]",2018-02-17
82,"[63936, 63935, 68236, 68238, 65359, 69840, 67986, 68502, 65630, 69600, 64610, 69731, 68325, 63526, 15593, 69802, 67626, 2990, 9007, 14448, 65843, 68915, 63734, 67193, 66042, 70331, 67391]",2018-02-20
146,"[68803, 6277, 60998, 23229, 68425, 68492, 70544, 69399, 65630, 68959, 66720, 68575, 68642, 68643, 69218, 68584, 69227, 68652, 68526, 68655, 68592, 68913, 60595, 68595, 68533, 64315, 68925]",2018-02-21
166,"[69698, 73097, 73100, 69901, 73166, 69904, 69906, 69781, 69782, 69783, 68121, 69914, 69915, 69786, 66461, 69785, 72736, 69729, 69736, 69737, 69738, 72752, 69811, 69813, 69814, 69815, 72703]",2018-03-05
255,"[72193, 72194, 72195, 72258, 74118, 74566, 74825, 66059, 72268, 72205, 72216, 75866, 64346, 75743, 72224, 64864, 72226, 72227, 75388, 72230, 73574, 72234, 64237, 72242, 64823, 65404, 75966]",2018-03-17
238,"[71872, 71817, 74441, 71883, 71756, 72014, 71823, 72083, 81044, 72407, 71899, 71836, 71967, 72096, 71970, 71780, 71782, 76010, 71787, 72172, 72429, 72173, 76527, 72371, 72055, 71997, 72126]",2018-04-04
338,"[76476, 76487, 77000, 62217, 76234, 81996, 76113, 65042, 75798, 76183, 76311, 86297, 76570, 82646, 86556, 76248, 78368, 76385, 78073, 85481, 76778, 76395, 76466, 10425, 76729, 76988, 86462]",2018-04-21
338,"[47936, 76491, 87379, 78101, 79575, 76760, 87384, 50978, 76261, 76071, 87271, 79079, 76778, 88171, 65023, 76397, 88302, 76207, 76463, 76345, 82030, 76403, 82872, 76473, 76411, 82237, 76159]",2018-05-03
481,"[91968, 91594, 85134, 74769, 71953, 74582, 74713, 74585, 91932, 82461, 91870, 91871, 91872, 91873, 91874, 91875, 91880, 50794, 91883, 92010, 66350, 91887, 91568, 87344, 80182, 91896, 91902]",2018-05-28
519,"[95296, 86402, 70211, 100420, 78470, 89991, 10759, 102920, 101898, 88071, 62735, 62034, 103251, 74264, 102554, 100508, 103196, 93406, 103264, 103265, 10856, 76136, 87467, 103212, 95599, 88631, 102971]",2018-07-26
633,"[105153, 105154, 105348, 105605, 155269, 105351, 107527, 91785, 35782, 155213, 155278, 155288, 91417, 111192, 155232, 150179, 77542, 155176, 105322, 105773, 105328, 109489, 155314, 105586, 105336, 106614, 107576]",2018-09-27
633,"[105153, 105154, 155524, 105605, 155910, 153477, 35782, 107145, 91785, 106899, 108629, 91926, 155288, 111192, 106911, 91424, 155232, 105773, 105453, 90861, 155888, 108722, 105586, 105458, 106614, 109822, 155903]",2018-09-30
633,"[101632, 105408, 105153, 105154, 108611, 105605, 161159, 158216, 105671, 108301, 160910, 108305, 106132, 160982, 160919, 91552, 152994, 107365, 105387, 160943, 91570, 105586, 105458, 106037, 112445, 156030, 105343]",2018-10-16
668,"[145408, 111553, 158850, 152645, 108295, 160458, 144332, 156750, 35535, 156751, 160913, 108622, 153554, 107989, 106965, 111643, 108316, 160925, 104349, 153820, 108003, 160934, 108007, 160938, 160947, 25910, 107832]",2018-10-16
484,"[86720, 156864, 161729, 92228, 92553, 109322, 155338, 94993, 160658, 161617, 160532, 92241, 94040, 161760, 108770, 161383, 95529, 111724, 110573, 105009, 93874, 160884, 92535, 106876, 92092, 92093, 111487]",2018-10-19
785,"[157506, 60996, 105805, 76376, 160894, 161919, 157852, 161951, 1184, 158369, 157985, 157663, 21600, 157923, 161446, 158950, 106024, 157293, 73581, 158191, 92529, 26483, 158136, 158267, 157500, 157374, 91839]",2018-10-20
484,"[93953, 92228, 163339, 62735, 162064, 94993, 160658, 161617, 74264, 163736, 163672, 163995, 163740, 163742, 164069, 155367, 95529, 163369, 111721, 163759, 92093, 160884, 104757, 154614, 94331, 92092, 162749]",2018-10-31
786,"[164544, 164097, 158787, 164614, 104775, 161160, 160586, 159372, 162252, 161807, 160594, 160469, 160662, 162902, 160087, 8345, 162648, 160470, 163541, 160605, 158816, 18596, 160946, 164343, 159864, 25019, 159228]",2018-11-02
786,"[163074, 158787, 161989, 164166, 164360, 160586, 159372, 160846, 161807, 162069, 160662, 63510, 160469, 8345, 163541, 160087, 160470, 161246, 162465, 164835, 18596, 162469, 5419, 160946, 159864, 159228, 157054]",2018-11-04
785,"[158336, 165571, 158022, 1927, 158344, 165830, 32657, 105491, 72916, 157397, 1492, 50072, 105886, 157216, 21600, 158441, 158379, 160940, 110061, 158638, 157746, 82676, 158648, 54393, 157500, 158334, 158335]",2018-11-08
785,"[166593, 166594, 157251, 158401, 158728, 161552, 158357, 107543, 157211, 157852, 92508, 105886, 157279, 21600, 157923, 157605, 158136, 157543, 157930, 158379, 158507, 166578, 91634, 158262, 157878, 158648, 158332]",2018-11-11
641,"[107009, 109320, 106696, 166728, 48587, 111819, 105548, 105743, 86288, 80857, 105886, 89533, 23523, 106469, 70120, 108201, 154922, 108777, 106346, 166702, 105716, 111480, 106749, 111930, 162363, 112444, 156541]",2018-11-12
641,"[107009, 109320, 106696, 107338, 48587, 111819, 106198, 80857, 157082, 108703, 108448, 98208, 23523, 102694, 160551, 71399, 154922, 106096, 4017, 91442, 105716, 107317, 107892, 106809, 111930, 162363, 7807]",2018-11-19
668,"[158592, 168896, 161217, 107968, 111099, 108295, 156743, 168903, 111627, 158799, 168660, 107989, 168791, 56603, 160604, 104349, 27745, 162339, 168805, 162343, 108650, 62963, 158839, 108217, 78522, 73275, 161214]",2018-11-27
381,"[83139, 102723, 165062, 101639, 82630, 82631, 164941, 60883, 169046, 169047, 102552, 93145, 104859, 162972, 83229, 82462, 83486, 107549, 162011, 82911, 168928, 86880, 168932, 168934, 91504, 97790, 83583]",2018-11-28
381,"[83139, 169220, 162757, 82630, 101639, 82631, 84554, 164941, 167886, 169233, 166481, 60883, 169046, 102552, 93145, 104859, 83229, 169247, 86880, 103714, 169191, 82476, 109359, 101945, 160443, 97790, 83583]",2018-11-29
641,"[105856, 107009, 105857, 109320, 106696, 47306, 105805, 164494, 86288, 106833, 106261, 106198, 108703, 8609, 167329, 23523, 106469, 71399, 154922, 170349, 166702, 156078, 112432, 105716, 109302, 162744, 106749]",2018-12-04
381,"[83778, 83139, 82627, 90691, 82630, 82631, 89798, 165062, 84554, 170438, 164941, 166606, 93649, 170134, 93145, 168539, 83229, 82911, 86880, 170217, 74797, 109359, 111541, 158840, 160443, 97790, 83583]",2018-12-05
484,"[170432, 106876, 92228, 94972, 165197, 94993, 165205, 166682, 165213, 148831, 166176, 95904, 170275, 104230, 95529, 168174, 170160, 93874, 105012, 104757, 170166, 168820, 94069, 94070, 170298, 92092, 92093]",2018-12-05
641,"[107009, 105537, 106436, 38724, 86288, 170449, 106002, 13523, 105622, 106198, 83481, 88858, 108703, 43039, 106469, 71399, 168681, 154922, 110061, 166702, 156078, 112432, 105716, 106549, 105525, 107832, 107705]",2018-12-05
641,"[105856, 107009, 171073, 109320, 106696, 107849, 111819, 105551, 106261, 107606, 83481, 90842, 108703, 98208, 23523, 102694, 71399, 154922, 109866, 164464, 4017, 105716, 170613, 64822, 107705, 111930, 106749]",2018-12-12
568,"[106436, 132677, 95049, 162250, 95308, 94031, 9425, 109649, 156436, 104597, 108694, 2972, 1052, 48989, 108638, 107936, 3105, 102434, 153763, 110563, 10093, 93874, 108658, 164790, 156918, 105592, 104379]",2018-12-14
641,"[107009, 105537, 175237, 109320, 106696, 111819, 155980, 105743, 170640, 102679, 80857, 95994, 108703, 98208, 23523, 111204, 154980, 154922, 106346, 156078, 105716, 105525, 106358, 107832, 106749, 111930, 89533]",2018-12-21
641,"[107009, 13953, 109320, 106696, 111819, 86288, 107606, 102679, 106198, 80857, 105886, 98208, 23523, 106469, 154922, 162796, 110061, 156078, 49842, 107700, 107317, 106549, 105716, 107832, 106749, 111930, 89533]",2018-12-29
668,"[53442, 175044, 181253, 161732, 108295, 181188, 175943, 175882, 158990, 107989, 106965, 176085, 111446, 105498, 108316, 104349, 160604, 10400, 108003, 181096, 20521, 159285, 161397, 107832, 174777, 180859, 53503]",2019-01-05
484,"[90691, 168068, 92228, 176008, 177353, 180169, 180748, 168335, 175377, 6292, 105112, 169753, 68380, 109150, 166176, 182048, 108770, 156327, 179817, 180523, 93867, 182319, 156594, 182259, 177460, 92092, 92093]",2019-01-09
668,"[156417, 109185, 64705, 95108, 161217, 111683, 108217, 168660, 107989, 106965, 80407, 165975, 158807, 104349, 183582, 10400, 184098, 166243, 161214, 108007, 108203, 111665, 183858, 180094, 174777, 107513, 184126]",2019-01-15
484,"[157059, 92228, 156616, 185996, 94993, 166163, 186004, 186003, 183190, 169686, 169559, 165213, 175358, 182048, 180644, 185981, 156327, 95529, 93867, 98046, 159151, 186033, 170166, 164728, 92092, 92093, 185982]",2019-01-22
1061,"[105605, 179397, 179398, 177607, 179851, 187021, 186255, 177488, 186449, 187091, 177559, 187033, 187162, 179867, 179421, 177502, 179743, 182372, 177642, 178158, 178032, 179312, 181810, 178803, 178804, 186428, 187007]",2019-01-28
641,"[107009, 13953, 106696, 162443, 111819, 106198, 187351, 105686, 83481, 106454, 112478, 108703, 98208, 106469, 105574, 154922, 87595, 188332, 49842, 107892, 107317, 105526, 105716, 108537, 111930, 106749, 106047]",2019-02-03
1012,"[178240, 178433, 184641, 175107, 175109, 175110, 175111, 185480, 175113, 106312, 186383, 187537, 175314, 179222, 169686, 177500, 88801, 110563, 178276, 165222, 184299, 184300, 154545, 106098, 106426, 178364, 175101]",2019-02-03
966,"[182145, 183042, 157001, 175545, 170699, 182158, 187728, 171345, 178579, 181268, 168723, 185429, 186327, 186648, 162073, 170267, 181342, 184865, 184549, 178088, 175528, 170858, 182508, 170478, 174966, 182071, 181433]",2019-02-08
1061,"[187264, 187457, 187010, 178883, 179588, 179398, 181640, 89295, 186449, 190098, 177559, 189720, 178585, 184151, 189980, 190108, 186398, 187616, 185506, 190115, 190051, 178023, 177642, 189806, 179320, 180473, 178495]",2019-02-13
484,"[92228, 88071, 191687, 186385, 175377, 189778, 165205, 189527, 187863, 189657, 190619, 190942, 166176, 108770, 187428, 191076, 191463, 179817, 93867, 152626, 105012, 184756, 170166, 186681, 92092, 92093, 191678]",2019-02-23
1049,"[189120, 175809, 189121, 189122, 189123, 189124, 189125, 189126, 189127, 189128, 189129, 189130, 189131, 189137, 189138, 189139, 189140, 189141, 189142, 189143, 189144, 189145, 189146, 189116, 189117, 189118, 189119]",2019-03-04
983,"[170688, 167937, 102083, 164803, 163915, 190227, 102292, 196757, 76376, 195353, 188956, 82782, 1183, 162591, 86242, 190443, 194285, 166702, 174702, 196656, 49842, 191027, 9459, 109688, 193787, 82366, 170495]",2019-03-15
381,"[83778, 82627, 83139, 82630, 101639, 82631, 154378, 111627, 164941, 86486, 102552, 93145, 26266, 107549, 180899, 191077, 191910, 97790, 194922, 191789, 85934, 83053, 182067, 101877, 179324, 82494, 87615]",2019-03-20
1049,"[189120, 175809, 189121, 189122, 189123, 189124, 189125, 189126, 189127, 189128, 189129, 189130, 189131, 189132, 189133, 189134, 189136, 189141, 189142, 189143, 189144, 189145, 189146, 189116, 189117, 189118, 189119]",2019-03-20
668,"[156417, 161217, 192834, 175880, 192200, 194123, 196434, 108217, 107989, 80407, 108377, 109979, 104349, 150046, 196641, 162339, 162404, 109796, 162343, 208554, 160301, 198062, 111666, 208055, 175673, 161214, 208639]",2019-03-24
1049,"[189120, 175809, 189121, 189122, 189123, 189124, 189125, 189132, 189133, 189134, 189136, 189137, 189138, 189139, 189140, 189141, 189142, 189143, 189144, 189145, 189146, 176212, 193583, 189116, 189117, 189118, 189119]",2019-03-28
1139,"[92417, 186242, 103106, 180546, 186245, 189390, 185556, 185557, 182230, 165974, 185560, 193177, 185562, 63262, 191905, 7842, 190114, 185958, 3047, 107178, 3243, 14894, 200943, 185587, 85363, 68405, 102899]",2019-04-03
381,"[182786, 185475, 82627, 82630, 82631, 190534, 84617, 154378, 84678, 213706, 164941, 168274, 185492, 180118, 86486, 211032, 93145, 183454, 180899, 189674, 185647, 185521, 186227, 215544, 145145, 185532, 82494]",2019-04-07
1139,"[95296, 92417, 180546, 211460, 57235, 185556, 93525, 169366, 165974, 185557, 193177, 185560, 185562, 1052, 107681, 7842, 190114, 86242, 186153, 3243, 87467, 14894, 207086, 85363, 102899, 68405, 171126]",2019-04-09
1049,"[175809, 189122, 189123, 189124, 217349, 217350, 189127, 189128, 217353, 189129, 189131, 217356, 189132, 217358, 189134, 189137, 189139, 189144, 189146, 217327, 217328, 217330, 217332, 217336, 217337, 189118, 189119]",2019-04-15
1139,"[95296, 195457, 92417, 185603, 211460, 180546, 188105, 225421, 186833, 111250, 185556, 185557, 182230, 165974, 185560, 193177, 185562, 63904, 7842, 224229, 186213, 186153, 3243, 14894, 102899, 185587, 68405]",2019-04-18
853,"[186368, 188672, 191812, 185924, 185862, 186375, 184392, 185228, 185805, 183312, 183443, 180757, 175515, 175516, 182558, 175391, 189792, 183082, 186092, 175215, 191473, 185138, 191284, 183990, 182711, 179448, 175351]",2019-04-19
1139,"[30464, 92417, 186242, 95296, 180546, 33034, 225421, 186833, 111250, 185556, 185557, 182230, 185560, 193177, 185562, 107681, 7842, 224229, 186213, 186153, 14894, 190128, 102899, 85363, 68405, 185587, 2939]",2019-04-19
1049,"[175809, 189121, 189122, 217348, 189123, 217350, 217351, 217353, 217354, 189129, 217356, 189131, 217358, 189134, 189138, 189139, 189142, 189143, 189145, 189146, 217328, 217330, 217341, 217334, 217336, 217337, 189117]",2019-04-26
381,"[182786, 82627, 229572, 170819, 82630, 101639, 189320, 82631, 154378, 164941, 168274, 86486, 227352, 226778, 189277, 83486, 192478, 86880, 229476, 189292, 185456, 188723, 109364, 105464, 179324, 82494, 83583]",2019-04-27
666,"[158848, 87682, 156229, 156233, 111882, 154955, 131724, 151314, 104349, 175202, 112421, 148840, 155177, 104363, 112172, 104364, 188078, 111597, 165103, 182384, 230066, 112242, 154355, 157045, 156475, 158846, 158847]",2019-04-28
381,"[182786, 83778, 189763, 164546, 162757, 101639, 82630, 82631, 154378, 82827, 164941, 192334, 230420, 86486, 189783, 93145, 230426, 189851, 107549, 230047, 86880, 185855, 189741, 189869, 109359, 109364, 83583]",2019-04-29
1311,"[193799, 94031, 219733, 194972, 175965, 6431, 193824, 230623, 157923, 67621, 228453, 230910, 169641, 230441, 99178, 228075, 218860, 218863, 14448, 229106, 194997, 176190, 224186, 193851, 229948, 230718, 227775]",2019-04-30
1049,"[189120, 189121, 175809, 189123, 189122, 217349, 189124, 189127, 189128, 189129, 217354, 189130, 217356, 189131, 189137, 189138, 189139, 189140, 189144, 189146, 217326, 217341, 217334, 217336, 217337, 189117, 217343]",2019-05-03
1049,"[217345, 175809, 189122, 189121, 217349, 217350, 189125, 189126, 217353, 189127, 189129, 189131, 189132, 217358, 189137, 189139, 189140, 189146, 175805, 217326, 217327, 106867, 217336, 217341, 217339, 189116, 189117]",2019-05-10
484,"[179200, 92228, 234249, 233929, 156428, 226575, 235152, 155539, 109820, 193240, 226303, 207645, 233020, 224510, 235808, 234724, 110573, 224496, 170802, 209650, 105012, 104757, 228536, 92092, 92093, 230782, 228927]",2019-05-12
1049,"[175809, 189122, 189123, 217348, 217350, 189127, 189128, 217353, 189131, 217356, 217358, 189134, 189137, 189138, 189140, 189143, 189144, 188645, 193583, 217330, 217332, 217334, 217336, 217337, 217339, 189118, 217343]",2019-05-13
829,"[237121, 182210, 164095, 162439, 237127, 166156, 225422, 162512, 162516, 153750, 236387, 18596, 237283, 167590, 237225, 162410, 162412, 166957, 162607, 91504, 162675, 50037, 237301, 237303, 237117, 235070, 162367]",2019-05-15
666,"[158848, 156233, 111882, 154955, 131724, 217043, 161368, 104347, 104351, 112420, 112421, 155177, 70122, 112172, 165103, 160432, 104369, 209008, 217073, 112242, 154355, 158964, 239992, 156475, 156029, 158846, 158847]",2019-05-18
1049,"[189120, 175809, 217348, 217350, 189126, 189128, 189129, 217354, 217356, 189132, 217358, 189133, 189136, 189138, 189140, 189141, 189142, 189145, 189146, 217327, 217328, 217341, 217336, 217337, 189116, 189117, 189119]",2019-05-19
1658,"[102401, 3587, 102083, 211148, 185485, 108756, 106325, 50004, 95447, 76376, 237721, 238046, 238111, 238113, 44009, 2091, 198318, 233137, 238066, 237682, 107764, 192821, 3574, 213945, 193787, 236732, 183741]",2019-05-19
