Token,Nodes,Dates
82,"[63936, 65665, 65600, 63558, 64780, 65359, 65872, 15579, 63644, 64733, 65630, 64543, 2592, 64351, 64679, 63727, 65968, 65843, 60595, 63734, 65467, 65599, 63935]",2018-02-02
107,"[3587, 64067, 58309, 43016, 65801, 3147, 65434, 4892, 66140, 58334, 31135, 2105, 63526, 66105, 61745, 64690, 66225, 63349, 66231, 21176, 66233, 64635, 8508]",2018-02-04
116,"[69186, 65539, 68996, 63369, 64266, 2827, 65801, 69006, 67215, 12879, 69583, 65747, 1363, 65493, 66141, 1056, 3682, 65764, 52584, 61745, 69816, 2105, 67199]",2018-02-18
153,"[69504, 69889, 69505, 69507, 69508, 69506, 69314, 70470, 69514, 1363, 70293, 66138, 70235, 63710, 69536, 69537, 66150, 69423, 18927, 69503, 64509, 69502, 69311]",2018-02-22
82,"[63936, 70662, 4678, 63935, 3147, 64780, 69006, 64509, 64735, 69281, 64610, 69731, 68451, 70120, 67626, 69802, 68398, 64366, 60595, 41463, 65213, 71166, 65599]",2018-02-25
208,"[69504, 65921, 70211, 69380, 65607, 14923, 3147, 69580, 65295, 12879, 65747, 69780, 69857, 63801, 69095, 13483, 67756, 64625, 68978, 65398, 69048, 63673, 63997]",2018-02-27
246,"[70144, 63743, 65607, 37576, 66959, 70672, 65747, 4892, 69731, 63526, 66150, 71911, 70376, 45673, 70377, 71917, 18927, 71663, 61745, 71665, 2105, 1534, 69823]",2018-03-01
170,"[69514, 72267, 70094, 72272, 72209, 72210, 72273, 70292, 72274, 72214, 72215, 72278, 72279, 72280, 69920, 69856, 64613, 72294, 70120, 70061, 70253, 72244, 70138]",2018-03-03
208,"[50497, 69313, 70211, 69508, 69380, 68550, 65607, 12879, 70481, 64666, 64027, 70490, 69535, 2105, 69539, 64625, 68978, 65398, 69048, 69049, 63483, 63997, 69823]",2018-03-06
101,"[65926, 65607, 70729, 70672, 66131, 69780, 67988, 66138, 66140, 66461, 68638, 65764, 66469, 1534, 74151, 70312, 69865, 68074, 57396, 63349, 63549, 63486, 63743]",2018-03-10
270,"[74752, 74754, 73667, 72966, 67206, 74704, 74705, 74707, 70227, 64668, 58334, 70956, 61745, 74740, 74741, 74742, 74744, 74745, 74746, 74747, 74748, 74749, 74751]",2018-03-10
281,"[74688, 6659, 75076, 75079, 75080, 75021, 74449, 73490, 65302, 74713, 73499, 75036, 75038, 75039, 75041, 74088, 75052, 75053, 75055, 71668, 73531, 19966, 74815]",2018-03-13
230,"[36225, 12612, 75590, 75528, 75724, 75989, 71383, 8153, 75610, 75547, 75896, 75743, 63843, 75876, 75493, 16486, 72235, 74091, 72428, 75694, 63085, 75960, 46138]",2018-03-17
266,"[4865, 72700, 72916, 73176, 72604, 3932, 72606, 73182, 73696, 69244, 72547, 83171, 64355, 64935, 64877, 72945, 72627, 72947, 72566, 72952, 63676, 72893, 72639]",2018-03-29
238,"[74441, 71818, 71883, 72014, 71823, 72083, 72407, 75929, 72346, 72055, 71905, 72038, 71787, 74924, 71853, 72429, 72371, 74932, 72116, 72375, 80057, 71997, 71871]",2018-04-01
365,"[83584, 15680, 82628, 71367, 81491, 82840, 11674, 82843, 81499, 83615, 51808, 71841, 83107, 82980, 29994, 82989, 74930, 82998, 82422, 20344, 53498, 75581, 41022]",2018-04-01
82,"[63936, 4294, 84743, 67339, 84797, 84683, 84695, 82135, 81947, 66720, 71841, 64610, 61411, 67811, 69802, 84781, 2990, 72942, 60595, 46839, 83770, 6973, 84799]",2018-04-08
