Token,Nodes,Dates
21,"[128, 129, 130, 131, 132, 17, 126, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 60, 124, 125, 127]",2017-04-19
69,"[62915, 62663, 1160, 35212, 61580, 62991, 59409, 60625, 8786, 63059, 63189, 24918, 15518, 62816, 63138, 41058, 62818, 63077, 62951, 62448, 63476, 61685, 63030, 56823, 61113, 63034]",2018-01-21
76,"[65472, 64576, 67906, 8829, 67978, 64650, 11088, 67667, 64795, 64411, 52892, 64801, 65442, 65530, 67365, 68071, 63531, 64364, 65004, 61745, 60595, 64565, 67641, 64186, 67645, 68029]",2018-02-12
106,"[69186, 58309, 43016, 63369, 64266, 2315, 65801, 64586, 3147, 2510, 68307, 10005, 65817, 65434, 4892, 58334, 2105, 34555, 65763, 64615, 66223, 18927, 61745, 64690, 63673, 64635]",2018-02-18
138,"[69764, 43016, 64392, 2442, 2315, 69582, 65295, 65817, 69658, 69662, 2592, 4128, 67745, 63673, 69861, 69862, 11178, 67949, 5490, 63995, 2105, 64186, 34555, 69244, 64509, 69823]",2018-02-19
101,"[66880, 65921, 65607, 3147, 70156, 67215, 65295, 69583, 66131, 69780, 66138, 4892, 66140, 68638, 69857, 70178, 69539, 63673, 66469, 65764, 69865, 66285, 66162, 63349, 63801, 69823]",2018-02-20
178,"[2369, 69250, 63743, 58309, 63878, 68677, 65607, 69514, 69006, 67215, 69583, 65302, 4892, 69538, 63526, 63337, 15593, 66285, 66105, 70201, 61745, 18927, 63673, 65530, 1534, 69823]",2018-02-20
189,"[69250, 63743, 62404, 68677, 67206, 65607, 43016, 63369, 69776, 65817, 67354, 70430, 70431, 1056, 65759, 65634, 1763, 65764, 66469, 69731, 64615, 52584, 41129, 2105, 64509, 69823]",2018-02-21
76,"[69760, 69761, 64576, 64004, 64325, 70150, 63304, 63816, 64713, 3147, 69835, 64205, 12879, 64914, 64150, 65050, 64801, 62370, 64498, 60595, 63349, 65398, 65528, 63994, 67835, 64191]",2018-02-23
215,"[58309, 71174, 69062, 43016, 71051, 61835, 70155, 68112, 65747, 67802, 31135, 65759, 69538, 3682, 66469, 63526, 70117, 69288, 41129, 68648, 71276, 66478, 61745, 66161, 71288, 71228]",2018-02-26
208,"[50497, 70211, 69380, 69508, 43016, 69049, 65295, 12879, 70481, 69524, 70490, 69536, 69537, 69095, 52584, 67756, 63470, 69295, 64625, 66162, 60595, 65398, 69048, 63801, 63997, 69502]",2018-02-28
230,"[70211, 65732, 43016, 21192, 73677, 73617, 73427, 72275, 71382, 71383, 72281, 73627, 66076, 72477, 71900, 73693, 71391, 73634, 65315, 73442, 73572, 70120, 72235, 74091, 72312, 73656]",2018-03-07
166,"[73536, 73540, 73671, 69901, 73166, 69904, 69905, 69906, 69781, 69782, 69783, 69785, 69914, 69786, 69915, 73689, 23643, 73948, 72736, 69729, 69738, 72752, 62133, 69814, 69815, 72703]",2018-03-08
230,"[69312, 43016, 21192, 74256, 73427, 74453, 71382, 71383, 65817, 8153, 73693, 71391, 65315, 72612, 73572, 61435, 72488, 72235, 74091, 71920, 60401, 66228, 21813, 73076, 65530, 72187]",2018-03-08
357,"[80706, 68996, 68104, 66441, 69514, 70155, 69642, 65992, 1484, 67215, 65229, 81234, 82645, 65434, 80795, 66716, 82652, 69791, 69731, 70117, 74024, 63789, 61745, 78261, 82166, 77309]",2018-03-26
391,"[63617, 68996, 72519, 65992, 66441, 70155, 65229, 67215, 57983, 83603, 83604, 65747, 74713, 66266, 58334, 74024, 68648, 70377, 65769, 77293, 14448, 78261, 63995, 34555, 77309, 69823]",2018-04-01
338,"[76480, 83586, 83972, 4294, 76616, 82377, 76491, 81996, 76113, 74259, 76500, 75095, 55064, 76184, 80224, 76581, 83622, 76199, 76778, 76075, 83564, 76466, 78073, 76154, 76411, 76412]",2018-04-07
266,"[72704, 72832, 73474, 75906, 9988, 28930, 73157, 72572, 72586, 72700, 70348, 72721, 72857, 72604, 72540, 9950, 69244, 72547, 64355, 76773, 72552, 72556, 72622, 72947, 73143, 63676]",2018-04-08
338,"[82177, 76228, 75911, 76487, 76616, 78279, 76491, 71308, 76623, 76113, 80722, 79575, 77605, 76518, 76263, 76778, 66347, 76268, 84722, 76595, 76596, 76275, 76276, 76406, 80637, 76094]",2018-04-08
266,"[72832, 50497, 73029, 70278, 72901, 72969, 2442, 72649, 70348, 72780, 75341, 72604, 72541, 72669, 65056, 72739, 32164, 72547, 84006, 64935, 64355, 72552, 5610, 72948, 73143, 72572]",2018-04-12
238,"[72129, 71807, 71814, 74441, 72074, 71756, 87053, 71823, 87101, 71766, 74327, 72407, 87263, 71904, 87081, 71785, 71787, 72429, 87086, 71984, 72371, 87222, 81079, 86972, 75709, 71871]",2018-04-23
266,"[28930, 87558, 84938, 2898, 73108, 46292, 64853, 87448, 73176, 74205, 73696, 69244, 86562, 72547, 64355, 64935, 72552, 11178, 72556, 4141, 72622, 64877, 72625, 72700, 77565, 72639]",2018-04-26
266,"[72704, 50497, 87558, 72584, 72700, 72658, 72787, 72662, 88856, 72604, 83170, 72547, 72548, 73125, 64355, 64935, 8616, 72552, 72556, 4141, 72559, 86516, 66295, 7162, 72571, 72572]",2018-05-08
69,"[10560, 88580, 53193, 72266, 89996, 38158, 59409, 90642, 60625, 8786, 86549, 90646, 70611, 55064, 65432, 90076, 87325, 74081, 61163, 83436, 74930, 85043, 88116, 56823, 82811, 90492]",2018-05-18
