Token,Nodes,Dates
82,"[63936, 71944, 63935, 64780, 65359, 69840, 71697, 65620, 71831, 71576, 65882, 66013, 71519, 66720, 69281, 68451, 64487, 71723, 71788, 2990, 70450, 60595, 71666, 63734, 17591, 64509, 17726, 65599]",2018-03-01
230,"[74624, 69312, 43016, 21192, 74506, 74570, 74636, 74638, 74640, 1362, 72275, 73427, 74453, 71383, 8153, 71962, 72281, 66076, 74589, 65315, 72612, 74599, 74091, 74542, 71920, 66228, 72187, 74558]",2018-03-09
297,"[74753, 74050, 73861, 68806, 74059, 65611, 74063, 5776, 73744, 70672, 74324, 74841, 63642, 64411, 71072, 16353, 69753, 74853, 70566, 73704, 70760, 73705, 74155, 23989, 63798, 63673, 74557, 17726]",2018-03-11
338,"[76162, 76482, 83784, 62217, 79437, 85904, 79575, 76503, 76504, 81117, 76063, 83297, 81405, 70819, 77605, 79141, 76199, 76072, 85224, 76778, 76461, 76463, 76786, 76596, 76406, 76411, 80637, 85567]",2018-04-15
338,"[76228, 84229, 62217, 83209, 76491, 81210, 86165, 82646, 79575, 76059, 78235, 86200, 70819, 76518, 76263, 85224, 76778, 66347, 76138, 76268, 76154, 76914, 84722, 15670, 76216, 86074, 76988, 65023]",2018-04-16
338,"[78210, 76162, 76166, 76360, 78219, 81996, 76113, 86165, 55064, 76248, 87450, 86619, 83868, 86556, 79908, 76580, 87782, 79912, 76778, 85613, 77294, 78129, 76466, 87731, 76215, 78073, 86462, 65023]",2018-04-28
69,"[60166, 72266, 67211, 89996, 90188, 65678, 38158, 90191, 59409, 60625, 75217, 86549, 74264, 65432, 55064, 66720, 86568, 87721, 84843, 83436, 4271, 74930, 87476, 64181, 56823, 74680, 82811, 86141]",2018-05-13
69,"[25472, 60166, 90374, 87944, 90375, 90316, 72398, 59409, 60625, 8786, 86549, 29783, 74264, 86489, 86939, 87325, 64287, 88103, 69373, 83436, 72302, 71727, 66030, 74930, 56823, 82811, 56765, 90366]",2018-05-15
69,"[75712, 90753, 71619, 88580, 90692, 90374, 62663, 53193, 72266, 65678, 59409, 60625, 86549, 55064, 65432, 69530, 90076, 64287, 73953, 74081, 87017, 65066, 83436, 74930, 64754, 88116, 56823, 88571]",2018-05-20
338,"[78080, 79810, 79811, 78084, 78085, 78086, 79813, 79815, 78089, 81996, 78221, 79829, 79830, 79896, 79834, 79899, 78112, 21600, 78115, 76393, 76778, 76522, 79916, 79407, 78128, 78130, 79801, 79804]",2018-06-19
484,"[92228, 93896, 6292, 105045, 105112, 101533, 95134, 86687, 95904, 104993, 94942, 92514, 95529, 93867, 104301, 105007, 104688, 105072, 93874, 105074, 105012, 104757, 95473, 102898, 94069, 92092, 92093, 95550]",2018-08-10
