Token,Nodes,Dates
64,"[55686, 54599, 54600, 2505, 18250, 55443, 55062, 2454, 2328, 55708, 54819, 55205, 6567, 55917, 18927, 55670, 27129, 55034, 55485, 22911]",2017-12-27
59,"[53062, 59847, 59848, 59790, 59920, 58642, 59859, 59797, 59806, 59743, 59689, 59946, 59753, 52652, 59762, 59891, 59957, 59765, 59772, 59965]",2018-01-06
69,"[62401, 62663, 35212, 35725, 62670, 59409, 60625, 8786, 62615, 29783, 61344, 62816, 16353, 62818, 62187, 62124, 62448, 56823, 62201, 56765]",2018-01-18
81,"[10242, 63811, 63878, 63367, 64648, 63558, 65808, 63633, 63636, 22108, 65828, 63785, 65710, 20400, 14448, 60595, 39667, 64503, 65464, 64509]",2018-02-01
81,"[63616, 63617, 64455, 63636, 66013, 1184, 66720, 64554, 29930, 1002, 66093, 65710, 64557, 20400, 14448, 60595, 63798, 15670, 66491, 63743]",2018-02-06
82,"[24320, 66688, 4610, 63936, 64780, 45132, 66959, 29588, 65432, 66013, 65630, 66720, 66786, 64679, 15593, 63727, 14448, 11377, 63734, 63935]",2018-02-07
128,"[21120, 10564, 63044, 68102, 68104, 58251, 3147, 14923, 12879, 64916, 52892, 68252, 67296, 67756, 18927, 61745, 60595, 65398, 65530, 63995]",2018-02-13
101,"[66242, 63044, 66246, 65607, 2827, 66131, 67988, 68308, 66138, 66140, 66461, 68638, 2105, 65764, 67306, 66478, 57396, 63349, 63673, 66173]",2018-02-14
166,"[69697, 69698, 68806, 70088, 69514, 69904, 63895, 68121, 69914, 69915, 63644, 66461, 69786, 15842, 15593, 69930, 18927, 21176, 2105, 34555]",2018-02-20
185,"[65090, 58309, 69062, 43016, 61835, 69006, 69582, 70353, 64666, 64411, 66141, 4128, 70370, 1763, 65764, 69541, 69288, 66285, 66228, 63673]",2018-02-21
146,"[69510, 23229, 68679, 68618, 68492, 68564, 69334, 66720, 68642, 68643, 64421, 68903, 69227, 68595, 68533, 68535, 65785, 68668, 45245, 68606]",2018-02-22
76,"[65664, 65921, 65031, 63304, 64713, 69835, 70993, 65365, 64346, 4892, 66720, 64801, 64229, 64364, 63994, 60595, 63034, 67835, 63036, 8829]",2018-02-24
76,"[67264, 63875, 64325, 65031, 3147, 69835, 67667, 71257, 64795, 64411, 64801, 62370, 67304, 65841, 64945, 60595, 71161, 63036, 64893, 67838]",2018-02-26
202,"[69380, 64392, 2827, 21067, 57983, 65747, 65817, 67802, 65634, 70691, 69539, 1763, 29413, 69881, 69288, 70377, 66478, 71349, 63673, 69823]",2018-02-26
218,"[63743, 65926, 64392, 71114, 70155, 14923, 65295, 67216, 69335, 65434, 69857, 29413, 69862, 64615, 52584, 45673, 15593, 70118, 70377, 57983]",2018-02-26
208,"[69504, 65921, 69506, 50497, 69380, 70211, 65926, 64266, 12879, 70490, 66461, 69537, 69095, 64625, 66162, 60595, 69048, 2105, 63483, 63997]",2018-03-02
101,"[65921, 63743, 65926, 65607, 70729, 65295, 70672, 66131, 66138, 66461, 69857, 65764, 70377, 66285, 57396, 63349, 63486, 63673, 1534, 69823]",2018-03-06
