Token,Nodes,Smart_Contract_Flags,Dates,Temporal_Distance
8560,"(720942, 848876, 848877, 848878, 848879, 848880, 848881, 848882, 848883, 848891, 848892)","(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1)","['2021-04-06', '2021-04-11']",[5]
60736,"(1817163, 3247386, 3283647, 3290972, 3290976, 3315181, 3315216, 3315304, 3315307, 3315480, 3654581)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","['2022-11-25', '2022-11-26']",[1]
118987,"(3107779, 3247386, 3283647, 3290972, 3290976, 3315181, 3315216, 3315304, 3315307, 3315480, 3654581)","(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","['2022-11-25', '2022-11-26']",[1]
