Token,Nodes,Smart_Contract_Flags,Dates,Temporal_Distance
6458,"(540531, 677743, 678057, 714919, 725589, 994151, 994593, 1032441, 1033974, 1066137, 1095074, 1095132)","(0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1)","['2021-10-04', '2022-02-08']",[127]
60736,"(2682493, 3160265, 3160502, 3527390, 3947226, 3947227, 3947228, 3947238, 3949411, 3949412, 3949413, 3949415)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","['2022-08-01', '2022-08-03', '2022-08-05', '2022-08-06', '2022-08-16']","[2, 2, 1, 10]"
89586,"(4209215, 4209216, 4209269, 4209270, 4209271, 4209272, 4209273, 4209274, 4209275, 4209276, 4209277, 4209278)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","['2022-08-18', '2022-08-20']",[2]
