Token,Nodes,Smart_Contract_Flags,Dates,Temporal_Distance
11050,"(935679,)","(0,)","['2021-10-25', '2021-11-07']",[13]
2479,"(156208,)","(0,)","['2021-10-07', '2021-10-08']",[1]
9204,"(878828,)","(0,)","['2021-10-29', '2022-02-11']",[105]
17187,"(1474145,)","(0,)","['2021-11-03', '2021-11-27', '2021-12-22', '2022-01-03', '2022-01-04', '2022-01-29', '2022-02-23', '2022-02-24', '2022-03-10', '2022-03-11', '2022-03-19', '2022-04-02', '2022-04-06']","[24, 25, 12, 1, 25, 25, 1, 14, 1, 8, 14, 4]"
8347,"(908158,)","(0,)","['2021-11-12', '2021-11-17']",[5]
18203,"(1206331,)","(0,)","['2021-11-23', '2021-11-25']",[2]
18717,"(2165059,)","(0,)","['2022-12-15', '2022-12-20', '2023-01-12', '2023-02-09', '2023-04-13', '2023-05-11', '2023-06-15']","[5, 23, 28, 63, 28, 35]"
18756,"(2136678,)","(0,)","['2021-12-22', '2022-01-04']",[13]
18643,"(1435088,)","(0,)","['2021-12-24', '2021-12-27']",[3]
25274,"(2208703,)","(0,)","['2022-01-07', '2022-01-16']",[9]
22156,"(775067,)","(0,)","['2022-01-13', '2022-03-10', '2022-04-03']","[56, 24]"
22363,"(2387072,)","(0,)","['2022-01-17', '2022-01-20']",[3]
9041,"(158911,)","(0,)","['2022-02-03', '2022-03-08']",[33]
2858,"(157543,)","(0,)","['2023-06-15', '2024-02-03']",[233]
29436,"(2639077,)","(0,)","['2022-02-24', '2022-03-15']",[19]
35963,"(2641623,)","(0,)","['2022-04-14', '2022-04-19']",[5]
37098,"(2884509,)","(0,)","['2022-02-27', '2022-03-08']",[9]
40040,"(887614,)","(0,)","['2022-02-28', '2022-03-07']",[7]
37988,"(2961862,)","(0,)","['2022-03-01', '2022-03-03', '2022-03-06']","[2, 3]"
41552,"(2961862,)","(0,)","['2022-03-03', '2022-03-04']",[1]
40924,"(2706821,)","(0,)","['2022-03-05', '2022-05-17']",[73]
36269,"(2935955,)","(0,)","['2022-03-05', '2022-03-06']",[1]
38713,"(7065909,)","(0,)","['2023-08-23', '2023-09-01']",[9]
38713,"(7190652,)","(0,)","['2023-09-16', '2023-09-18']",[2]
12928,"(2276361,)","(0,)","['2022-03-09', '2022-03-16']",[7]
41876,"(3020562,)","(0,)","['2022-04-03', '2022-04-04']",[1]
26716,"(1017546,)","(0,)","['2022-03-12', '2022-03-13']",[1]
34744,"(2835406,)","(0,)","['2022-03-13', '2022-03-19']",[6]
19818,"(1852613,)","(0,)","['2022-03-14', '2022-03-17']",[3]
44464,"(2612063,)","(0,)","['2022-03-15', '2022-03-16']",[1]
49048,"(3127765,)","(0,)","['2022-04-03', '2022-04-13']",[10]
19499,"(5375295,)","(0,)","['2023-01-04', '2023-01-06']",[2]
19499,"(1743328,)","(0,)","['2023-03-08', '2023-03-18']",[10]
19499,"(6589246,)","(0,)","['2023-05-27', '2023-06-01']",[5]
40846,"(3574712,)","(0,)","['2022-12-16', '2023-01-03']",[18]
56281,"(3286332,)","(0,)","['2022-04-16', '2022-04-17']",[1]
42375,"(3206459,)","(0,)","['2022-04-17', '2022-04-24', '2022-05-11', '2022-05-12', '2022-05-19']","[7, 17, 1, 7]"
2468,"(1122351,)","(0,)","['2022-04-19', '2022-05-16', '2022-12-06']","[27, 204]"
59339,"(2854097,)","(0,)","['2022-04-24', '2023-01-22', '2023-04-06']","[273, 74]"
36102,"(2992252,)","(0,)","['2022-05-10', '2022-09-23']",[136]
51022,"(3412713,)","(0,)","['2022-05-11', '2022-05-14']",[3]
55250,"(3418918,)","(0,)","['2022-05-23', '2022-05-24', '2022-05-26']","[1, 2]"
29243,"(1840377,)","(0,)","['2022-08-14', '2023-09-01']",[383]
29243,"(1237409,)","(0,)","['2022-11-03', '2023-01-15']",[73]
29243,"(5787749,)","(0,)","['2023-03-15', '2023-03-17', '2023-04-10']","[2, 24]"
52737,"(224774,)","(0,)","['2022-05-15', '2022-08-12']",[89]
16299,"(3461476,)","(0,)","['2022-05-19', '2022-05-30', '2022-07-04']","[11, 35]"
53807,"(3240322,)","(0,)","['2022-05-20', '2022-05-24']",[4]
61897,"(3533048,)","(0,)","['2022-05-21', '2022-05-22']",[1]
8564,"(827168,)","(0,)","['2022-05-22', '2022-05-29']",[7]
22901,"(2201704,)","(0,)","['2023-05-30', '2023-06-02']",[3]
64931,"(898362,)","(0,)","['2022-05-24', '2022-05-25', '2022-05-28']","[1, 3]"
55784,"(3299913,)","(0,)","['2022-05-26', '2022-05-27']",[1]
4123,"(2581761,)","(0,)","['2022-05-27', '2022-10-22', '2023-02-04']","[148, 105]"
58417,"(3651774,)","(0,)","['2022-06-21', '2022-06-23']",[2]
14633,"(3537026,)","(0,)","['2022-06-24', '2022-06-25', '2022-07-04']","[1, 9]"
59725,"(3685085,)","(0,)","['2022-06-24', '2022-06-25', '2022-06-26']","[1, 1]"
75381,"(3784978,)","(0,)","['2022-07-01', '2022-07-02']",[1]
17018,"(3808309,)","(0,)","['2022-07-02', '2022-07-06']",[4]
11144,"(3735046,)","(0,)","['2022-07-07', '2022-07-09']",[2]
23678,"(3955422,)","(0,)","['2022-08-01', '2022-08-05']",[4]
14548,"(5167344,)","(0,)","['2022-12-14', '2022-12-15', '2022-12-17', '2022-12-19']","[1, 2, 2]"
22629,"(2098170,)","(0,)","['2022-08-06', '2023-10-06']",[426]
54888,"(3613572,)","(0,)","['2022-08-09', '2022-08-16', '2022-08-17', '2022-08-20']","[7, 1, 3]"
80992,"(3425935,)","(0,)","['2022-08-11', '2022-08-12']",[1]
15671,"(224774,)","(0,)","['2022-08-12', '2023-03-09']",[209]
24449,"(2624844,)","(0,)","['2022-08-12', '2022-11-04', '2022-12-13', '2023-02-28', '2023-03-10', '2023-12-20']","[84, 39, 77, 10, 285]"
57836,"(4154269,)","(0,)","['2022-08-13', '2022-12-24']",[133]
82640,"(3217761,)","(0,)","['2022-08-13', '2022-08-16']",[3]
88036,"(4167398,)","(0,)","['2022-08-14', '2022-10-19']",[66]
69337,"(3967571,)","(0,)","['2023-09-12', '2023-10-05']",[23]
72415,"(3284054,)","(0,)","['2022-09-13', '2022-09-15']",[2]
67399,"(3598084,)","(0,)","['2022-09-14', '2024-03-10']",[543]
74850,"(3137009,)","(0,)","['2022-09-16', '2022-12-07']",[82]
27796,"(2526443,)","(0,)","['2023-01-03', '2023-04-09']",[96]
27796,"(2526825,)","(0,)","['2023-02-13', '2023-02-14']",[1]
86733,"(4130144,)","(0,)","['2022-09-19', '2022-09-20']",[1]
22836,"(3375081,)","(0,)","['2022-09-21', '2023-10-25']",[399]
22836,"(3137009,)","(0,)","['2022-12-07', '2023-03-24']",[107]
20088,"(4587119,)","(0,)","['2022-09-25', '2022-10-31', '2022-12-10']","[36, 40]"
78759,"(3933535,)","(0,)","['2022-10-21', '2022-10-24']",[3]
97697,"(3945207,)","(0,)","['2022-10-25', '2022-10-26']",[1]
95266,"(4345487,)","(0,)","['2022-10-28', '2022-10-29', '2022-11-21', '2022-12-12']","[1, 23, 21]"
86235,"(1474145,)","(0,)","['2022-10-29', '2023-02-23']",[117]
103979,"(468833,)","(0,)","['2022-11-04', '2022-11-08', '2023-02-23', '2023-05-17']","[4, 107, 83]"
85593,"(4891866,)","(0,)","['2022-11-10', '2022-11-11']",[1]
60239,"(618942,)","(0,)","['2023-08-28', '2024-01-11', '2024-03-06']","[136, 55]"
117216,"(475731,)","(0,)","['2022-11-28', '2022-12-01']",[3]
106844,"(5041868,)","(0,)","['2022-11-29', '2022-12-04', '2022-12-10']","[5, 6]"
29109,"(3137009,)","(0,)","['2022-11-30', '2023-02-08', '2023-02-17']","[70, 9]"
58924,"(3546898,)","(0,)","['2022-12-04', '2022-12-28', '2023-02-12', '2023-02-15', '2023-02-21']","[24, 46, 3, 6]"
71919,"(2624844,)","(0,)","['2022-12-07', '2023-01-27', '2023-02-27', '2023-03-31', '2023-06-13', '2024-02-22']","[51, 31, 32, 74, 254]"
80239,"(2624844,)","(0,)","['2022-12-07', '2023-12-20']",[378]
126036,"(757207,)","(0,)","['2022-12-12', '2022-12-13', '2022-12-21', '2022-12-23', '2022-12-24', '2022-12-25', '2022-12-26', '2023-01-14', '2023-01-15']","[1, 8, 2, 1, 1, 1, 19, 1]"
94067,"(5280779,)","(0,)","['2022-12-23', '2022-12-25']",[2]
69832,"(1346747,)","(0,)","['2022-12-28', '2023-01-05', '2023-02-10']","[8, 36]"
130173,"(2238543,)","(0,)","['2022-12-28', '2023-01-02']",[5]
131565,"(5308737,)","(0,)","['2023-01-02', '2023-01-06']",[4]
87749,"(5371073,)","(0,)","['2023-01-03', '2023-03-11']",[67]
130162,"(961064,)","(0,)","['2023-01-13', '2023-01-15']",[2]
104689,"(5167344,)","(0,)","['2023-01-27', '2023-02-01']",[5]
147939,"(5254127,)","(0,)","['2023-02-04', '2023-02-06']",[2]
78442,"(2624844,)","(0,)","['2023-02-16', '2023-05-15', '2023-06-14', '2024-01-24', '2024-02-22']","[88, 30, 224, 29]"
152277,"(5654703,)","(0,)","['2023-02-20', '2023-02-23', '2023-04-04', '2023-04-05', '2023-04-12']","[3, 40, 1, 7]"
154878,"(5700246,)","(0,)","['2023-02-22', '2023-02-24']",[2]
81558,"(3982535,)","(0,)","['2023-02-25', '2023-04-08']",[42]
105794,"(3347460,)","(0,)","['2023-02-25', '2023-02-26']",[1]
57831,"(4119469,)","(0,)","['2023-02-27', '2023-03-09', '2023-03-30']","[10, 21]"
137779,"(5464874,)","(0,)","['2023-03-02', '2023-03-18']",[16]
156425,"(5318981,)","(0,)","['2023-03-02', '2023-03-27']",[25]
104332,"(3710652,)","(0,)","['2023-03-06', '2023-03-09']",[3]
29891,"(5697147,)","(0,)","['2023-03-20', '2023-05-25']",[66]
163649,"(6156728,)","(0,)","['2023-03-24', '2023-03-28']",[4]
89885,"(6217126,)","(0,)","['2023-03-30', '2023-04-02']",[3]
167663,"(6240921,)","(0,)","['2023-04-03', '2023-04-05']",[2]
49565,"(3526399,)","(0,)","['2023-05-05', '2023-06-19', '2023-07-01']","[45, 12]"
49565,"(3179061,)","(0,)","['2023-10-28', '2024-01-09']",[73]
102840,"(6101299,)","(0,)","['2023-04-02', '2023-04-03']",[1]
168074,"(6101299,)","(0,)","['2023-04-05', '2023-04-06', '2023-04-09']","[1, 3]"
145777,"(6101299,)","(0,)","['2023-04-09', '2023-04-10']",[1]
169123,"(6280237,)","(0,)","['2023-04-10', '2023-07-29']",[110]
13912,"(6101299,)","(0,)","['2023-05-16', '2023-05-17']",[1]
169052,"(6283762,)","(0,)","['2023-08-26', '2023-10-24']",[59]
174151,"(5958364,)","(0,)","['2023-05-31', '2023-07-12']",[42]
177712,"(6595953,)","(0,)","['2023-06-01', '2023-06-04', '2023-06-08', '2023-06-09']","[3, 4, 1]"
58586,"(6625501,)","(0,)","['2023-06-04', '2023-06-10']",[6]
103565,"(5616262,)","(0,)","['2023-06-12', '2023-10-30', '2023-10-31']","[140, 1]"
22653,"(7059679,)","(0,)","['2023-09-10', '2023-09-13', '2024-01-23']","[3, 132]"
63685,"(6504172,)","(0,)","['2023-06-20', '2023-06-21', '2023-06-23', '2023-09-30']","[1, 2, 99]"
126645,"(6504172,)","(0,)","['2023-06-20', '2023-06-21', '2023-06-23', '2023-09-30']","[1, 2, 99]"
144429,"(6759235,)","(0,)","['2023-06-28', '2023-07-21']",[23]
177943,"(6413811,)","(0,)","['2023-06-28', '2023-07-09', '2023-07-12', '2023-07-14']","[11, 3, 2]"
30151,"(2664867,)","(1,)","['2023-06-30', '2023-07-14', '2023-10-18', '2023-10-19', '2023-10-21', '2023-10-28', '2023-10-29', '2023-11-19', '2023-12-23', '2023-12-24', '2024-02-25']","[14, 96, 1, 2, 7, 1, 21, 34, 1, 63]"
144948,"(3362749,)","(0,)","['2023-07-06', '2023-07-07']",[1]
179915,"(6704175,)","(0,)","['2023-07-14', '2023-10-09']",[87]
172004,"(6769919,)","(0,)","['2023-07-17', '2023-07-18', '2023-07-26', '2023-07-31', '2023-09-25']","[1, 8, 5, 56]"
179768,"(6618672,)","(0,)","['2023-07-22', '2023-07-30']",[8]
183186,"(5688692,)","(0,)","['2023-07-25', '2023-07-28']",[3]
186539,"(882567,)","(0,)","['2023-07-28', '2023-09-18', '2023-11-17', '2023-11-21']","[52, 60, 4]"
169062,"(7201604,)","(0,)","['2023-09-20', '2024-03-13']",[175]
153164,"(6185207,)","(0,)","['2023-08-29', '2023-09-29']",[31]
101845,"(6582093,)","(0,)","['2023-08-30', '2023-09-05']",[6]
59038,"(1790571,)","(0,)","['2023-10-08', '2023-10-11']",[3]
23458,"(2626166,)","(0,)","['2023-10-12', '2023-10-29']",[17]
196883,"(7322877,)","(0,)","['2023-10-14', '2023-11-01']",[18]
105630,"(7405293,)","(0,)","['2023-10-26', '2023-10-29', '2023-11-01']","[3, 3]"
102177,"(2419554,)","(0,)","['2023-10-27', '2023-11-02']",[6]
181403,"(1819013,)","(0,)","['2023-11-02', '2023-11-26']",[24]
203219,"(7452936,)","(0,)","['2024-02-04', '2024-02-23']",[19]
206018,"(7533984,)","(0,)","['2023-12-14', '2024-02-08']",[56]
66239,"(3807945,)","(0,)","['2023-12-24', '2023-12-25']",[1]
18520,"(1743459,)","(0,)","['2023-12-25', '2023-12-27']",[2]
207170,"(7592014,)","(0,)","['2023-12-31', '2024-01-01']",[1]
199815,"(7607525,)","(0,)","['2024-01-05', '2024-01-09']",[4]
202901,"(7828554,)","(0,)","['2024-03-04', '2024-03-06']",[2]
14231,"(7605982,)","(0,)","['2024-01-16', '2024-03-20']",[64]
93222,"(6891449,)","(0,)","['2024-01-24', '2024-02-06']",[13]
205200,"(7678131,)","(0,)","['2024-01-24', '2024-01-25']",[1]
15170,"(2263433,)","(0,)","['2024-01-26', '2024-01-29', '2024-01-31']","[3, 2]"
183869,"(1881692,)","(0,)","['2024-02-08', '2024-03-13']",[34]
34741,"(6110950,)","(0,)","['2024-02-14', '2024-02-21']",[7]
24418,"(7906310,)","(0,)","['2024-03-21', '2024-03-23']",[2]
