Token,Nodes,Smart_Contract_Flags,Dates,Temporal_Distance
1049,"(175809, 189116, 189117, 189118, 189119, 189120, 189121, 189122, 189123, 189124, 189125, 189126, 189127, 189128, 189129)","(1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","['2019-03-02', '2019-04-05']",[34]
80895,"(2330997, 2682493, 3127900, 3160265, 3160502, 3527390, 3732625, 3947226, 3947227, 3947228, 3947238, 3949411, 3949412, 3949413, 3949415)","(0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0)","['2022-08-01', '2022-08-02']",[1]
80895,"(2330997, 2682493, 3107779, 3127900, 3160265, 3160502, 3527390, 3947226, 3947227, 3947228, 3947238, 3949411, 3949412, 3949413, 3949415)","(0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","['2022-08-04', '2022-08-05', '2022-08-06', '2022-08-08', '2022-08-13', '2022-08-14', '2022-08-18']","[1, 1, 2, 5, 1, 4]"
84118,"(1869847, 2852661, 2866314, 2904460, 3011501, 3058478, 3063775, 3064338, 3088877, 3517615, 3562029, 3583296, 3603114, 3857549, 3944828)","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)","['2022-10-22', '2022-11-02']",[11]
